Dimension,Group,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,One-Share Net PnL (Diagnostic Only),Candidate Source,Survivorship Bias Warning
Ticker,LT.NS,150,58,92,38.666666666666664,0.12722377356592574,-3.0503237304525816,-0.0025359508496210024,-1.0303216697741586,0.9958316297980921,-0.0025359508496210024,15.913333333333334,15,2373.187822791344,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,M&M.NS,138,63,75,45.65217391304348,1.543476518531099,-3.0888319043025967,0.27667469169848774,-1.0232244053205803,1.504085741990742,0.27667469169848774,16.565217391304348,14,1625.9389087722848,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,MARUTI.NS,183,70,113,38.25136612021858,-0.2650909515122863,-2.754579897650634,-0.035633631609310684,-1.0284373627615737,0.945799123448271,-0.035633631609310684,16.005464480874316,39,-8812.729949348357,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,SBIN.NS,162,49,113,30.246913580246915,-0.8441633682562717,-3.8389743175470974,-0.15346087009216314,-1.0305691162666588,0.7877984291470649,-0.15346087009216314,11.623456790123457,20,-54.58248474882396,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,SUNPHARMA.NS,168,66,102,39.285714285714285,0.3327557643265782,-2.7917421662673876,0.09028210225050166,-1.0277568984871495,1.1432107229344959,0.09028210225050166,20.279761904761905,20,1032.3631373454182,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,TCS.NS,169,70,99,41.42011834319527,0.5237269478738694,-2.7407506520786185,0.14548538537530412,-1.0312623251828603,1.243165084273647,0.14548538537530412,15.278106508875739,14,1321.7334746527195,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,TITAN.NS,145,68,77,46.89655172413793,0.9248810839775224,-2.5737284978618087,0.1874580810246531,-1.01355281605645,1.3071498859189974,0.1874580810246531,14.358620689655172,10,709.8794538010133,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,TMPV.NS,92,29,63,31.521739130434785,-0.9687716652977683,-4.457844465313906,-0.20605401360324982,-1.0229337704631214,0.7317077819162616,-0.20605401360324982,10.445652173913043,25,-344.8946812548728,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Ticker,WIPRO.NS,163,85,78,52.14723926380368,2.038916488553628,4.50044231544778,0.4571905019126503,1.440254449658242,1.909006281253321,0.4571905019126503,16.41717791411043,28,530.3001222292629,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score Band,60-69,909,392,517,43.12431243124312,0.6772193055944198,-2.6712373397058338,0.1882391895429991,-1.0286521053758428,1.3024896547948328,0.1882391895429991,12.916391639163916,34,3175.191418373368,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score Band,70-79,1503,651,852,43.31337325349301,0.7594377499411121,-2.6494473347535656,0.14240238134436023,-1.019851151949815,1.2369369953484985,0.14240238134436023,16.343313373253494,38,6628.941676858709,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score Band,80-89,537,229,308,42.64432029795158,0.7691671849132484,-3.0589304140492635,0.14356673290067584,-1.024357696055416,1.2251506385640762,0.14356673290067584,14.04655493482309,20,448.36063878651566,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Technical Score Band,90-100,1,1,0,100.0,9.10904508788221,9.10904508788221,1.5830567118607621,1.5830567118607621,inf,1.5830567118607621,9.0,0,109.62435463555018,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score Band,40-49,101,48,53,47.524752475247524,0.6599924988250249,-1.088350935605813,0.11162305034468761,-0.08028575811153957,1.2627278437704952,0.11162305034468761,40.64356435643565,6,633.0635236550352,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score Band,50-59,139,71,68,51.07913669064749,2.012748976642331,0.26268185054670734,0.3274143642480584,0.022779039944622163,1.713572697367532,0.3274143642480584,30.071942446043167,11,2805.8749712008284,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score Band,60-69,219,103,116,47.03196347031963,1.3860303500229036,-2.269117069589928,0.13063421452904353,-1.0104184622497898,1.2302095544523812,0.13063421452904353,21.447488584474886,13,1444.6606410147535,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score Band,70-79,515,205,310,39.80582524271845,0.464801581126979,-3.1678192962962743,0.09399206819138797,-1.0267479972494373,1.147494249663558,0.09399206819138797,13.489320388349515,25,2366.6315000025775,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score Band,80-89,1527,655,872,42.89456450556647,0.6067378194134145,-2.6522802141571833,0.1500088779169612,-1.0283511449800924,1.236931284490448,0.1500088779169612,12.02815979043877,57,3864.8978492843707,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
Actionability Score Band,90-100,449,191,258,42.53897550111358,0.809233071311381,-2.699772500089528,0.2248456689081619,-1.0301003180253008,1.3536521680912443,0.2248456689081619,12.385300668151448,14,-753.0103965034248,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
R:R Band,1.5-1.99,2301,1018,1283,44.24163407214255,0.6256832228429092,-2.644406025306287,0.1331073266891379,-1.0194680109374334,1.222008011871903,0.1331073266891379,15.192959582790092,60,12328.08718009205,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
R:R Band,2.0-2.49,549,214,335,38.97996357012751,0.9153404168182255,-2.795161753899981,0.19743991641104572,-1.0311458319903795,1.292964210063633,0.19743991641104572,13.178506375227686,26,-728.973893794222,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
R:R Band,2.5-2.99,88,34,54,38.63636363636363,1.9149824425651263,-2.685528113139817,0.3780152808905633,-1.03406258708484,1.5876481992527531,0.3780152808905633,16.170454545454547,18,-1110.7998944998012,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
R:R Band,3.0+,12,7,5,58.333333333333336,5.703472566053733,10.32855042912998,1.3232314329119421,2.920986018408069,4.041313937444323,1.3232314329119421,20.0,3,-126.19530314388489,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
