Variant,Setup,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Candidate Source,Survivorship Bias Warning
T1_10D,BREAKOUT,23,13,10,56.52173913043478,0.5200698318686608,0.46313295273411403,0.1263708203940496,0.0991984102818871,2.2336717235744437,0.1263708203940496,9.956521739130435,3,2528.3629898791974,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,PULLBACK,334,153,181,45.808383233532936,0.3110828867951848,-0.8726293961761706,0.05941082110875887,-0.3265529375444201,1.1128442323152787,0.05941082110875887,6.712574850299402,10,14921.584345617128,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,BREAKOUT,22,11,11,50.0,0.7560426648884228,0.14210145240256883,0.20265584585459698,0.044734942029853106,1.7347884095498594,0.20265584585459698,18.136363636363637,5,3223.244659667951,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,PULLBACK,318,128,190,40.25157232704403,0.13206753200349416,-2.6047447064054463,0.014822064418181501,-1.0306166195682327,1.0367997784308134,0.014822064418181501,8.927672955974844,14,5508.457439637238,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,BREAKOUT,22,11,11,50.0,1.0756198473234058,-0.4044752687110095,0.24089002624279496,-0.043749811768148475,1.5866001167127233,0.24089002624279496,24.272727272727273,4,3572.089795635422,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,PULLBACK,316,124,192,39.24050632911392,0.18848710444874467,-2.7440825919982688,0.04030162553400193,-1.0314754636842116,1.0560903051103165,0.04030162553400193,9.731012658227849,16,8681.801133755114,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,BREAKOUT,22,13,9,59.09090909090909,1.9792142306487173,3.0866574447492514,0.39407040671117566,0.4439304770634195,1.9687504559332372,0.39407040671117566,29.772727272727273,3,6145.107719925208,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_45D,PULLBACK,315,121,194,38.41269841269842,0.17512579973356307,-2.8255726185168717,0.036887560866117046,-1.0322742503117142,1.0531234987936147,0.036887560866117046,10.146031746031746,16,8421.134597872498,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,BREAKOUT,22,13,9,59.09090909090909,2.063483291748294,4.91790763287188,0.396790350251281,0.6709144849277315,1.893088515372277,0.396790350251281,33.13636363636363,3,6110.831352983313,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_63D,PULLBACK,314,121,193,38.53503184713376,0.19059749838561243,-2.853151849463917,0.04176970636528371,-1.0325670826728084,1.0596340050191149,0.04176970636528371,10.226114649681529,16,9537.242851060275,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
