Signal,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,One-Share Net PnL (Diagnostic Only),Candidate Source,Survivorship Bias Warning
BUY,823,323,500,39.24665856622114,0.3006231697203998,-2.719722100417238,0.07688611156625222,-1.0313649154051288,1.1166082604877117,0.07688611156625222,11.475091130012151,33,404.3924687250042,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
STRONG BUY,6,3,3,50.0,1.812424055786571,1.513990576113025,0.48082002340434427,0.44773269781162406,1.9303371366415594,0.48082002340434427,16.333333333333332,1,-268.24719173792295,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
WATCH,1927,879,1048,45.61494551115724,1.033796457472076,-2.6071841998328593,0.2176455479064508,-1.0160398533377806,1.3720442422205095,0.2176455479064508,16.787752983912817,62,11496.512336157852,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
WATCH - MARKET RISK,194,68,126,35.051546391752574,-0.36718595994939607,-3.4693559989445917,-0.11209570123968586,-1.0331644437339165,0.8428354561580458,-0.11209570123968586,10.128865979381443,38,-1270.5395244907918,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
