Date,Variant,Cash,Open Position Value,Total Equity,Peak Equity,Drawdown %,Number Open Positions,Daily Return %,Candidate Source,Survivorship Bias Warning
2011-08-30,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-02,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-05,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-06,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-07,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-08,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-09,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-12,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-13,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-14,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-15,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-16,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-19,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-20,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-21,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-22,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-23,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-26,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-27,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2011-09-28,T1_10D,100000.0,0.0,100000.0,100000.0,0.0,0,0.0,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
