Variant,Ticker,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Candidate Source,Survivorship Bias Warning
T1_10D,AXISBANK.NS,24,11,13,45.83333333333333,0.7783035130406134,-0.9250809827583573,0.10955359862006218,-0.5945775870223539,1.2076413880985692,0.10955359862006218,6.166666666666667,3,2204.9898964585063,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,BEL.NS,10,5,5,50.0,0.7395847918611724,0.029792550137968443,0.22847620310949157,0.039153809032135306,1.5067380807469208,0.22847620310949157,6.5,4,1938.0795638468476,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,CIPLA.NS,16,9,7,56.25,0.8242168325898692,0.6398717831820245,0.19655004423550182,0.1309191977377182,1.5223404172424448,0.19655004423550182,6.6875,2,2654.1640744761207,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,HAL.NS,9,5,4,55.55555555555556,0.6532574059176692,0.5524138024065345,0.3324319938235154,0.14905744712187496,1.8328002428716013,0.3324319938235154,6.777777777777778,3,2517.2904452144953,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,HCLTECH.NS,21,10,11,47.61904761904761,0.14294228848398274,-0.40566774748018036,-0.012488635369578666,-0.17813449005619883,1.1803088447705692,-0.012488635369578666,5.857142857142857,4,1387.062076795999,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,HDFCBANK.NS,21,12,9,57.14285714285714,0.5580044301974308,0.46313295273411403,0.2655065002918995,0.16762980714231335,1.858099892266444,0.2655065002918995,8.80952380952381,4,3443.6006037967263,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,HINDUNILVR.NS,18,11,7,61.111111111111114,0.8421895169426823,1.08930996343268,0.2225324521617316,0.23938623326025815,1.393154430463193,0.2225324521617316,7.277777777777778,2,2088.4158507144366,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,ICICIBANK.NS,29,8,21,27.586206896551722,-1.032836959077839,-2.500600952178041,-0.40776117949176005,-1.0351236186128792,0.4277207949959798,-0.40776117949176005,6.379310344827586,10,-8822.21246734892,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,INFY.NS,27,18,9,66.66666666666666,1.8842740944977299,2.5918412463033875,0.5039137576411558,0.6070061143626942,2.7269851422816362,0.5039137576411558,7.555555555555555,3,10425.160459948884,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,ITC.NS,18,6,12,33.33333333333333,-0.4089460433293468,-2.033383496354165,-0.1568981972990274,-0.33903054950262884,0.6982250926599674,-0.1568981972990274,6.777777777777778,4,-2396.237333777687,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,LT.NS,22,9,13,40.909090909090914,-0.7327799324003558,-2.906978389827586,-0.218085168451425,-1.0349198735918246,0.6791633763914356,-0.218085168451425,5.7272727272727275,6,-3278.8742114893275,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,M&M.NS,19,13,6,68.42105263157895,2.6231852757939795,2.029488741140587,0.6797342707001344,0.6921752929524305,3.1294122266952247,0.6797342707001344,7.842105263157895,3,10165.893516419033,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,MARUTI.NS,21,10,11,47.61904761904761,0.66040094432308,-0.2699289920078163,0.24480890019778662,-0.05951217738370248,1.680377949516361,0.24480890019778662,7.380952380952381,3,3281.105595483181,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
