Variant,Ticker,Signal Date,Entry Date,Exit Date,Signal,Setup,Market Regime,Entry Method,Nominal Entry,Executed Entry,Stop,Target,Target Name,Quantity,Initial Risk Per Share,Portfolio Risk Budget,Position Value,Capital Constraint Reason,Exit Reason,Nominal Exit,Executed Exit,Gross PnL,Entry Slippage Cost,Exit Slippage Cost,Slippage Cost,Entry Transaction Cost,Exit Transaction Cost,Transaction Cost,Net PnL,Net Return %,R Multiple,Result,Bars Held,Portfolio Equity At Entry,Technical Score,Actionability Score,Planned R:R T1,RS 60D,Conservative Entry-Bar Ambiguity,Candidate Source,Survivorship Bias Warning
T1_10D,WIPRO.NS,2012-02-27,2012-02-28,2012-03-13,BUY,PULLBACK,BULL,PULLBACK_LIMIT,66.3231,66.35626155,63.6847,70.7259,T1,280,2.67156155,750.0,18579.753234,NONE,TIME_10D,67.28324890136719,67.2496072769165,268.84169238281345,9.285234000000742,9.41965484619061,18.704888846191352,9.289876617000001,9.41494501876831,18.70482163576831,231.43198190085377,1.2456138624992341,0.3093856447002126,WIN,10,100000.0,77.0,86.0,1.6688,4.3021,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,TCS.NS,2012-03-02,2012-03-05,2012-03-14,BUY,PULLBACK,BULL,PULLBACK_OPEN,434.1533449468474,434.37042161932084,419.7644,458.0603,T1,51,14.606021619320813,751.4040674652668,22152.891502585364,NONE,STOP,419.7644,419.55451780000004,-733.8361922892175,11.07091029614395,10.70399219999905,21.774902496143,11.076445751292683,10.6986402039,21.775085955192683,-777.3861807405532,-3.5091860611055123,-1.0436015149304738,LOSS,7,100187.20899536891,72.0,88.0,1.5344,-2.6414,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,INFY.NS,2012-03-02,2012-03-05,2012-03-19,BUY,PULLBACK,BULL,PULLBACK_LIMIT,243.2331,243.35471655,235.1516,257.3217,T1,91,8.203116550000004,749.9262164501184,22145.27920605,NONE,TIME_10D,243.87130737304688,243.74937171936037,58.07687094726495,11.067106049999893,11.096144485472081,22.163250535471974,11.072639603025,11.090596413230896,22.163236016255894,13.750384395537083,0.0620917183639777,0.018420209478272272,WIN,10,99990.16219334913,74.0,88.0,1.7433,-2.9783,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,HCLTECH.NS,2012-03-22,2012-03-26,2012-03-29,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,81.767,81.80788349999999,78.0427,89.3244,T1,198,3.765183499999992,749.0222955197279,16197.960932999998,NONE,STOP,78.0427,78.00367865,-737.4114,8.09493299999852,7.726227299999749,15.821160299998269,8.098980466499999,7.72236418635,15.821344652849998,-769.0539049528483,-4.74784393007184,-1.0315860119632945,LOSS,4,99869.63940263039,74.0,77.0,2.0292,13.0161,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,ITC.NS,2012-03-16,2012-03-19,2012-03-30,BUY,BREAKOUT,BULL,NEXT_OPEN,87.89301337245449,87.93695987914072,81.9726,96.9113,T1,125,5.964359879140716,749.5477088184429,10992.11998489259,NONE,TIME_10D,91.90286254882812,91.85691111755372,501.23114704670434,5.493313335778183,5.743928909300422,11.237242245078605,5.496059992446295,5.741056944847108,11.237116937293402,478.7567878643323,4.355454530357463,0.6421568081948894,WIN,10,99939.69450912572,80.0,85.0,1.5,-5.9239,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,TITAN.NS,2012-03-28,2012-03-29,2012-04-02,BUY,PULLBACK,NEUTRAL,PULLBACK_OPEN,207.50446090865188,207.6082131391062,192.1217,234.9546,T1,48,15.486513139106194,743.9364519372091,9965.194230677098,NONE,TARGET,234.9546,234.8371227,1317.6066763847098,4.980107061807303,5.638910399999531,10.619017461806834,4.982597115338549,5.6360909448,10.618688060138549,1296.3689708627644,13.00896842403724,1.743948857330257,WIN,3,99191.52692496122,79.0,80.0,1.6636,19.0427,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,MARUTI.NS,2012-03-23,2012-03-26,2012-04-10,BUY,PULLBACK,BULL,PULLBACK_LIMIT,1152.0379,1152.61391895,1094.9821,1262.9939,T1,12,57.631818950000024,748.2043801981475,13831.3670274,NONE,TIME_10D,1127.630859375,1127.0670439453127,-292.88448750000043,6.91222739999921,6.765785156248057,13.678012556247268,6.9156835137,6.762402263671876,13.678085777371876,-320.24058583361955,-2.315321292531834,-0.46305523532560566,LOSS,10,99760.58402641967,80.0,92.0,1.9447,23.6853,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,TMPV.NS,2012-03-26,2012-03-27,2012-04-11,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,251.1848,251.31039239999998,236.2741,278.8001,T1,49,15.03629239999998,750.0336042400498,12314.209227599998,NONE,TIME_10D,264.9466552734375,264.8141819458008,674.3309083984377,6.154027599999409,6.49119305419913,12.645220654198539,6.1571046138,6.48794745767212,12.645052071472119,649.040635672767,5.270664349425408,0.8809171108316514,WIN,10,100004.48056533998,75.0,78.0,1.852,39.815,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,MARUTI.NS,2012-04-12,2012-04-16,2012-04-27,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,1159.9801,1160.5600900499999,1102.8206,1262.9939,T1,13,57.73949004999986,756.0200106687693,15087.281170649998,NONE,TIME_10D,1221.9388427734375,1221.3278733520508,805.4636560546876,7.53987064999842,7.942602478027084,15.482473128025504,7.543640585324999,7.93863117678833,15.482271762113328,774.4989111645488,5.133455805617371,1.0318213629659525,WIN,10,100802.66808916924,70.0,90.0,1.8022,22.7425,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,TITAN.NS,2012-04-16,2012-04-17,2012-04-30,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,216.0002,216.1082001,201.2325,246.5861,T1,51,14.875700100000017,763.0078413989083,11021.518205100001,NONE,TIME_10D,216.80960083007807,216.70119602966304,41.27944233398114,5.508005099999906,5.5286448211665515,11.036649921166457,5.510759102550001,5.525880498756408,11.036639601306408,19.20615281150827,0.17426050072322147,0.025315866081368564,WIN,10,101734.37885318778,78.0,90.0,2.0711,21.3044,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,HINDUNILVR.NS,2012-06-13,2012-06-14,2012-06-27,BUY,BREAKOUT,STRONG BULL,NEXT_OPEN,343.2421086650124,343.4137297193449,310.9724,389.9216,T1,23,32.44132971934488,761.9727986485898,7898.515783544932,NONE,TIME_10D,348.20611572265625,348.03201266479493,114.17216232580898,3.947284249647282,4.004370330810275,7.951654580457557,3.949257891772466,4.002368145645142,7.951626037417608,98.26888170793382,1.2441436391462115,0.1317011389859969,WIN,10,101596.37315314531,82.0,82.0,1.5,19.5121,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,LT.NS,2012-07-23,2012-07-24,2012-07-27,BUY,PULLBACK,BULL,PULLBACK_LIMIT,488.4858,488.73004289999994,469.8448,518.0004,T1,40,18.885242899999923,762.7098152613993,19549.201715999996,NONE,STOP,469.8448,469.60987760000006,-745.6399999999985,9.769715999998425,9.396895999998378,19.166611999996803,9.774600857999998,9.392197552000003,19.16679841,-783.9734104099953,-4.010257921520929,-1.0378121882800861,LOSS,4,101694.64203485324,85.0,87.0,1.5833,14.3051,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,LT.NS,2012-08-23,2012-08-24,2012-08-28,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,511.6572,511.91302859999996,493.9362,538.43,T1,42,17.976828599999976,756.8300146833243,21500.3472012,NONE,STOP,493.9362,493.68923190000004,-744.2820000000002,10.744801199998847,10.372660199997767,21.117461399996614,10.7501736006,10.367473869900001,21.117647470500003,-786.5171088704967,-3.6581600357904867,-1.0417075362363941,LOSS,3,100910.66862444325,81.0,93.0,1.5108,11.9911,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,ITC.NS,2012-08-30,2012-08-31,2012-09-13,BUY,BREAKOUT,STRONG BULL,NEXT_OPEN,111.5391355828111,111.5949051506025,105.8434,124.6214,T1,130,5.7515051506024975,750.9311363667955,14507.337669578324,NONE,TIME_10D,111.39456939697266,111.33887211227417,-18.79360415899754,7.250043812882154,7.240647010802661,14.490690823684815,7.2536688347891625,7.237026687297821,14.490695522086984,-47.774990504769335,-0.3293160440109752,-0.06389630493876317,LOSS,10,100124.15151557274,82.0,87.0,1.5,12.544,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,M&M.NS,2012-09-05,2012-09-06,2012-09-17,BUY,PULLBACK,NEUTRAL,PULLBACK_OPEN,327.1939841815138,327.35758117360456,317.8578,345.0686,T1,76,9.49978117360456,749.6341607277336,24879.176169193946,MAX_POSITION_PCT,TARGET,345.0686,344.8960657,1358.4708022049495,12.433371398895588,13.11260679999964,25.545978198895227,12.439588084596974,13.106050496600002,25.545638581196975,1307.3791854248573,5.254913492849851,1.810816206035981,WIN,8,99951.22143036449,81.0,84.0,1.5267,9.9633,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_10D,CIPLA.NS,2012-09-14,2012-09-17,2012-09-24,BUY,PULLBACK,STRONG BULL,PULLBACK_OPEN,338.1537622798785,338.3228391610184,326.2272,362.3469,T1,62,12.095639161018426,760.152372931658,20976.01602798314,NONE,STOP,326.2272,326.0640864,-739.4468613524676,10.482766630674746,10.113043199998401,20.595809830673147,10.48800801399157,10.107986678400001,20.59599469239157,-780.6386658755323,-3.7215773711944067,-1.0409492260960254,LOSS,5,101353.64972422106,81.0,87.0,1.9603,11.0583,False,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
