Setup,Rows,Filled Opportunities,Observed Non-Fills,Incomplete Entry-Window Censored,Invalid-Risk Fills,T1 Applicable,T1 Available,T1 Positive,T1 Negative,T1 Data-End Censored,T2 Applicable,T2 Available,T2 Positive,T2 Negative,T2 Data-End Censored,Fill Rate Among Resolved %
BREAKOUT,1135,802,333,0,4,798,792,316,476,6,798,791,116,675,7,70.6607929515
PULLBACK,12409,9535,2870,4,31,9504,9469,5346,4123,35,9504,9465,3266,6199,39,76.8641676743
