Method,Dataset,Target,Model Task Type,Evaluation Year,Evaluation Start,Evaluation End,Training Rows,Training Label Available Rows,Evaluation Candidate Rows,Evaluation Label Available Rows,Evaluation Not Applicable Rows,Evaluation Data-End Censored Rows,Training As-Of Date Min,Training As-Of Date Max,Training Label Availability Max,Training Availability Violations,Ambiguous Rows Count
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2019,2019-01-02,2019-12-31,5084,5084,540,540,195,0,2011-09-09,2018-12-05,2018-12-11,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2020,2020-01-01,2020-12-31,5620,5620,545,545,216,0,2011-09-09,2019-12-12,2019-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2021,2021-01-01,2021-12-31,6129,6129,1057,1057,352,0,2011-09-09,2020-12-18,2020-12-29,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2022,2022-01-05,2022-12-30,7253,7253,670,670,226,0,2011-09-09,2021-12-14,2021-12-28,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2023,2023-01-02,2023-12-29,7878,7878,740,740,285,0,2011-09-09,2022-12-26,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2024,2024-01-01,2024-12-31,8605,8605,851,851,299,0,2011-09-09,2023-12-22,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2025,2025-01-01,2025-12-31,9431,9431,533,533,155,0,2011-09-09,2024-12-23,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,T2_BEFORE_STOP_63,BINARY_CLASSIFICATION,2026,2026-01-01,2026-08-28,9959,9959,239,193,72,46,2011-09-09,2025-12-17,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2016,2016-01-04,2016-12-30,1747,1747,224,224,305,0,2011-09-09,2015-12-30,2015-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2017,2017-01-02,2017-12-29,1962,1962,672,672,547,0,2011-09-09,2016-12-19,2016-12-23,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2018,2018-01-02,2018-12-31,2628,2628,291,291,499,0,2011-09-09,2017-12-27,2017-12-29,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2019,2019-01-02,2019-12-31,2912,2912,246,246,489,0,2011-09-09,2018-12-17,2018-12-20,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2020,2020-01-01,2020-12-31,3179,3179,360,360,401,0,2011-09-09,2019-12-13,2019-12-20,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2021,2021-01-01,2021-12-31,3495,3495,572,572,837,0,2011-09-09,2020-12-22,2020-12-29,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2022,2022-01-05,2022-12-30,4111,4111,277,277,619,0,2011-09-09,2021-12-30,2022-01-03,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2023,2023-01-02,2023-12-29,4380,4380,423,423,602,0,2011-09-09,2022-12-07,2022-12-14,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2024,2024-01-01,2024-12-31,4796,4796,468,468,682,0,2011-09-09,2023-12-26,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2025,2025-01-01,2025-12-31,5251,5251,281,281,407,0,2011-09-09,2024-12-03,2024-12-05,0,0
