Method,Dataset,Target,Model Task Type,Evaluation Year,Evaluation Start,Evaluation End,Training Rows,Training Label Available Rows,Evaluation Candidate Rows,Evaluation Label Available Rows,Evaluation Not Applicable Rows,Evaluation Data-End Censored Rows,Training As-Of Date Min,Training As-Of Date Max,Training Label Availability Max,Training Availability Violations,Ambiguous Rows Count
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2026,2026-01-01,2026-08-28,9986,9986,239,192,72,47,2011-09-09,2025-12-02,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2016,2016-01-04,2016-12-30,3131,3131,384,384,145,0,2011-09-09,2015-11-17,2015-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2017,2017-01-02,2017-12-29,3508,3508,978,978,241,0,2011-09-09,2016-11-15,2016-12-27,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2018,2018-01-02,2018-12-31,4348,4348,597,597,193,0,2011-09-09,2017-11-17,2018-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2019,2019-01-02,2019-12-31,5071,5071,540,540,195,0,2011-09-09,2018-11-14,2018-12-28,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2020,2020-01-01,2020-12-31,5613,5613,545,545,216,0,2011-09-09,2019-11-18,2019-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2021,2021-01-01,2021-12-31,6111,6111,1057,1057,352,0,2011-09-09,2020-11-17,2020-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2022,2022-01-05,2022-12-30,7246,7246,670,670,226,0,2011-09-09,2021-11-23,2022-01-04,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2023,2023-01-02,2023-12-29,7845,7845,740,740,285,0,2011-09-09,2022-11-18,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2024,2024-01-01,2024-12-31,8592,8592,851,851,299,0,2011-09-09,2023-11-10,2023-12-27,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2025,2025-01-01,2025-12-31,9421,9421,533,533,155,0,2011-09-09,2024-11-14,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_30_ENTRY_INCLUSIVE_PCT,REGRESSION,2026,2026-01-01,2026-08-28,9952,9952,239,181,72,58,2011-09-09,2025-11-18,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2016,2016-01-04,2016-12-30,3096,3096,384,384,145,0,2011-09-09,2015-10-26,2016-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2017,2017-01-02,2017-12-29,3494,3494,978,978,241,0,2011-09-09,2016-10-26,2016-12-30,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2018,2018-01-02,2018-12-31,4286,4286,597,597,193,0,2011-09-09,2017-10-27,2018-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2019,2019-01-02,2019-12-31,5070,5070,540,540,195,0,2011-09-09,2018-10-22,2018-12-27,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2020,2020-01-01,2020-12-31,5571,5571,545,545,216,0,2011-09-09,2019-10-24,2019-12-30,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2021,2021-01-01,2021-12-31,6065,6065,1057,1057,352,0,2011-09-09,2020-10-27,2020-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2022,2022-01-05,2022-12-30,7183,7183,670,670,226,0,2011-09-09,2021-10-29,2022-01-04,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2023,2023-01-02,2023-12-29,7764,7764,740,740,285,0,2011-09-09,2022-10-27,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2024,2024-01-01,2024-12-31,8574,8574,851,851,299,0,2011-09-09,2023-10-23,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2025,2025-01-01,2025-12-31,9377,9377,533,533,155,0,2011-09-09,2024-10-24,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_45_ENTRY_INCLUSIVE_PCT,REGRESSION,2026,2026-01-01,2026-08-28,9904,9904,239,164,72,75,2011-09-09,2025-10-27,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2016,2016-01-04,2016-12-30,3068,3068,384,384,145,0,2011-09-09,2015-08-25,2015-12-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2017,2017-01-02,2017-12-29,3474,3474,978,978,241,0,2011-09-09,2016-09-28,2016-12-30,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2018,2018-01-02,2018-12-31,4266,4266,597,597,193,0,2011-09-09,2017-09-29,2018-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2019,2019-01-02,2019-12-31,5030,5030,540,540,195,0,2011-09-09,2018-09-27,2019-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2020,2020-01-01,2020-12-31,5532,5532,545,545,216,0,2011-09-09,2019-09-26,2019-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2021,2021-01-01,2021-12-31,6015,6015,1057,1057,352,0,2011-09-09,2020-09-23,2020-12-23,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2022,2022-01-05,2022-12-30,7089,7089,670,670,226,0,2011-09-09,2021-10-04,2022-01-04,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2023,2023-01-02,2023-12-29,7738,7738,740,740,285,0,2011-09-09,2022-09-29,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2024,2024-01-01,2024-12-31,8510,8510,851,851,299,0,2011-09-09,2023-09-26,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2025,2025-01-01,2025-12-31,9288,9288,533,533,155,0,2011-09-09,2024-09-27,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_ENTRY_INCLUSIVE_PCT,REGRESSION,2026,2026-01-01,2026-08-28,9857,9857,239,149,72,90,2011-09-09,2025-09-29,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-18,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2016-12-28,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2018,2018-01-01,2018-12-10,1715,1715,261,261,0,0,2012-02-28,2017-12-21,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-17,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2020,2020-01-01,2020-12-21,2371,2371,296,296,0,0,2012-02-28,2019-12-23,2019-12-31,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2020-12-29,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-02,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2023,2023-01-02,2023-12-29,3448,3448,351,351,0,0,2012-02-28,2022-12-23,2022-12-30,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2024,2024-01-01,2024-12-30,3799,3799,245,245,0,0,2012-02-28,2023-12-21,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2025,2025-01-03,2025-12-31,4057,4057,226,226,0,0,2012-02-28,2024-12-26,2025-01-02,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,REGRESSION,2026,2026-01-01,2026-08-13,4276,4276,65,65,0,0,2012-02-28,2025-12-23,2025-12-31,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-18,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2016-12-28,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2018,2018-01-01,2018-12-10,1715,1715,261,261,0,0,2012-02-28,2017-12-21,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-17,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2020,2020-01-01,2020-12-21,2371,2371,296,296,0,0,2012-02-28,2019-12-23,2019-12-31,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2020-12-29,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-02,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2023,2023-01-02,2023-12-29,3448,3448,351,351,0,0,2012-02-28,2022-12-23,2022-12-30,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2024,2024-01-01,2024-12-30,3799,3799,245,245,0,0,2012-02-28,2023-12-21,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2025,2025-01-03,2025-12-31,4057,4057,226,226,0,0,2012-02-28,2024-12-26,2025-01-02,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,REGRESSION,2026,2026-01-01,2026-08-13,4276,4276,65,65,0,0,2012-02-28,2025-12-23,2025-12-31,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-18,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2016-12-28,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2018,2018-01-01,2018-12-10,1715,1715,261,261,0,0,2012-02-28,2017-12-21,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-17,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2020,2020-01-01,2020-12-21,2371,2371,296,296,0,0,2012-02-28,2019-12-23,2019-12-31,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2020-12-29,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-02,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2023,2023-01-02,2023-12-29,3448,3448,351,351,0,0,2012-02-28,2022-12-23,2022-12-30,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2024,2024-01-01,2024-12-30,3799,3799,245,245,0,0,2012-02-28,2023-12-21,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2025,2025-01-03,2025-12-31,4057,4057,226,226,0,0,2012-02-28,2024-12-26,2025-01-02,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,REGRESSION,2026,2026-01-01,2026-08-13,4276,4276,65,65,0,0,2012-02-28,2025-12-23,2025-12-31,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-26,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2017-01-04,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2018,2018-01-01,2018-12-10,1692,1692,261,261,0,0,2012-02-28,2017-12-14,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-24,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2020,2020-01-01,2020-12-21,2368,2368,296,296,0,0,2012-02-28,2019-12-04,2019-12-18,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2021-01-05,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-09,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2023,2023-01-02,2023-12-29,3443,3443,351,351,0,0,2012-02-28,2022-12-07,2022-12-21,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2024,2024-01-01,2024-12-30,3789,3789,245,245,0,0,2012-02-28,2023-12-14,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2025,2025-01-03,2025-12-31,4046,4046,226,226,0,0,2012-02-28,2024-12-18,2025-01-02,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,REGRESSION,2026,2026-01-01,2026-08-13,4263,4263,65,65,0,0,2012-02-28,2025-12-16,2025-12-31,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-26,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2017-01-04,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2018,2018-01-01,2018-12-10,1692,1692,261,261,0,0,2012-02-28,2017-12-14,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-24,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2020,2020-01-01,2020-12-21,2368,2368,296,296,0,0,2012-02-28,2019-12-04,2019-12-18,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2021-01-05,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-09,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2023,2023-01-02,2023-12-29,3443,3443,351,351,0,0,2012-02-28,2022-12-07,2022-12-21,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2024,2024-01-01,2024-12-30,3789,3789,245,245,0,0,2012-02-28,2023-12-14,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2025,2025-01-03,2025-12-31,4046,4046,226,226,0,0,2012-02-28,2024-12-18,2025-01-02,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,REGRESSION,2026,2026-01-01,2026-08-13,4263,4263,65,65,0,0,2012-02-28,2025-12-16,2025-12-31,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-26,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2017-01-04,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2018,2018-01-01,2018-12-10,1692,1692,261,261,0,0,2012-02-28,2017-12-14,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-24,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2020,2020-01-01,2020-12-21,2368,2368,296,296,0,0,2012-02-28,2019-12-04,2019-12-18,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2021-01-05,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-09,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2023,2023-01-02,2023-12-29,3443,3443,351,351,0,0,2012-02-28,2022-12-07,2022-12-21,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2024,2024-01-01,2024-12-30,3789,3789,245,245,0,0,2012-02-28,2023-12-14,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2025,2025-01-03,2025-12-31,4046,4046,226,226,0,0,2012-02-28,2024-12-18,2025-01-02,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,REGRESSION,2026,2026-01-01,2026-08-13,4263,4263,65,65,0,0,2012-02-28,2025-12-16,2025-12-31,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-12-10,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2017-01-18,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2018,2018-01-01,2018-12-10,1641,1641,261,261,0,0,2012-02-28,2017-11-30,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2019-01-08,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2020,2020-01-01,2020-12-21,2364,2364,296,296,0,0,2012-02-28,2019-12-02,2019-12-31,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2021-01-19,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-23,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2023,2023-01-02,2023-12-29,3434,3434,351,351,0,0,2012-02-28,2022-12-02,2022-12-30,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2024,2024-01-01,2024-12-30,3766,3766,245,245,0,0,2012-02-28,2023-11-30,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2025,2025-01-03,2025-12-31,4037,4037,226,226,0,0,2012-02-28,2024-11-26,2024-12-24,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,REGRESSION,2026,2026-01-01,2026-08-13,4238,4238,65,63,0,2,2012-02-28,2025-11-04,2025-12-03,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-12-10,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2017-01-18,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2018,2018-01-01,2018-12-10,1641,1641,261,261,0,0,2012-02-28,2017-11-30,2017-12-29,0,170
