Dataset,Era,Feature,Rows,Available Rows,Mean,Std,Min,Median,Max
signal_state,2011-2015,Stock ATR,18936,18936,10.8866853889,11.7528038146,0.13135959965,7.73021184855,110.311425357
signal_state,2011-2015,Stock ATR %,18936,18936,2.79129229389,0.7320361201,0.764787635104,2.67052144875,8.09176861005
signal_state,2011-2015,Stock Average Volume 20,18936,18936,7181812.1199,6791182.12528,227937.3,4815258.5,44057768.45
signal_state,2011-2015,Stock Breakout High 20,18936,18936,436.15560738,527.504720608,8.1906055475,294.356587335,4329.91389858
signal_state,2011-2015,Stock Close,18936,18936,413.700199923,506.792964212,7.48195791245,279.5756073,4282.81884766
signal_state,2011-2015,Stock Daily ST,18936,18936,409.510435255,495.40301008,7.35196151104,275.846813418,4314.9619371
signal_state,2011-2015,Stock Daily ST Direction,18936,18936,0.120088719899,0.992789378461,-1,1,1
signal_state,2011-2015,Stock High,18936,18936,419.025744449,512.349632453,7.59649503792,282.964560791,4329.91389858
signal_state,2011-2015,Stock Low,18936,18936,408.541180194,501.426916859,7.35835816464,275.319230258,4250.68289015
signal_state,2011-2015,Stock Open,18936,18936,413.865101682,506.932590518,7.49184706455,279.636267911,4279.69958248
signal_state,2011-2015,Stock Range / ATR,18936,18936,0.956780100145,0.404361440557,0,0.877905598998,6.68292037988
signal_state,2011-2015,Stock Realized Volatility 10D %,18936,18936,27.5220884674,12.0185770929,2.51525760473,25.2592031089,112.24207089
signal_state,2011-2015,Stock Realized Volatility 20D %,18936,18936,28.3294333147,10.2014088796,4.61716418577,26.5435494109,92.2970841065
signal_state,2011-2015,Stock Recent High 20,18936,18936,436.15560738,527.504720608,8.1906055475,294.356587335,4329.91389858
signal_state,2011-2015,Stock Relative Volume 20D,18936,18936,1.01255070062,0.629122157436,0,0.882012563644,16.5243687703
signal_state,2011-2015,Stock Relative Volume 5D,18936,18936,1.00929748465,0.424917055652,0,0.938370220122,4.77501367471
signal_state,2011-2015,Stock Return 10D %,18936,18936,0.954283470477,5.91999780814,-31.6800281885,0.827391451826,42.2583037674
signal_state,2011-2015,Stock Return 1D %,18936,18936,0.09454536249,1.88601891401,-21.2586193843,0.0509710302734,17.8772085112
signal_state,2011-2015,Stock Return 20D %,18936,18936,1.84099485023,8.32021528025,-29.0382538452,1.39358008231,51.2596616246
signal_state,2011-2015,Stock Return 5D %,18936,18936,0.486626112714,4.20950591529,-26.7108534269,0.398795939664,31.5322021468
signal_state,2011-2015,Stock Return 60D %,18936,18936,5.28233077831,14.776823134,-42.3797761828,4.29297099688,100.403938453
signal_state,2011-2015,Stock SMA20,18936,18936,410.219244111,499.577031626,7.68944365978,277.8388443,4172.22247314
signal_state,2011-2015,Stock SMA200,18936,18936,378.997291238,433.050440099,8.82829153776,253.413060531,3732.88025757
signal_state,2011-2015,Stock SMA50,18936,18936,405.011651398,488.144889593,7.93296851158,271.885270691,4129.41376953
signal_state,2011-2015,Stock Same-Day Gap %,18936,18936,0.119595837957,0.879925775951,-9.99999876552,0.109715355267,11.0817405305
signal_state,2011-2015,Stock Swing Low 10,18936,18936,393.934058517,484.462430013,7.35835816464,265.885129302,4134.52713421
signal_state,2011-2015,Stock Volume,18936,18936,7178205.56179,8768488.57876,0,4330468.5,265709391
signal_state,2011-2015,Stock Weekly ST,18936,18936,389.646489637,467.776432578,7.39990895564,271.00292386,4214.4171881
signal_state,2011-2015,Stock Weekly ST Direction,18936,18936,0.361216730038,0.932506512246,-1,1,1
signal_state,2011-2015,Stop Distance ATR,18936,4178,2.19330732753,0.834723299539,1.49991865386,1.9997177288,10.1248088333
signal_state,2011-2015,Stop Loss,18936,4178,462.155210723,602.674745641,9.0288,289.5386,3989.3905
signal_state,2011-2015,Support,18936,3816,482.740180136,635.068856814,9.7315,299.8856,4164.2044
signal_state,2011-2015,T1 Distance ATR,18936,4178,2.25077379529,1.2665184084,0.0282623992355,2.00192217335,15.1872295613
signal_state,2011-2015,T2 Distance ATR,18936,4178,5.07565900016,2.22799283039,1.34474046003,4.50638585691,25.3120710171
signal_state,2011-2015,Target 1,18936,4178,515.301926424,662.960073704,10.4723,319.7276,4329.9139
signal_state,2011-2015,Target 2,18936,4178,548.838524174,705.740782563,11.99,341.85545,4757.8851
signal_state,2011-2015,Technical Score,18936,18936,52.44291297,22.4475332752,0,56,90
signal_state,2011-2015,Volume Ratio,18936,18936,1.01255068652,0.62912243447,0,0.882,16.5244
signal_state,2011-2015,Weekly RSI,18936,18936,55.754531052,11.4767787833,21.98,55.55,89.65
signal_state,2016-2020,20 DMA,22583,22583,843.002898906,1382.65823617,19.4642,463.2566,8764.93
signal_state,2016-2020,200 DMA,22583,22583,817.706303352,1339.70480393,26.0101,463.946,8321.913
signal_state,2016-2020,50 DMA,22583,22583,837.508665053,1374.38967179,20.4831,462.4371,8563.8334
signal_state,2016-2020,ADX,22583,22583,26.0628711863,10.3699440999,7.3,23.91,67.02
signal_state,2016-2020,Actionability Score,22583,22583,11.5195501041,19.4856238478,0,1,98
signal_state,2016-2020,Daily RSI,22583,22583,51.9695678165,12.3086037821,8.69,52.36,89.44
signal_state,2016-2020,Distance 20DMA %,22583,22583,0.432738418279,5.13793902457,-48.5423,0.5132,38.3688
signal_state,2016-2020,Distance 50DMA %,22583,22583,1.05213063809,8.27196806956,-56.3169,1.5352,56.736
signal_state,2016-2020,Distance To Support %,22583,3953,1.52994099865,1.1167962565,0.00104938951764,1.28228880916,7.93940186133
signal_state,2016-2020,Distance To T1 %,22583,4282,4.73218066709,3.43465547047,-1.92564106966,3.8069893295,26.234369885
signal_state,2016-2020,Distance To T2 %,22583,4282,11.20030365,5.66104213228,0.568391580669,10.1369012527,49.4501589288
signal_state,2016-2020,Entry High,22583,4282,926.466307567,1394.69105339,29.149,548.60605,9116.2158
signal_state,2016-2020,Entry Low,22583,4282,911.813405745,1375.01700025,28.4455,539.63235,8981.4934
signal_state,2016-2020,Initial Risk %,22583,4282,5.14410866435,2.10467993473,1.78483585904,4.66902594478,19.7800666488
signal_state,2016-2020,Market Score,22583,22583,68.9383607138,29.9471992748,0,80,100
signal_state,2016-2020,NIFTY ADX,22583,22583,25.6665724723,9.90911777883,9.94583690977,23.9872730963,62.7611744201
signal_state,2016-2020,NIFTY ATR %,22583,22583,1.28630166403,0.77804887888,0.650248730367,1.10160913015,6.90811724041
signal_state,2016-2020,NIFTY Close,22583,22583,10227.094502,1452.24054813,6970.60009766,10491.0498047,13981.9501953
signal_state,2016-2020,NIFTY Daily RSI,22583,22583,55.243649184,12.5798332062,12.9417993985,56.6758235192,82.1680065986
signal_state,2016-2020,NIFTY Daily ST,22583,22583,10149.8815358,1388.16977665,6909.06652761,10475.2458115,13471.5441744
signal_state,2016-2020,NIFTY Daily ST Direction,22583,22583,0.358455475358,0.933567493703,-1,1,1
signal_state,2016-2020,NIFTY Distance SMA20 %,22583,22583,0.458947454412,3.02307200274,-26.0401005904,0.776879378261,9.54023921919
signal_state,2016-2020,NIFTY Distance SMA200 %,22583,22583,3.17921518196,7.80590524903,-34.1422779737,4.4499743831,27.6788780909
signal_state,2016-2020,NIFTY Distance SMA50 %,22583,22583,1.1227102931,4.98589024694,-33.2331836571,1.90422619248,11.5782616783
signal_state,2016-2020,NIFTY Drawdown From 252D High %,22583,22583,-6.10023153312,6.69336154855,-38.4398524527,-4.00751292041,0
signal_state,2016-2020,NIFTY Market Score,22583,22583,68.9383607138,29.9471992748,0,80,100
signal_state,2016-2020,NIFTY Return 20D %,22583,22583,1.06870351735,5.3636119433,-37.0056722327,1.44217594856,20.2904029516
signal_state,2016-2020,NIFTY Return 5D %,22583,22583,0.264008162915,2.55894010693,-19.0239473689,0.427742092999,10.5221460202
signal_state,2016-2020,NIFTY Return 60D %,22583,22583,2.77839997664,9.5115078579,-37.2430730705,4.16094830022,37.5907493184
signal_state,2016-2020,NIFTY Rolling Volatility 20D %,22583,22583,14.8559844805,10.6651317149,5.09506479643,12.4092165923,88.8379213501
signal_state,2016-2020,NIFTY SMA20,22583,22583,10181.3088691,1415.33167336,7170.40002441,10445.2799805,13594.3449707
signal_state,2016-2020,NIFTY SMA200,22583,22583,9925.66967322,1287.37939922,7769.23649658,10492.5842627,11684.4315088
signal_state,2016-2020,NIFTY SMA50,22583,22583,10117.9866358,1367.39850754,7356.30598633,10475.1669922,12874.7420117
signal_state,2016-2020,NIFTY Weekly RSI,22583,22583,56.8780674123,11.926193139,13.7032966656,58.9297016266,79.6971249467
signal_state,2016-2020,NIFTY Weekly ST,22583,22583,10049.0899325,1320.8338,7167.63761209,10463.9168474,12644.3001555
signal_state,2016-2020,NIFTY Weekly ST Direction,22583,22583,0.188327502989,0.982128028353,-1,1,1
signal_state,2016-2020,Overextended,22583,22583,0.284550325466,0.451209987646,0,0,1
signal_state,2016-2020,Price,22583,22583,846.941260333,1388.43990843,17.6031,465.6319,9039.3643
signal_state,2016-2020,R:R T1,22583,4282,1.13483846333,0.581867834677,0.0013,1.03295,3.2908
signal_state,2016-2020,R:R T2,22583,4282,2.34736870621,0.493471365823,0.3324,2.5,4.4716
signal_state,2016-2020,RS 120D,22583,22583,0.67721250941,17.5445984342,-55.9255,0.5051,101.7896
signal_state,2016-2020,RS 20D,22583,22583,0.14834823097,7.47550027158,-36.6615,-0.109,58.5609
signal_state,2016-2020,RS 60D,22583,22583,0.348829553204,12.4796538095,-55.924,0.0545,119.288
signal_state,2016-2020,RS120 Cross-Sectional Percentile,22583,22583,52.8172099646,28.8098657991,5.26315789474,52.6315789474,100
signal_state,2016-2020,RS20 Cross-Sectional Percentile,22583,22583,52.8088198622,28.7985850621,5.26315789474,52.6315789474,100
signal_state,2016-2020,RS60 Cross-Sectional Percentile,22583,22583,52.8619571778,28.8131072884,5.26315789474,52.6315789474,100
signal_state,2016-2020,Resistance 1,22583,4027,945.08366598,1414.34955725,29.7221,569.3921,9190.0914
signal_state,2016-2020,Resistance 2,22583,719,988.865032684,1513.61288477,33.9472,559.1039,9190.0914
signal_state,2016-2020,Stock ATR,22583,22583,21.2566517541,35.1902897136,0.520166845625,12.3227720308,413.837309895
