Date,Open,High,Low,Close,Volume
2010-06-07,136.4766883317465,136.4766883317465,132.21629472352208,133.0647735595703,27858317
2010-06-08,133.0467116005283,136.56694293484563,131.96355814355738,132.830078125,26978136
2010-06-09,132.68564186571777,134.43673681558016,130.55545924126298,131.43099975585938,33286679
2010-06-10,133.34458165992336,137.64107165282445,131.78304424764278,137.03631591796875,24950044
2010-06-11,138.91375323224386,139.52754341305197,136.77453603490326,138.08334350585938,26420786
2010-06-14,138.64298096548416,139.50950098858556,136.1427170441836,137.24391174316406,17644648
2010-06-15,137.37928218222723,138.82348198935486,135.28519594205943,137.1446075439453,16351196
2010-06-16,138.1013881666394,142.2534504051039,138.1013881666394,140.8724365234375,26018942
2010-06-17,141.53135229167276,145.4126295362399,139.90662931848934,144.81689453125,23857959
2010-06-18,145.3223698471085,146.58603246024717,143.15607716105933,144.74468994140625,20921856
2010-06-21,146.0444744302377,148.63501361949184,145.34043655940684,145.73757934570312,19993034
2010-06-22,146.1347309984562,146.1347309984562,142.90333996996796,143.99551391601562,15775037
2010-06-23,142.63257448019314,145.66538757389375,142.26249343836872,142.8040771484375,17385856
2010-06-24,143.02970219392395,144.0225799396099,141.12515988140257,141.7479705810547,15245467
2010-06-25,141.74797079106403,142.4339674051371,138.23677454172784,138.805419921875,17019276
2010-06-28,139.0040253429878,143.30953576559386,139.0040253429878,142.4791259765625,12556784
2010-06-29,142.4339732413232,142.4339732413232,138.37217263154983,139.17550659179688,14291135
2010-06-30,137.24390539574253,141.14323835902218,136.98214110572354,140.53848266601562,17480177
2010-07-01,140.41208725534705,140.8272990277452,137.40635048381668,137.6951904296875,12274979
2010-07-02,139.00401244334992,140.06009013246552,137.74033580640955,138.3541259765625,12038767
2010-07-05,138.09234386090682,140.7641098174661,137.03628022890703,137.77642822265625,16098868
2010-07-06,138.092374515091,139.32897556412084,137.37930206219673,138.6249237060547,14020533
2010-07-07,138.37217633956445,138.98595256799743,135.10467508836862,135.5650177001953,12754144
2010-07-08,137.19877096498465,138.29997950467765,136.23296878467772,136.50375366210938,11395778
2010-07-09,137.37927629255458,139.45530733600503,137.01822983641858,139.13037109375,15919247
2010-07-12,140.2676793981104,143.1921752571211,139.41921463605587,142.64157104492188,22252204
2010-07-13,142.79502792497962,145.2682158640966,142.17221716305343,144.76275634765625,14691923
2010-07-14,145.68343068685152,147.09152037572744,143.51713778699087,144.4197540283203,13678058
2010-07-15,144.41976545136632,146.5860585225724,142.79504216779398,146.13475036621094,15651496
2010-07-16,146.22500835246973,150.89157911906904,146.03546449979117,150.26876831054688,26426881
2010-07-19,149.29392512296647,150.53954668613233,148.23786132495067,148.98703002929688,9332836
2010-07-20,149.65498509625886,150.3770920828821,146.04449192515688,146.77561950683594,8860549
2010-07-21,147.66919715701067,149.09534192412184,147.3803571818741,148.0934295654297,9242644
2010-07-22,147.84972062508203,151.6407366040665,147.12762764648298,151.0991668701172,13248283
2010-07-23,152.01985509986608,152.89540963854412,150.08825059913653,151.35191345214844,13194906
2010-07-26,151.82129950964128,151.8573958122893,147.68727752839155,148.2469024658203,8951373
2010-07-27,148.21075419218207,153.07590254158765,148.21075419218207,152.4621124267578,14545160
2010-07-28,152.00179415947574,154.98044156092823,152.00179415947574,154.3125,14313133
2010-07-29,154.54719129854325,156.92108309961435,152.61557309397617,156.46075439453125,18101253
2010-07-30,154.16809284214787,155.3956592818299,152.2274540040867,152.78707885742188,10827028
2010-08-02,154.15906183975503,155.77476443626398,152.21842295747763,152.9676055908203,11074418
2010-08-03,154.3305541337697,154.52913248203527,151.4782646668075,151.96568298339844,14728713
2010-08-04,152.18235664074734,153.08497307978365,150.73815641761624,152.44410705566406,7603626
2010-08-05,152.72387125761944,156.46975596592452,152.1642464837218,155.43174743652344,14736203
2010-08-06,155.25126418378048,162.79718694158834,154.9353345423928,161.33494567871094,34896871
2010-08-09,162.23754629550163,166.39864343585378,161.56960469675826,165.9744110107422,21464474
2010-08-10,169.7548804794761,177.46267871948484,162.81787479986465,175.6825408935547,81052897
2010-08-11,176.5909599990331,188.01501246756507,176.4624922117398,184.7483673095703,82490235
2010-08-12,184.8034505082349,189.61163886361388,181.78457040053888,188.05172729492188,34680035
2010-08-13,188.47381907041623,189.94197191606264,184.89520270045747,185.97796630859375,19571364
2010-08-16,186.61111824254357,187.67552735206826,182.1791346631919,183.76657104492188,13504956
2010-08-17,184.40887233562862,186.9689590219891,183.15177573555627,184.7392120361328,20910035
2010-08-18,186.08808616194133,194.25466454461358,185.90455466709682,192.38278198242188,33446080
2010-08-19,190.8595502133401,192.6947376518702,189.38222722639156,190.942138671875,15331571
2010-08-20,188.7857720743342,190.49249150668538,185.87699164828652,186.33578491210938,20173575
2010-08-23,187.16162693854088,188.32696465896095,184.61989527510187,186.33578491210938,12888823
2010-08-24,186.43676392591715,187.18918785420547,184.82180283444777,185.67515563964844,9869360
2010-08-25,184.8951961223337,185.98712989783857,180.41733364031188,182.105712890625,15772252
2010-08-26,181.68361691145273,186.81297447367888,181.16058968315292,183.04165649414062,30891404
2010-08-27,182.96825749056083,185.7026912957161,181.15142452566988,181.8304443359375,12903049
2010-08-30,184.2528635884593,185.33562711266856,179.88512866959752,181.6560821533203,13117949
2010-08-31,180.76604744997036,186.2532558420508,180.09619780089406,185.41824340820312,32532480
2010-09-01,186.27158571083635,187.09741367675602,184.09688841871883,185.4916229248047,14422741
2010-09-02,187.37269398501076,189.38222856058172,186.0880726750761,186.6294403076172,13703574
2010-09-03,187.20754265022393,188.1526682786321,185.39987985756756,186.0421905517578,5986873
2010-09-06,187.11579341425121,190.8595728362364,187.11579341425121,189.94198608398438,10815687
2010-09-07,189.5749093853641,194.62167823610503,189.5749093853641,190.70355224609375,11105372
2010-09-08,189.9419688210742,191.53857528550637,188.31782343533425,189.55657958984375,7991987
2010-09-09,189.758445527966,191.48351973248347,185.1062359779948,186.24404907226562,11910673
2010-09-13,187.4093917190079,189.85019470199094,186.69366285431167,188.4738006591797,12417880
2010-09-14,189.94196275677368,195.99807703253322,188.10677532609938,193.64903259277344,28712790
