Date,Open,High,Low,Close,Volume
2010-06-07,579.7922869626897,585.0952326329366,574.0650609726262,579.8629760742188,1230927
2010-06-08,581.5600389490904,584.5651036941953,572.368218994138,575.337890625,2037291
2010-06-09,578.378246747578,583.3276994260061,571.1308633739449,580.7645874023438,2243997
2010-06-10,582.3377511981635,592.1659664538705,582.267062077698,591.2467651367188,3062198
2010-06-11,594.6407399647994,595.7013682009754,590.7519154161656,592.8907470703125,2269413
2010-06-14,594.6407040255621,604.4689198721903,593.5447798413542,602.383056640625,3002206
2010-06-15,609.3653397448502,611.0799880634515,601.0043111880755,609.648193359375,3101676
2010-06-16,615.1455251101631,615.1455251101631,604.5572559654993,608.4991455078125,1983834
2010-06-17,608.0750118337418,629.993983640603,604.893224037577,628.226318359375,6239173
2010-06-18,629.2868628634872,642.5443274550706,629.2868628634872,635.8272094726562,5589558
2010-06-21,638.3195187667975,651.5592601682977,636.7993143577218,649.2083129882812,3011031
2010-06-22,647.6703417197745,650.4985856746174,638.60223052745,645.2486572265625,3265074
2010-06-23,644.8421793332241,645.2487388462822,621.1732205311527,624.00146484375,5630807
2010-06-24,628.5796982143839,635.5619475629939,624.1782327104638,633.4053955078125,3753819
2010-06-25,632.8219639149221,634.5719561807091,619.5114872996938,621.8978271484375,1729572
2010-06-28,621.8626321211268,635.1377673765141,621.3677111765616,633.8473510742188,1676344
2010-06-29,632.6984773567082,638.7261820341729,629.2868530217254,635.2261962890625,3150002
2010-06-30,629.2868309005949,642.3675234545353,627.9434462125264,639.5216064453125,2708743
2010-07-01,636.2160221375099,638.4609843291681,631.4079967100813,634.289306640625,1386580
2010-07-02,635.7211246593475,640.5998393877957,629.2868122613847,631.4080200195312,1035810
2010-07-05,631.4077889534767,638.6198247215921,629.3396473450392,633.1224365234375,955363
2010-07-06,633.8827840674023,638.2135125305998,631.76157626384,636.2514038085938,1142779
2010-07-07,637.4178786007658,638.0188816378641,629.286641048763,631.7083740234375,1253083
2010-07-08,636.3573732086528,646.6098191326654,636.3220286524016,643.3926391601562,2338247
2010-07-09,646.9633378257279,649.8269752440949,642.7209713598932,644.1881103515625,1404481
2010-07-12,639.8927889123918,649.4204785154958,638.1251239098469,645.602294921875,2396166
2010-07-13,646.9634534115717,653.2916839584332,642.7210861877998,650.0922241210938,2688162
2010-07-14,648.7840737751796,670.2611377338662,648.7840737751796,666.0010986328125,4515871
2010-07-15,669.5893125523447,670.93274543823,660.5035289836144,662.4656372070312,2694048
2010-07-16,662.8723826899343,666.4077129395308,658.1350459815018,661.3168334960938,2488567
2010-07-19,659.5845959379008,671.3218560814781,656.2790537283272,669.6956176757812,2349240
2010-07-20,669.6955082316656,678.4277506441331,668.2813859991072,673.124755859375,2295076
2010-07-21,673.4428898560164,678.7812290767247,670.7737445207714,677.2080078125,2049833
2010-07-22,678.4279645833386,682.9884823051019,670.1906405070648,681.3622436523438,2340938
2010-07-23,685.7812099811949,687.6372362936405,682.3165692710342,685.091796875,2851672
2010-07-26,685.8518198878041,689.6346097445181,677.0134963369412,678.7634887695312,1649025
2010-07-27,682.3165225561186,682.3165225561186,652.301662727207,658.8596801757812,10142736
2010-07-28,657.5694099332622,664.6400216033879,643.0392507596647,644.718505859375,3784592
2010-07-29,639.963425150426,649.278998067441,633.5291619710323,642.7033081054688,4492296
2010-07-30,652.248736223731,652.248736223731,633.2110289149606,634.3423461914062,2407952
2010-08-02,636.710904755938,645.0542589945811,636.710904755938,640.705810546875,1354565
2010-08-03,643.4281338574648,644.8068630702373,627.9257565768969,631.1075439453125,2674543
2010-08-04,632.1151238213619,642.3675230914655,627.8373636190196,638.4786987304688,2379782
2010-08-05,643.3926055310623,644.5415948504588,637.7714619749179,639.4330444335938,2221589
2010-08-06,641.660375672335,646.8572878130155,634.6427333593875,636.8876953125,1769087
2010-08-09,639.4331089136109,642.3674354782041,635.2437592398542,640.91796875,1381054
