Experiment ID,Variant,Starting Equity,Ending Equity,Net Return %,Total Trades,Wins,Losses,Win Rate %,Average Winner,Average Loser,Average R,Median R,Expectancy R,Profit Factor,Maximum Consecutive Losses,Average Holding Days,Maximum Concurrent Positions,Capacity Rejections,Expired Orders,Survivorship Bias Warning,Annualized Return %,CAGR %,Annualized Volatility %,Sharpe Ratio (RF 6%),Sharpe Ratio (RF 0%),Sortino Ratio (RF 6%),Maximum Drawdown %,Calmar Ratio,Return / Max Drawdown,Drawdown Peak Date,Drawdown Bottom Date,Drawdown Recovery Date,Recovery Trading Days,Longest Below-Peak Trading Days,Best Daily Return %,Worst Daily Return %,Positive Trading Days %,Negative Trading Days %,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T1_10D,100000.0,124326.01055866251,24.326010558662503,356,166,190,46.62921348314607,968.5895856813379,-718.2097929707352,0.08299894817756756,-0.21814556525014073,0.08299894817756756,1.178264952347277,10,6.907303370786517,5,7,105,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.5874815808996883,1.4626374909558315,4.570921208400802,-0.9276210973520143,0.3473001411579988,-1.2871717859476,-12.262008587435414,0.11928204751500184,1.9838520243403501,2021-11-18,2023-05-23,,,1499,3.6388540508817346,-3.613301767103283,21.756756756756758,20.513513513513512,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,100000.0,111234.94170373605,11.234941703736045,341,140,201,41.05571847507331,1198.1473197865632,-778.6352391362324,0.03635995997933427,-1.0276245502438304,0.03635995997933427,1.0717861580717858,14,9.527859237536656,5,8,102,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,0.8501766444090046,0.7125828137253709,4.999339218568979,-0.9956091527555452,0.1700578030894973,-1.3604691457157678,-17.182034785161093,0.04147255098917494,0.653877252852431,2021-11-12,2023-05-23,,,1530,3.6137404996689826,-3.636146409052221,25.7027027027027,25.54054054054054,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_30D,100000.0,114618.14280695931,14.6181428069593,338,135,203,39.94082840236686,1312.1085857924747,-800.5739717981525,0.06432547378997147,-1.029897680059463,0.06432547378997147,1.089948659631745,16,10.692307692307692,5,13,102,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.0639702462927951,0.914015264321888,5.190308925607112,-0.9177862724801185,0.20499169925002925,-1.253311322613566,-17.8787703935833,0.05112293766297981,0.8176257362869742,2021-11-12,2023-03-02,,,1500,3.5891444149161345,-3.61389414153529,27.486486486486488,26.270270270270267,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_45D,100000.0,112981.18526035667,12.981185260356675,337,131,206,38.87240356083086,1369.0049887022403,-807.5653799011502,0.05590811033336805,-1.0310127934916813,0.05590811033336805,1.0780314064932162,16,11.367952522255193,5,13,101,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,0.9751021270930327,0.8172555440240536,5.362088183986169,-0.9049575901315534,0.18185119185565934,-1.2264889275684356,-16.85066327764012,0.048499903568099044,0.7703664269157865,2021-11-12,2023-05-23,,,1530,3.5826449804687632,-3.6186193954435786,29.081081081081084,27.378378378378375,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_63D,100000.0,113796.35985423552,13.796359854235508,336,131,205,38.98809523809524,1386.2281914302766,-818.5343084055158,0.05908019251745283,-1.0311240104520492,0.05908019251745283,1.0822192981662817,16,11.616071428571429,5,13,101,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.0243955241821254,0.8656024759321479,5.368234979960707,-0.8947389639041222,0.19082538823395984,-1.2129294240600001,-16.453966787445353,0.05260752541403067,0.8384822962425302,2021-11-12,2023-03-28,,,1530,3.6064563281889894,-3.6085119480566474,30.027027027027025,28.135135135135137,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_10D,100000.0,127963.00622488731,27.963006224887323,354,163,191,46.04519774011299,1004.921224331134,-711.1997557125,0.09635261647965027,-0.2536007496717184,0.09635261647965027,1.2058538023619243,10,7.4124293785310735,5,8,103,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.7932162330476766,1.6579255858828468,4.771582780590037,-0.8454947719883181,0.37581161545434494,-1.1802042092284002,-12.668541637944742,0.1308694902116466,2.207279024219543,2021-11-16,2023-05-23,2024-09-10,320.0,1541,3.986570672876777,-3.611820599787907,22.405405405405403,21.35135135135135,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_20D,100000.0,131261.534753896,31.261534753896015,336,132,204,39.285714285714285,1535.5668277514765,-840.3592475946018,0.1070404142037544,-1.0287470006363648,0.1070404142037544,1.1823539371521088,14,10.800595238095237,5,8,97,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2.002920618218339,1.8306106988858595,5.480058489774957,-0.6979202716657058,0.3654925621606989,-0.9669219008408089,-18.568029885642378,0.09858938778967437,1.683621522931133,2021-11-12,2023-05-23,,,1188,4.011672793553855,-3.901608812377666,27.64864864864865,26.81081081081081,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_30D,100000.0,125196.24263049879,25.1962426304988,328,118,210,35.97560975609756,1724.1294075170963,-848.8144164596124,0.10017461503733166,-1.0315896103498343,0.10017461503733166,1.1413525800665858,16,12.661585365853659,5,19,97,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.7006402549122839,1.5098451213988229,5.8324915414555445,-0.7075748406835827,0.2915804065594711,-0.9713036545412768,-20.117577217251416,0.07505104143972596,1.2524491571923622,2021-11-12,2023-03-02,,,1188,3.9776287611571037,-3.8807072995326597,29.486486486486484,28.16216216216216,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_45D,100000.0,120973.37741830572,20.973377418305716,323,108,215,33.43653250773993,1856.8418460864186,-835.1885672512907,0.08689826226321863,-1.0336107817125517,0.08689826226321863,1.116800680071967,16,14.13312693498452,5,20,96,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.4815396941987709,1.2778364410741982,6.076518635862644,-0.7152162437711814,0.2438138978880045,-0.9716659697607577,-19.069501709484825,0.06700943005965518,1.0998387759588881,2021-11-12,2023-03-13,,,1536,3.9717873584307783,-3.891143324953439,31.486486486486488,29.45945945945946,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_63D,100000.0,120930.92988785199,20.93092988785199,321,105,216,32.71028037383177,1992.4459857137476,-871.6476787596829,0.08801152268874836,-1.0341119884688825,0.08801152268874836,1.1111715840537637,16,14.894080996884735,5,20,96,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1.4844810829943333,1.27546618294887,6.163620536461242,-0.7046318668483803,0.24084563191598227,-0.9584714611983897,-21.271342187443988,0.05996171617707086,0.983996670422004,2021-11-16,2023-03-28,,,1536,3.9825096056187226,-3.9032190415887458,32.648648648648646,30.648648648648646,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
