Experiment ID,Variant,Market Regime,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,T1_10D,BULL,65,32,33,49.23076923076923,0.8613839981759748,-0.0407333123220925,0.19231257656437808,-0.008042337656979606,1.4580961500331886,0.19231257656437808,7.076923076923077,5,10301.414660360582,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,NEUTRAL,107,41,66,38.31775700934579,-0.3156906919693981,-2.0487617816871935,-0.09984991306749433,-1.0222487533468094,0.7825524025281976,-0.09984991306749433,6.411214953271028,10,-10783.452131154785,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,STRONG BULL,184,93,91,50.54347826086957,0.6633765034434944,0.15556667534118773,0.15071330854756182,0.03901183539336915,1.3853295983238536,0.15071330854756182,7.135869565217392,6,24808.048029456626,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,BULL,60,28,32,46.666666666666664,0.9411779129801859,-2.3038530909100023,0.2123585371334489,-0.6198095129354182,1.3841836347100895,0.2123585371334489,9.816666666666666,5,9715.765913993364,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,NEUTRAL,102,32,70,31.372549019607842,-0.7485643109977617,-2.801464492864728,-0.22269167638157422,-1.0344148858258815,0.6767063624061829,-0.22269167638157422,8.490196078431373,16,-18020.437664325313,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,STRONG BULL,179,80,99,44.6927374301676,0.5536407451442529,-1.5510265902453404,0.12498203975344481,-0.5027558217440737,1.2588846158800233,0.12498203975344481,10.022346368715084,7,19539.61345406809,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_30D,BULL,60,25,35,41.66666666666667,0.8391114253958136,-2.7151590066503433,0.17809190646409517,-1.0273703172792221,1.26087432305168,0.17809190646409517,11.066666666666666,7,7530.67206879393,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_30D,NEUTRAL,99,31,68,31.313131313131315,-0.6836936972798866,-2.8259685809033233,-0.18518694694645738,-1.0345728221499395,0.724450286456907,-0.18518694694645738,8.919191919191919,16,-14895.41420240677,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_30D,STRONG BULL,179,79,100,44.134078212290504,0.6765796828454813,-2.5988683506970904,0.1641899636919772,-1.0253584275315961,1.2761933295877843,0.1641899636919772,11.547486033519553,7,21982.88494057201,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_45D,BULL,60,24,36,40.0,0.6283424152304217,-2.7351046434378117,0.13064918412419754,-1.0289467618347912,1.175565594338264,0.13064918412419754,11.566666666666666,7,5282.0646446461315,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_45D,NEUTRAL,99,30,69,30.303030303030305,-0.7555718412142167,-2.9398621003501,-0.2020766275677658,-1.034587442619124,0.7142780622216284,-0.2020766275677658,9.323232323232324,16,-15763.13474305572,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
