Experiment ID,Variant,Ticker,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,T1_10D,M&M.NS,19,13,6,68.42105263157895,2.6523900277495733,2.0805284855111563,0.6915894110470289,0.7110600776909431,3.172755583430726,0.6915894110470289,7.842105263157895,3,10560.63919653223,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,MARUTI.NS,21,10,11,47.61904761904761,0.7002242382157645,-0.2699289920078163,0.259771800527304,-0.05951217738370248,1.8453126136152431,0.259771800527304,7.380952380952381,3,4076.2490684394634,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,SBIN.NS,22,6,16,27.27272727272727,-1.0013434588158336,-2.8544482573674674,-0.34230714623618963,-1.0375662945006647,0.5542615257096974,-0.34230714623618963,5.863636363636363,5,-5922.120096526083,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,SUNPHARMA.NS,14,5,9,35.714285714285715,-1.0048870920992266,-2.345961630730046,-0.2558532310129669,-0.5976947143211458,0.5591619092397602,-0.2558532310129669,7.928571428571429,4,-2718.7483582367495,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TCS.NS,19,6,13,31.57894736842105,-0.1937552506933986,-2.598868350697091,-0.13691286921607992,-0.7916063230112906,0.7373273288944934,-0.13691286921607992,6.631578947368421,4,-2387.1946720811966,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TITAN.NS,22,13,9,59.09090909090909,1.9682035584110649,1.7335983412482037,0.3458271579892097,0.3667463762957901,1.9740182392679664,0.3458271579892097,7.5,3,6145.154860028592,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TMPV.NS,8,2,6,25.0,-1.8936562145193845,-4.483503774827241,-0.4470706336772588,-1.0318144580615152,0.3961210723665679,-0.4470706336772588,5.375,5,-3205.8189609780957,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,WIPRO.NS,16,7,9,43.75,0.48828295366907215,-0.3876583822953717,0.15039973488707692,-0.1362581313046902,1.306467048686253,0.15039973488707692,7.875,4,1789.1875504538807,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,AXISBANK.NS,24,9,15,37.5,0.48580467628867013,-2.7189260002889735,0.06845912081402254,-1.034184468985353,1.1364345195121783,0.06845912081402254,8.375,3,1611.1455342114832,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,BEL.NS,10,5,5,50.0,0.7194791186673246,-1.2962006023031838,0.22777962305521485,-0.3595752915280539,1.41065545550457,0.22777962305521485,8.0,4,1816.2627124563292,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
