Experiment ID,Variant,Ticker,Signal Date,Entry Date,Exit Date,Signal,Setup,Market Regime,Entry Method,Nominal Entry,Executed Entry,Buy Limit,Stop,Target,Target Name,Quantity,Initial Risk Per Share,Portfolio Risk Budget,Position Value,Capital Constraint Reason,Exit Reason,Nominal Exit,Executed Exit,Gross PnL,Entry Slippage Cost,Exit Slippage Cost,Slippage Cost,Entry Transaction Cost,Exit Transaction Cost,Transaction Cost,Net PnL,Net Return %,R Multiple,Result,Bars Held,Portfolio Equity At Entry,Technical Score,Actionability Score,Planned R:R T1,RS 60D,Conservative Entry-Bar Ambiguity,ENTRY_BAR_AMBIGUITY,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,T1_10D,WIPRO.NS,2012-02-27,2012-02-28,2012-03-13,BUY,PULLBACK,BULL,PULLBACK_LIMIT,66.3231,66.3231,66.3231,63.6847,70.7259,T1,284,2.638399999999997,750.0,18835.7604,NONE,TIME_10D,67.28324890136719,67.2496072769165,272.6822879882822,0.0,9.554221343993333,9.554221343993333,9.417880199999999,9.549444233322143,18.96732443332214,244.16074221096673,1.2962616694304878,0.325849349332191,WIN,10,100000.0,77.0,86.0,1.6687,4.3021,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TCS.NS,2012-03-02,2012-03-05,2012-03-14,BUY,PULLBACK,BULL,PULLBACK_OPEN,434.1533449468474,434.37042161932084,434.8747,419.7644,458.0603,T1,51,14.606021619320813,751.5739493658604,22152.891502585364,NONE,STOP,419.7644,419.55451780000004,-733.8361922892175,11.07091029614395,10.70399219999905,21.774902496143,11.076445751292683,10.6986402039,21.775085955192683,-777.3861807405532,-3.5091860611055123,-1.0436015149304738,LOSS,7,100209.85991544805,72.0,88.0,1.5344,-2.6413,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,INFY.NS,2012-03-02,2012-03-05,2012-03-19,BUY,PULLBACK,BULL,PULLBACK_LIMIT,243.233,243.233,243.233,235.1516,257.3218,T1,92,8.081400000000002,749.9958318179565,22377.436,NONE,TIME_10D,243.87130737304688,243.74937171936037,58.72427832031212,0.0,11.218080139158587,11.218080139158587,11.188718000000001,11.212471099090576,22.40118909909058,25.105009082062956,0.1121889437291339,0.033766492625124885,WIN,10,99999.44424239421,74.0,88.0,1.7433,-2.9783,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,HCLTECH.NS,2012-03-22,2012-03-26,2012-03-29,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,81.767,81.767,81.767,78.0427,89.3244,T1,201,3.7242999999999995,749.3272997105081,16435.166999999998,NONE,STOP,78.0427,78.00367865,-748.5842999999999,0.0,7.843291349999745,7.843291349999745,8.217583499999998,7.839369704325,16.056953204324998,-772.4845445543247,-4.700192852036884,-1.0319272586324943,LOSS,4,99910.30662806774,74.0,77.0,2.0292,13.016,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,ITC.NS,2012-03-16,2012-03-19,2012-03-30,BUY,BREAKOUT,BULL,NEXT_OPEN,87.89301337245449,87.93695987914072,,81.9726,96.9112,T1,125,5.964359879140716,749.7672269248932,10992.11998489259,NONE,TIME_10D,91.90286254882812,91.85691111755372,501.23114704670434,5.493313335778183,5.743928909300422,11.237242245078605,5.496059992446295,5.741056944847108,11.237116937293402,478.7567878643323,4.355454530357463,0.6421568081948894,WIN,10,99968.96358998577,80.0,85.0,1.5,-5.9239,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TITAN.NS,2012-03-28,2012-03-29,2012-04-02,BUY,PULLBACK,NEUTRAL,PULLBACK_OPEN,207.50446090865188,207.6082131391062,208.2024,192.1217,234.9546,T1,48,15.486513139106194,744.0769367646222,9965.194230677098,NONE,TARGET,234.9546,234.8371227,1317.6066763847098,4.980107061807303,5.638910399999531,10.619017461806834,4.982597115338549,5.6360909448,10.618688060138549,1296.3689708627644,13.00896842403724,1.743948857330257,WIN,3,99210.25823528296,79.0,80.0,1.6636,19.0428,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,MARUTI.NS,2012-03-23,2012-03-26,2012-04-10,BUY,PULLBACK,BULL,PULLBACK_LIMIT,1152.0376,1152.0376,1152.0376,1094.9819,1262.9941,T1,13,57.055700000000115,748.3850055856223,14976.488800000001,NONE,TIME_10D,1127.630859375,1127.0670439453127,-317.28762812500145,0.0,7.329600585935395,7.329600585935395,7.488244400000001,7.325935785644532,14.814180185644533,-339.4314088965814,-2.2664284895441003,-0.4576248889534272,LOSS,10,99784.6674114163,80.0,92.0,1.9447,23.6852,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TMPV.NS,2012-03-26,2012-03-27,2012-04-11,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,251.1848,251.1848,251.1848,236.2742,278.8001,T1,50,14.910599999999988,750.3835842708384,12559.24,NONE,TIME_10D,264.9466552734375,264.8141819458008,688.0927636718752,0.0,6.6236663818358466,6.6236663818358466,6.27962,6.620354548645019,12.89997454864502,668.5691227413944,5.323324681600116,0.8967702476646077,WIN,10,100051.14456944512,75.0,78.0,1.852,39.815,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,MARUTI.NS,2012-04-12,2012-04-16,2012-04-27,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,1159.98,1159.98,1159.98,1102.8206,1262.9941,T1,13,57.159400000000005,756.1774387392754,15079.74,NONE,TIME_10D,1221.9388427734375,1221.3278733520508,805.4649560546873,0.0,7.942602478027084,7.942602478027084,7.53987,7.93863117678833,15.47850117678833,782.0438523998719,5.1860566057496476,1.0524466564620125,WIN,10,100823.65849857006,70.0,90.0,1.8022,22.7425,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_10D,TITAN.NS,2012-04-16,2012-04-17,2012-04-30,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,216.0002,216.0002,216.0002,201.2325,246.586,T1,51,14.76770000000002,763.2218565286794,11016.0102,NONE,TIME_10D,216.80960083007807,216.70119602966304,41.27944233398114,0.0,5.5286448211665515,5.5286448211665515,5.5080051,5.525880498756408,11.033885598756408,24.71691191405818,0.22437263097358223,0.03281792910529053,WIN,10,101762.91420382392,78.0,90.0,2.0711,21.3044,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
