Experiment ID,Variant,Period,Trades,Wins,Losses,Win Rate %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Net PnL,Negative Expectancy Flag,Profit Factor Below One Flag,Negative Return Flag,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T1_30D,2024-2026,44,16,28,36.36363636363637,-0.7856507305586291,-0.0659524640130535,-0.0659524640130535,0.9660629280203447,-6.470206334171835,114618.14280695931,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-717.8078275416443,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_45D,2011-2015,99,40,59,40.4040404040404,4.17699501669313,0.08553445521788017,0.08553445521788017,1.0859752252803998,-10.029397950127128,104176.99501669314,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4176.995016693119,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_45D,2016-2020,102,42,60,41.17647058823529,8.842834947823675,0.11276168711336254,0.11276168711336254,1.167660988857677,-10.118941768047518,113389.1947396218,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,8258.127905778634,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_45D,2021-2023,92,34,58,36.95652173913043,1.3685302764076646,0.040119803049425265,0.040119803049425265,1.0495838468143148,-16.85066327764012,114940.96019980837,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2316.016034137491,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_45D,2024-2026,44,15,29,34.090909090909086,-1.705027464573916,-0.10953617841670926,-0.10953617841670926,0.9188495309644773,-7.371064433810071,112981.18526035667,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-1769.9536962526809,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_63D,2011-2015,99,40,59,40.4040404040404,4.368271461821638,0.08730081656893782,0.08730081656893782,1.0898343775102322,-10.027316960014021,104368.27146182163,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4368.271461821649,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_63D,2016-2020,102,42,60,41.17647058823529,9.061462416526812,0.11465407331271091,0.11465407331271091,1.1693069354689947,-10.182582289422626,113825.56315511327,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,8473.405131855729,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_63D,2021-2023,92,35,57,38.04347826086957,2.0317171883414753,0.04939081306104106,0.04939081306104106,1.0664061596713112,-16.453966787445353,116138.17668646217,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,3106.6788495857722,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_63D,2024-2026,43,14,29,32.55813953488372,-2.016405715192904,-0.11698852172030197,-0.11698852172030197,0.9036841588657029,-7.602528831416366,113796.35985423552,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-2151.995589027645,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_10D,2011-2015,106,51,55,48.113207547169814,10.942112426118289,0.16238453409927492,0.16238453409927492,1.2751285698677608,-8.353780985668703,110942.1124261183,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,10942.112426118396,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
