Experiment ID,Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Net PnL,Negative Expectancy Flag,Profit Factor Below One Flag,Negative Return Flag,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T1_10D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2012,24,15,9,62.5,6.0479860315354514,5.246456991278459,0.2942786271719403,0.2942786271719403,1.7965045880931942,-2.0725072023707547,105246.45699127845,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,5292.612719271812,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2013,25,10,15,40.0,0.8977458569558685,0.10380466368948849,0.05503483391483644,0.05503483391483644,1.0066512152406302,-3.714715157479942,105355.70772200334,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,63.09500273151627,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2014,35,22,13,62.857142857142854,12.884229231060518,11.400937875906392,0.4314956829798344,0.4314956829798344,2.220050138659115,-2.0566334285855303,117367.24650811045,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,12337.42458777081,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2015,22,6,16,27.27272727272727,-4.951529301996165,-5.313376801981862,-0.3310680458022826,-0.3310680458022826,0.4849882906318304,-5.807113338952874,111131.08245902364,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-6562.0498507504735,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2016,17,9,8,52.94117647058824,2.1083090839078658,1.5772015608585876,0.13485630696175283,0.13485630696175283,1.277406348546206,-4.142151265999883,112883.8436261664,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1752.7611671427562,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2017,22,11,11,50.0,1.0036227671920563,0.40279147584343367,0.014359149752494917,0.014359149752494917,1.041804469402743,-4.487435093837644,113338.53012589704,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,310.40428636381705,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2018,24,10,14,41.66666666666667,-0.6924059377316817,-1.6542957681525583,-0.0810552450229322,-0.0810552450229322,0.8503433111537696,-5.428618672125163,111463.57561833801,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-1730.6722941922649,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2019,24,12,12,50.0,4.594540244131663,3.449764871523664,0.21526019108210048,0.21526019108210048,1.629159893231221,-2.4028329084810784,115308.80689456366,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4243.621582138981,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2020,22,11,11,50.0,2.7778037144768573,2.542774703704609,0.13762587521273673,0.13762587521273673,1.2847688869306604,-4.276462547683336,118240.85006742222,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2533.6528669451527,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2021,34,18,16,52.94117647058824,9.4763613217296,8.449075993783083,0.32934850900428014,0.32934850900428014,1.803602417815287,-4.041152083846866,128231.10934531385,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,9990.259277891575,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2022,33,8,25,24.242424242424242,-6.199995137097543,-6.250698891542283,-0.4073016870901119,-0.4073016870901119,0.4594838118117566,-9.523058229352166,120215.76881485395,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-9410.207736869248,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2023,28,17,11,60.71428571428571,8.065388386756528,5.9428386465591565,0.41007791434862406,0.41007791434862406,2.356789500705707,-3.258035314496288,127359.99798324131,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,8497.360154271802,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2024,22,10,12,45.45454545454545,1.2118516478595582,0.203244540886649,-0.053482531808529625,-0.053482531808529625,1.0494542446311343,-3.5873813484641026,127618.85022641558,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,500.4866434202619,True,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2025,16,6,10,37.5,-0.6263752563759871,-1.271805792614511,-0.11231986749986703,-0.11231986749986703,0.758510166982763,-2.551597732242128,125995.786296768,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-1532.2086841982596,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_10D,2026,8,1,7,12.5,-1.2647172523958439,-1.3252631593349662,-0.2290340465725152,-0.2290340465725152,0.5043825710758779,-2.2716963937083556,124326.01055866251,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-1960.5291632758117,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
