Friction Multiplier,Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe RF 6%,Sharpe RF 0%,Sortino RF 6%,Calmar,Max Drawdown %,Max Drawdown Start Date,Max Drawdown Trough Date,Recovery Date,Drawdown Duration Sessions,Recovery Duration Sessions,Longest Underwater Duration Sessions,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days,Median Holding Days,Maximum Holding Days,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions,Capacity Rejects,Turnover (Gross Notional / Average Equity),Total Slippage,Total Transaction Costs
0.5,D1_TRAIL_ONLY,100000.0,126692.50736950664,26.692507369506636,2.245169685402315,4.02627588783475,-0.8654791714113758,0.5819041402374394,-1.246890961476434,0.20519194774799676,-10.941802103071241,2021-11-16,2023-05-23,2025-07-07,375,524.0,898,285,25.6140350877193,1422.5490059409308,-363.93193426500585,0.11143034353621051,-0.28459967961721006,1.3459659397135115,6.392982456140351,3.0,34,11.167024631093684,0.0,1573,0.5830804248861912,1,115.39958478586172,2180.5763376663444,3341.2611753090805
0.5,D2_BREAK_EVEN_TRAIL,100000.0,122326.89469645679,22.32689469645679,1.909252435209674,3.9869982226247456,-0.9584853390364846,0.503156779356434,-1.3699570831164203,0.17389960215380518,-10.979050047055539,2021-11-16,2023-05-23,,375,,1186,285,24.912280701754387,1376.8689452813765,-352.48037578748114,0.09616370464894614,-0.28459967961721006,1.2959917510165346,6.347368421052631,3.0,34,11.032567140352931,0.0,1581,0.5781487101669196,1,115.14388387294224,2136.970349463713,3273.931582714168
0.5,D3_PARTIAL_T1_TRAIL,100000.0,120053.17144388403,20.053171443884032,1.7299723049399862,3.716966990763456,-1.0791678640429043,0.48866002967456645,-1.5190285301369577,0.16847107259054964,-10.26866083499387,2021-11-17,2023-05-23,,374,,1185,285,25.964912280701753,1265.5291319793107,-348.79613423026046,0.08957877949061653,-0.28459967961721006,1.2724764350726967,6.389473684210526,3.0,34,9.972387112511772,0.0,1576,0.582701062215478,1,114.66153390830216,2088.517472027135,3192.117753000175
0.5,D4_TREND_PROTECT,100000.0,117991.33499547935,17.991334995479356,1.5647189651025517,3.5799873200125836,-1.168124535475877,0.45969255079401267,-1.6643498912616714,0.16013879245483334,-9.77101763486743,2021-11-17,2023-05-23,,374,,1185,285,25.6140350877193,1193.0431997698083,-325.94725748922997,0.0761482730109209,-0.2802130275237023,1.2603635581051909,6.196491228070175,3.0,34,9.503946448305536,0.0,1609,0.5618361153262519,0,114.89277724447172,2080.4349399448433,3177.7654352166264
0.5,D5_RESISTANCE_TIGHTEN,100000.0,119460.68776369741,19.460687763697404,1.6827505494471096,3.6779014156695093,-1.1038829360246682,0.4805979593353859,-1.5496145054208605,0.15753169851005602,-10.681980613188724,2021-11-17,2023-05-23,,374,,1185,287,25.78397212543554,1258.6821932302112,-345.9239180062824,0.08801377289563106,-0.28459967961721006,1.2641179939552645,5.937282229965157,3.0,30,9.535060672529948,0.0,1630,0.537556904400607,1,115.7057500781228,2085.59475760398,3192.6146327688148
0.5,D6_HYBRID_DYNAMIC,100000.0,117567.43574002598,17.56743574002597,1.5304200201659457,3.539137696037585,-1.1917402468359302,0.45486551667266967,-1.6947788184426915,0.15067204182629648,-10.157292631172432,2021-11-17,2023-05-23,,374,,1185,287,25.435540069686414,1187.0727121342823,-322.84519741017107,0.07404997990049071,-0.2802130275237023,1.2542730134243851,5.7456445993031355,3.0,30,9.058389358304137,0.0,1663,0.5166919575113809,0,115.46428039569382,2069.324343806257,3168.7337130060628
1.0,D1_TRAIL_ONLY,100000.0,120093.40818664426,20.093408186644268,1.7331715651083712,4.001710027986363,-0.9988361120414783,0.4574324549937078,-1.416473234311538,0.14655772247154844,-11.825863119869616,2021-11-16,2023-05-23,,375,,1186,285,25.263157894736842,1379.1035950296503,-371.84061340605876,0.0849971774814675,-0.3033588120922218,1.2536980800414588,6.392982456140351,3.0,34,11.014154690292315,0.0,1573,0.5830804248861912,1,114.95748634116724,4197.382854173885,6483.041136760385
1.0,D2_BREAK_EVEN_TRAIL,100000.0,116768.1581502041,16.768158150204094,1.4654421272180196,3.979924003680656,-1.071972797587001,0.39226735442511523,-1.5109767237985006,0.12472610709892926,-11.74928137583635,2021-11-16,2023-05-23,,375,,1186,285,24.561403508771928,1345.6682071684068,-360.1330993096944,0.06990155419704903,-0.3033588120922218,1.2165628024923512,6.347368421052631,3.0,34,10.89353004347227,0.0,1581,0.5781487101669196,1,114.62928154000475,4125.7550163147025,6366.640305393494
1.0,D3_PARTIAL_T1_TRAIL,100000.0,114683.69125831718,14.68369125831719,1.2940682542398996,3.7352370627735096,-1.190820945050226,0.3693382711412405,-1.6558133027595068,0.11732926198779389,-11.029373511055795,2021-11-17,2023-05-23,,374,,1185,285,25.6140350877193,1241.0541199274683,-358.0814127188111,0.06411330204876117,-0.3033588120922218,1.193427226754977,6.389473684210526,3.0,34,9.970838711569172,0.0,1576,0.582701062215478,1,114.8552780122468,4047.8232616766245,6247.6903765477755
1.0,D4_TREND_PROTECT,100000.0,112864.05027786027,12.864050277860262,1.1421437069405904,3.591383399489736,-1.2825694701442838,0.34008227151438064,-1.8063172633532332,0.10912969142904655,-10.465929958971653,2021-11-17,2023-05-23,,374,,1185,285,25.263157894736842,1167.652121633603,-334.3047064777424,0.050381183274567476,-0.29687566274380456,1.1806573496370938,6.196491228070175,3.0,34,9.507212305564787,0.0,1609,0.5618361153262519,0,114.62144150167077,4020.061218691087,6199.53010801484
