Policy,Trades,Trades With T1 Partial,Partial Rate %,Average Partial Quantity %,Average First-Leg Realized R,Median First-Leg R,Average Remainder Realized R,Median Remainder R,Average Total Trade R,Total Extra Transaction Cost From Partial Legs,Total Extra Slippage From Partial Legs,Average Holding Sessions After Partial,% Remainder Reaching T2,% Remainder Later Stopped
D3_PARTIAL_T1_TRAIL,285,58,20.350877192982455,48.53676758117186,1.9196016175615738,1.833889150101823,2.106778237584752,2.454283882227755,2.0202149522994843,325.02544451420096,325.1880385334322,4.896551724137931,74.13793103448276,25.862068965517242
D4_TREND_PROTECT,285,55,19.29824561403509,48.60894077736001,1.8822029246168006,1.8308766459397339,2.0121156546931958,2.453234849795203,1.9529747423447026,302.41581847427886,302.5671020252585,5.109090909090909,72.72727272727273,27.27272727272727
D5_RESISTANCE_TIGHTEN,287,58,20.209059233449477,48.55778075703909,1.9196016175615738,1.833889150101823,2.130529407989304,2.0457970985529323,2.0272541980686816,321.9001638862338,322.0611944834402,2.7758620689655173,29.310344827586203,6.896551724137931
D6_HYBRID_DYNAMIC,287,55,19.16376306620209,48.63314333997612,1.882202924616801,1.8308766459397339,2.0345595677860526,2.009053480971576,1.9599672750549095,300.403886409914,300.5541634916269,2.8727272727272726,25.454545454545453,7.2727272727272725
