Policy,Trades With Target Revision,Total Target Revisions,Average Revisions Per Trade,Average Target Reduction %,Median Target Reduction %,Average Target Reduction R,Final Dynamic-Target Exits,Average R Dynamic-Target Exits,Original T2 Later Reached Count,Original T2 Later Reached %,Counterfactual Label
D5_RESISTANCE_TIGHTEN,41,41,0.14285714285714285,2.1047063389575533,1.9981993484064975,0.6052228675628716,37,1.855482594518172,34,91.89189189189189,POST_EXIT_COUNTERFACTUAL_DIAGNOSTIC_ONLY
D6_HYBRID_DYNAMIC,41,41,0.14285714285714285,2.119320162341288,2.036590031889072,0.608717890086197,37,1.851171725799863,34,91.89189189189189,POST_EXIT_COUNTERFACTUAL_DIAGNOSTIC_ONLY
