Policy,Fixed Cohort Count,Average Baseline R,Average Dynamic R,Mean Delta R,Median Delta R,% Improved,% Worsened,% Unchanged,Total Fixed-Quantity PnL Delta,Average Holding-Time Delta,Interpretation
D1_TRAIL_ONLY,225,0.033078581032935706,0.06015838604266,0.027079805009724317,0.40657950091934025,60.44444444444444,16.0,23.555555555555554,6961.988867073269,-9.062222222222223,FIXED ENTRY/QUANTITY SHADOW; NO CASH RECYCLING; NOT PORTFOLIO CAGR
D2_BREAK_EVEN_TRAIL,225,0.033078581032935706,0.052817985377063406,0.019739404344127694,0.40657950091934025,60.44444444444444,16.444444444444446,23.11111111111111,5381.59196981921,-9.12,FIXED ENTRY/QUANTITY SHADOW; NO CASH RECYCLING; NOT PORTFOLIO CAGR
D3_PARTIAL_T1_TRAIL,225,0.033078581032935706,0.04701485165454582,0.013936270621610148,0.40657950091934025,61.77777777777778,29.333333333333332,8.88888888888889,3950.404009692662,-9.093333333333334,FIXED ENTRY/QUANTITY SHADOW; NO CASH RECYCLING; NOT PORTFOLIO CAGR
D4_TREND_PROTECT,225,0.033078581032935706,0.04494359535160148,0.011865014318665783,0.47808700063267995,61.33333333333333,29.777777777777775,8.88888888888889,3645.5596364301928,-9.168888888888889,FIXED ENTRY/QUANTITY SHADOW; NO CASH RECYCLING; NOT PORTFOLIO CAGR
D5_RESISTANCE_TIGHTEN,225,0.033078581032935706,0.049481064878113774,0.016402483845178086,0.4190060617236221,62.22222222222222,28.888888888888886,8.88888888888889,3984.369340647543,-9.6,FIXED ENTRY/QUANTITY SHADOW; NO CASH RECYCLING; NOT PORTFOLIO CAGR
D6_HYBRID_DYNAMIC,225,0.033078581032935706,0.047409808575169424,0.014331227542233706,0.47902164484792287,61.77777777777778,29.333333333333332,8.88888888888889,3679.524967385072,-9.675555555555556,FIXED ENTRY/QUANTITY SHADOW; NO CASH RECYCLING; NOT PORTFOLIO CAGR
