Date,Open,High,Low,Close,Volume
2010-06-07,226.923673577032,226.923673577032,221.89953320263277,223.71240234375,7781952
2010-06-08,223.71245666682708,225.1652791218516,221.7195635223472,222.27639770507812,6651144
2010-06-09,223.40684311317318,223.40684311317318,219.0944546497817,219.80201721191406,5427120
2010-06-10,219.8228873601978,222.23447886075647,219.43352465329627,221.52691650390625,5187448
2010-06-11,223.14727059724348,225.3243989128045,219.47128134943807,220.28770446777344,9912864
2010-06-14,221.90796420988698,231.01422066003693,221.90796420988698,229.97169494628906,9728848
2010-06-15,229.98008969871526,232.7852355224571,227.93694688799053,228.99200439453125,7946312
2010-06-16,230.68340047418707,232.7433062350145,229.60321845526525,231.89756774902344,5720064
2010-06-17,232.45023089096466,233.10337323644683,229.1008039328816,231.51658630371094,5639240
2010-06-18,226.74368825397406,235.7159589400448,226.74368825397406,233.3043670654297,8356232
2010-06-21,234.4097200294868,236.03420494217326,233.72728222377472,234.52696228027344,7164752
2010-06-22,233.62257144229744,234.40550830885292,231.1105007816276,231.7050323486328,4763688
2010-06-23,230.03034055019955,234.87443833765613,227.5810714220619,234.27154541015625,4948088
2010-06-24,235.6657379159125,237.28184095979958,233.04063607584956,236.36074829101562,12316104
2010-06-25,235.29730314782938,235.4605836645597,232.03161104008373,232.59263610839844,3345664
2010-06-28,231.94782483870551,235.88340165004817,231.94782483870551,235.21351623535156,3834168
2010-06-29,233.8779167109828,235.59868881467187,231.70498016751617,233.91978454589844,3773072
2010-06-30,232.61771972612513,235.1842101483827,228.7658784347638,233.70628356933594,9449976
2010-07-01,233.70634796384488,233.70634796384488,230.3569198310775,231.7008819580078,5847248
2010-07-02,232.36232255527614,232.36232255527614,227.42610827759796,228.38906860351562,11169440
2010-07-05,228.5983839371137,230.4405687160941,227.76102721939534,229.72462463378906,3616720
2010-07-06,229.68699951874908,234.3761981964924,229.68699951874908,233.2122802734375,5872600
2010-07-07,234.42637620077383,234.42637620077383,231.5458570552505,232.9316864013672,5923392
2010-07-08,234.96238223246644,238.3452964508009,234.4683497628918,236.846435546875,6278192
2010-07-09,237.65013747188968,241.2005205711708,237.65013747188968,240.63949584960938,7859112
2010-07-12,238.65096433805394,243.67091606313681,238.64677346389686,242.490234375,8597240
2010-07-13,240.32139786406307,240.74426713014557,232.86892245991618,234.18775939941406,25502384
2010-07-14,233.61838774729162,235.21355675448632,229.1845869836344,229.67861938476562,14193928
2010-07-15,230.1852137716879,232.4502682043385,229.43578345817272,231.07701110839844,8328136
2010-07-16,230.69185693100025,233.70634217583364,230.35691412601875,232.53404235839844,8205560
2010-07-19,230.18943851532674,233.8570662514817,229.07994049410883,231.98556518554688,7047120
2010-07-20,231.98552625161076,232.9945453524856,230.56621046830875,231.0811767578125,5054736
2010-07-21,231.72186722251533,232.70157107974876,231.1105923641981,232.0861053466797,2634480
2010-07-22,231.50830016774088,231.50830016774088,228.35146804468903,230.65000915527344,8226952
2010-07-23,233.37133031715896,240.32558233650755,231.5291454348563,233.3252716064453,5323096
2010-07-26,233.6225127049845,235.29722605770843,233.6225127049845,234.83248901367188,4470816
2010-07-27,234.7111512520967,237.30695777682556,234.7111512520967,236.8715362548828,5093960
2010-07-28,236.88829933186108,237.68378849540036,235.46479240763284,237.14788818359375,3725168
2010-07-29,236.5366132271855,237.80939179886013,235.3685042821829,237.2357940673828,3613008
2010-07-30,235.71597932907903,237.07668436073,231.11051614502952,233.4886016845703,4472672
2010-08-02,234.4599114705987,235.5317322974064,232.8814856749928,234.2045135498047,3815232
2010-08-03,234.87861894649765,236.05091864890443,231.90600184396624,233.14529418945312,2434584
2010-08-04,233.62260596526977,242.16364747367749,233.62260596526977,240.69827270507812,9536024
2010-08-05,241.15879517186545,243.40291582670497,239.61387572895256,240.25863647460938,6594296
2010-08-06,239.56781258724865,242.16361901514264,238.81419136624717,239.80227661132812,3676480
2010-08-09,238.52110487023472,241.40160433116483,235.82062895938162,240.71078491210938,4201544
