Date,Open,High,Low,Close,Volume
2010-06-07,108.74432316534885,129.821174874518,108.74432316534885,128.591690362754,19093156
2010-06-08,128.14115291313945,129.01171691345868,124.1854246344763,124.85744277332901,25602786
2010-06-09,124.78106847382412,128.27860296557847,124.78106847382412,125.93418534894944,19901849
2010-06-10,127.52279070428082,129.28963201509316,126.15890544265181,128.49144605918016,19786860
2010-06-11,130.96347026666623,131.73839965749778,128.91764262734102,131.11844834064922,20875123
2010-06-14,132.5133239570045,133.13327525003376,130.71548731907157,132.3040938099372,15172569
2010-06-15,132.30409790655597,134.0399433710256,130.08004875047936,133.303761755923,14494936
2010-06-16,134.68314326663366,136.3724888700425,133.29601467196522,135.8842851598612,20689289
2010-06-17,136.07802944548845,138.2323353849541,131.11845758205922,136.9846935148515,64208595
2010-06-18,135.7835805164731,137.16295730450835,133.91599989471845,134.72967728657616,17517863
2010-06-21,136.2175226444103,141.0375949481021,135.70606242268582,139.45674036572657,28587960
2010-06-22,139.02277600655452,140.38664825593384,137.68988636871305,138.1858422788462,18128176
2010-06-23,137.333434069334,140.21618302774792,136.62824789262874,139.54974463067236,17704599
2010-06-24,139.20873223580998,139.79767487249075,136.10124981820448,137.27139594386338,19182339
2010-06-25,136.3879998090882,136.69021683251464,131.97863587788237,132.75356533007522,20190291
2010-06-28,132.04840317496547,135.14038239443735,132.04840317496547,134.8614087816994,13951817
2010-06-29,134.86143542518434,134.86143542518434,130.44433067255537,131.4749776090203,18167385
2010-06-30,129.5841053024851,133.9624606490572,129.29737958160484,133.55175245805214,22055880
2010-07-01,132.42809755070115,132.8233014041107,129.65384037936994,130.41326547761807,18383568
2010-07-02,130.57600691575814,131.3896840852067,129.13462626755555,130.19628136490243,17940307
2010-07-05,129.87859586750915,131.07199891691482,129.25865738029074,130.28156498908425,8028047
2010-07-06,130.1110543232328,133.55174990094392,129.94831107559332,133.10228093791412,12755105
2010-07-07,132.82329361679035,132.99378900274263,130.84722243770779,131.149439426768,11463655
2010-07-08,132.97830291582932,134.18719705168135,132.52109478850974,133.64474121970323,9200433
2010-07-09,134.29571232321183,136.23303634662173,134.21821676088027,135.75258467132738,17697773
2010-07-12,137.14745116621128,138.7128015265107,135.77581367715868,138.47257571444752,22222106
2010-07-13,133.32701285690058,139.64270461613307,133.32701285690058,139.40247883425297,13894930
2010-07-14,139.95270525836244,141.72729882862845,137.3411779085491,138.131611753962,14287663
2010-07-15,137.79061484951154,139.61946025771059,136.12451268477744,136.67472064048476,15469250
2010-07-16,137.3179158966567,140.2626555235763,137.3179158966567,139.85968649844966,16519811
2010-07-19,138.72830572977742,140.16193445816265,137.4729115728408,139.49548309919874,17190327
2010-07-20,139.49548332274796,140.43315611529846,136.85297337397074,137.44966832969627,8007180
2010-07-21,138.55778573876606,140.24713112749782,138.0385734718474,139.89066208127375,16133474
2010-07-22,139.3327429863976,141.03759302628342,137.348919377363,140.83611500567008,15511622
2010-07-23,141.81252835917567,142.71145334678948,140.32466059090223,141.47931569646363,26262956
2010-07-26,142.4014644679817,143.5793498665259,141.22356606246518,142.07599099984225,11298100
2010-07-27,141.8590205088072,143.74985723819975,139.21649777994898,143.2383970303648,22837809
2010-07-28,143.36237457420128,143.43985710502233,139.87517942929858,140.85933894114078,11353760
2010-07-29,139.79771381650758,144.4473040026753,139.5342315330055,143.9358437493373,27850388
2010-07-30,143.67241240798276,144.3698465676169,139.48778143622192,140.24720685293954,13123495
2010-08-02,141.34759245342102,145.98169197473774,141.19261433016757,145.61747062288353,35178759
2010-08-03,146.3691329554596,149.7168419701904,146.15215061126648,149.0968905572137,36030291
2010-08-04,149.25965051815098,150.80175755601942,148.3297297981327,150.2205538542641,24579956
2010-08-05,150.8017723536551,150.8017723536551,147.6478015578021,148.0740141790519,16833531
2010-08-06,148.01200040910368,149.2518902998388,146.08241566962758,147.2060622248946,19349913
2010-08-09,147.08206203495243,152.19661209620904,147.08206203495243,151.90213421792623,26036059
2010-08-10,151.4449277052025,154.21143293971465,149.81757321513342,153.26602106645768,32136478
2010-08-11,151.90215316508392,154.83140198701855,149.20539101509968,150.6235154902819,24126129
2010-08-12,149.4068625493445,153.12654508269523,148.3219638151002,149.29837137522262,27957517
2010-08-13,150.32129515106143,152.63059247113935,149.2983746279194,151.32869835331303,18807717
2010-08-16,151.42168832685488,152.04162671742125,147.71751026846337,148.33746166600366,17307295
2010-08-17,148.39946110347182,150.30578931921232,147.6245315689582,148.6164434542516,17407340
2010-08-18,149.0968741800646,151.42167546464776,147.40752855194665,150.0112903823124,18024050
2010-08-19,150.65446820915827,157.45062374165414,150.65446820915827,157.00116784697568,31322681
2010-08-20,155.84655446120186,156.52849714310378,153.68449608866416,154.05645654708124,13829926
2010-08-23,153.97896268850846,157.5746365526639,152.66157735638365,156.76871144614267,21478556
