Date,Open,High,Low,Close,Volume
2010-06-07,149.4499425158352,151.3158509412075,147.7528560551552,150.54727172851562,601010
2010-06-08,149.80983251278167,151.56912269843323,148.82801566829463,149.91201782226562,986960
2010-06-09,151.04043785014898,151.04043785014898,148.05499195942173,149.8809051513672,1063870
2010-06-10,151.4935918820318,151.9334076489925,149.74764259603714,151.2670135498047,1161850
2010-06-11,152.73751914583937,153.19510920941954,148.04167245532832,149.48995971679688,2286930
2010-06-14,149.71657511542483,151.75129293048195,148.21051759983084,151.22706604003906,1392880
2010-06-15,150.87162615171985,151.49359126352465,149.37001595176233,151.18260192871094,804690
2010-06-16,149.80537962100695,151.8400967096176,149.27225898720997,151.298095703125,1175680
2010-06-17,151.57357071426432,152.82639499689571,149.71655556381933,150.9382781982422,1508370
2010-06-18,151.22704946790773,152.99077326860058,149.98311909167634,152.23553466796875,1151500
2010-06-21,152.5598292234594,156.5581940674175,152.5598292234594,155.8917999267578,1726010
2010-06-22,157.53555408469944,158.50404350423864,155.41641235622768,156.52706909179688,1914680
2010-06-23,157.71328848206323,160.6454255710411,156.64706051093245,159.8679656982422,1348760
2010-06-24,160.37883995934473,162.15589081762002,157.7132636719318,160.80532836914062,1986600
2010-06-25,160.55652431600183,161.57833657953591,158.33521099243285,159.10379028320312,760880
2010-06-28,157.7621388579995,161.04524709269256,157.71327646318858,159.11270141601562,855650
2010-06-29,159.04606541498592,160.82311642520924,155.76740413187218,156.10060119628906,924660
2010-06-30,156.82474073691637,159.84572182090082,154.781129505834,158.6106719970703,2114880
2010-07-01,158.15751921419914,158.3352215804036,154.86997798704132,155.72740173339844,570070
2010-07-02,155.72739079530453,157.78432909525267,155.4919321261121,156.0072784423828,1286100
2010-07-05,154.78112863265486,157.0024422282952,154.18581821596192,154.62120056152344,378780
2010-07-06,155.49197926971624,160.69873980357514,154.25248226734675,159.92127990722656,2168640
2010-07-07,158.6506750619719,159.8324156852298,156.7359035623366,157.39341735839844,667150
2010-07-08,159.04605363384303,159.65469139050867,154.80778349221464,155.74073791503906,827260
2010-07-09,155.74073301162517,156.64703272736216,154.15915886410048,154.82110595703125,2182320
