Mode,Target,Model Variant,Feature Set,Bucket,Rows,Mean Predicted Probability,Observed Success Rate,Calibration Error
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,0.7-0.8,352,0.757229718413,0.767045454545,0.00981573613277
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,0.8-0.9,302,0.836869144753,0.811258278146,0.0256108666075
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,0.9-1.0,2,0.908069861844,0.5,0.408069861844
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,0,,,
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,0,,,
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,2,0.275309029011,1,0.724690970989
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,18,0.367395781415,0.166666666667,0.200729114749
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,34,0.446717953219,0.294117647059,0.15260030616
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,60,0.553104553985,0.35,0.203104553985
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,93,0.657615197185,0.752688172043,0.0950729748583
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,183,0.757613195777,0.786885245902,0.029272050125
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,295,0.852203316201,0.894915254237,0.0427119380358
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,69,0.913472981938,0.927536231884,0.014063249946
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.2-0.3,495,0.292936181408,0.329292929293,0.0363567478848
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.3-0.4,251,0.306784693979,0.243027888446,0.0637568055327
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,243,0.038843318773,0.246913580247,0.208070261474
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,129,0.146814125103,0.302325581395,0.155511456293
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,104,0.24753329677,0.298076923077,0.0505436263065
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,84,0.351262597797,0.27380952381,0.0774530739876
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,64,0.445981010251,0.296875,0.149106010251
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,55,0.546703889673,0.345454545455,0.201249344219
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,34,0.650691099156,0.411764705882,0.238926393273
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,17,0.757706973711,0.705882352941,0.0518246207695
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,12,0.834784791426,0.416666666667,0.418118124759
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,4,0.956292281382,0.5,0.456292281382
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,245,0.0412122625739,0.248979591837,0.207767329263
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,133,0.144710337098,0.308270676692,0.163560339593
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,106,0.247421472618,0.283018867925,0.0355973953063
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.3-0.4,81,0.346038710399,0.296296296296,0.0497424141024
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.4-0.5,64,0.444835380311,0.296875,0.147960380311
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.5-0.6,48,0.550608814715,0.395833333333,0.154775481382
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.6-0.7,38,0.646440765126,0.394736842105,0.251703923021
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.7-0.8,16,0.760966394262,0.6875,0.0734663942623
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.8-0.9,11,0.844807055811,0.181818181818,0.662988873993
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.9-1.0,4,0.933815160776,0.5,0.433815160776
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.0-0.1,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.1-0.2,6,0.170416276497,0.333333333333,0.162917056836
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.2-0.3,394,0.268821714682,0.284263959391,0.0154422447088
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.3-0.4,346,0.326071898448,0.317919075145,0.00815282330386
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.4-0.5,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.5-0.6,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.6-0.7,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.7-0.8,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.8-0.9,0,,,
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.9-1.0,0,,,
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,6,0.0931654046301,0.333333333333,0.240167928703
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,160,0.15735287081,0.25625,0.0988971291897
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,333,0.25065139181,0.33033033033,0.0796789385205
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,209,0.338322665707,0.282296650718,0.0560260149888
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,36,0.429564739608,0.333333333333,0.0962314062749
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,2,0.504865086049,0,0.504865086049
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,0,,,
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,0,,,
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,0,,,
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.2-0.3,746,0.24401977158,0.223860589812,0.0201591817675
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.3-0.4,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,343,0.0341054348003,0.215743440233,0.181638005433
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,139,0.142731693703,0.194244604317,0.0515129106132
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,84,0.245695695365,0.154761904762,0.0909337906028
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,65,0.345392547784,0.276923076923,0.0684694708611
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,45,0.448468587482,0.244444444444,0.204024143037
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,35,0.550975876046,0.314285714286,0.23669016176
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,18,0.654111762408,0.444444444444,0.209667317964
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,13,0.751915940903,0.307692307692,0.44422363321
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,4,0.852366633234,0.25,0.602366633234
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,352,0.0363487112156,0.221590909091,0.185242197875
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,139,0.143344023365,0.151079136691,0.00773511332582
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,79,0.257168259546,0.215189873418,0.0419783861287
