Scope,Mode,Target,Model Variant,Feature Set,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
POOLED_2016_2026,PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,570,224,0.39298245614,0.474169075145,0.396727190796,0.254853531417,0.239984414468,-0.0619586775318,0.71218029629,0.594736842105,0.410256410256,0.0714285714286,0.933526011561,0.121673003802
POOLED_2016_2026,PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,570,167,0.29298245614,0.382817491568,0.242506818697,0.20977493947,0.20977493947,0,0.61090672891,0.70701754386,0,0,1,0
POOLED_2016_2026,PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,570,167,0.29298245614,0.560392861919,0.404328228402,0.249753126269,0.20977493947,-0.190576562194,0.865208451566,0.670175438596,0.413223140496,0.299401197605,0.82382133995,0.347222222222
POOLED_2016_2026,PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,570,167,0.29298245614,0.565192196253,0.400285571073,0.247453806784,0.20977493947,-0.179615674821,0.853159725663,0.673684210526,0.424,0.317365269461,0.821339950372,0.36301369863
POOLED_2016_2026,PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,570,167,0.29298245614,0.452422698028,0.257857274424,0.212146065537,0.20977493947,-0.011303190327,0.616851459601,0.70701754386,0,0,1,0
POOLED_2016_2026,PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,570,167,0.29298245614,0.412267276861,0.287588077413,0.225746858286,0.20977493947,-0.0761383550187,0.655112943646,0.712280701754,1,0.0179640718563,1,0.0352941176471
POOLED_2016_2026,TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,754,578,0.766578249337,0.511053987103,0.766546845079,0.178970854778,0.178970854778,0,0.543490883012,0.766578249337,0.766578249337,1,0,0.867867867868
POOLED_2016_2026,TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,754,578,0.766578249337,0.78649929223,0.91359920821,0.137272359723,0.178970854778,0.232990422421,0.435043555777,0.810344827586,0.836166924266,0.93598615917,0.397727272727,0.883265306122
POOLED_2016_2026,TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,754,578,0.766578249337,0.784159720038,0.911222917361,0.140295114578,0.178970854778,0.216100773773,0.442393457199,0.801061007958,0.844051446945,0.90830449827,0.448863636364,0.875
POOLED_2016_2026,TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,754,578,0.766578249337,0.613744495124,0.836114395751,0.174434390166,0.178970854778,0.0253475048629,0.531766905939,0.771883289125,0.770666666667,1,0.0227272727273,0.870481927711
POOLED_2016_2026,TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,754,578,0.766578249337,0.786627083989,0.908186863244,0.14261500769,0.178970854778,0.203138366487,0.450138447292,0.799734748011,0.800281293952,0.984429065744,0.193181818182,0.882854926299
POOLED_2016_2026,TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,746,224,0.300268096515,0.495544266557,0.294912668116,0.229014971373,0.229014971373,0,0.650957845266,0.699731903485,0,0,1,0
POOLED_2016_2026,TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,746,224,0.300268096515,0.581229474548,0.337923377343,0.217947931805,0.229014971373,0.0483245243803,0.634290517469,0.684986595174,0.296296296296,0.0357142857143,0.963601532567,0.0637450199203
POOLED_2016_2026,TRANSFER,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,746,224,0.300268096515,0.580168992885,0.337183446381,0.216820093235,0.229014971373,0.0532492616755,0.627665254182,0.684986595174,0.333333333333,0.0491071428571,0.95785440613,0.0856031128405
POOLED_2016_2026,TRANSFER,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,746,224,0.300268096515,0.414746681719,0.253737674662,0.215143974651,0.229014971373,0.0605680783163,0.623152414266,0.699731903485,0,0,1,0
POOLED_2016_2026,TRANSFER,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,746,224,0.300268096515,0.524519362343,0.315290272951,0.21747804118,0.229014971373,0.050376314367,0.635489773818,0.699731903485,0,0,1,0
POOLED_2016_2026,TRANSFER,JOINT_T2,DUMMY_PRIOR,NONE,746,167,0.223860589812,0.444344471678,0.206383215104,0.176026805357,0.176026805357,0,0.537745379996,0.776139410188,0,0,1,0
POOLED_2016_2026,TRANSFER,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,746,167,0.223860589812,0.541156029909,0.226956618341,0.188527359358,0.176026805357,-0.0710150591915,0.580939259542,0.760053619303,0,0,0.979274611399,0
POOLED_2016_2026,TRANSFER,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,746,167,0.223860589812,0.542190230937,0.228405211994,0.188107801103,0.176026805357,-0.0686315684825,0.574007659479,0.754691689008,0.1,0.0119760479042,0.968911917098,0.0213903743316
POOLED_2016_2026,TRANSFER,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,746,167,0.223860589812,0.504441893415,0.223646168998,0.175385379812,0.176026805357,0.00364390834212,0.536500200213,0.776139410188,0,0,1,0
POOLED_2016_2026,TRANSFER,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,746,167,0.223860589812,0.50275614574,0.225284786294,0.183107916606,0.176026805357,-0.0402274598737,0.563070087111,0.777479892761,1,0.0059880239521,1,0.0119047619048
POOLED_2016_2026,TRANSFER,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,570,224,0.39298245614,0.489310229149,0.384277283559,0.267834612986,0.267834612986,0,0.729057634988,0.39298245614,0.39298245614,1,0,0.564231738035
POOLED_2016_2026,TRANSFER,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,570,224,0.39298245614,0.540320499587,0.421821986151,0.25721353943,0.267834612986,0.0396553434165,0.727692818955,0.59649122807,0.465909090909,0.183035714286,0.864161849711,0.262820512821
POOLED_2016_2026,TRANSFER,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,570,224,0.39298245614,0.54004954583,0.422487161297,0.255806075095,0.267834612986,0.0449103189367,0.718429432728,0.578947368421,0.440298507463,0.263392857143,0.78323699422,0.329608938547
POOLED_2016_2026,TRANSFER,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,570,224,0.39298245614,0.399050371594,0.324115565388,0.246656238909,0.267834612986,0.0790725808032,0.687244213318,0.605263157895,0,0,0.99710982659,0
POOLED_2016_2026,TRANSFER,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,570,224,0.39298245614,0.498838769612,0.420188169022,0.253961003203,0.267834612986,0.0517991667656,0.713757175714,0.605263157895,0.48275862069,0.0625,0.956647398844,0.110671936759
POOLED_2016_2026,TRANSFER,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,570,167,0.29298245614,0.422757462742,0.268287346922,0.210619268393,0.210619268393,0,0.612655427274,0.70701754386,0,0,1,0
POOLED_2016_2026,TRANSFER,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,570,167,0.29298245614,0.503826094709,0.279694074653,0.236919082649,0.210619268393,-0.124868984952,0.69367678399,0.656140350877,0.21568627451,0.0658682634731,0.900744416873,0.100917431193
POOLED_2016_2026,TRANSFER,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,570,167,0.29298245614,0.505594270516,0.281156270308,0.237513969038,0.210619268393,-0.12769344823,0.68655050599,0.626315789474,0.189189189189,0.0838323353293,0.85111662531,0.116182572614
POOLED_2016_2026,TRANSFER,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,570,167,0.29298245614,0.46034234261,0.274339737626,0.210973366202,0.210619268393,-0.00168122229115,0.613808386647,0.70701754386,0,0,1,0
POOLED_2016_2026,TRANSFER,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,570,167,0.29298245614,0.481077547139,0.282164091149,0.224166367262,0.210619268393,-0.0643203206039,0.654497895763,0.685964912281,0.125,0.0119760479042,0.965260545906,0.0218579234973
