Mode,Target,Model Variant,Metric,Point Value,Identity Bootstrap Value,Absolute Difference,Absolute Tolerance,Status
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Top 10% Lift,1.23584046622,1.23584046622,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Top 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Top 20% Success Rate,0.900662251656,0.900662251656,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Top 20% Lift,1.17491234905,1.17491234905,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Bottom 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Bottom 20% Success Rate,0.490066225166,0.490066225166,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,Bottom 20% Lift,0.639290542863,0.639290542863,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Rows,754,754,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Positive Count,578,578,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Prevalence,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,ROC AUC,0.745261874803,0.745261874803,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Average Precision,0.891394359731,0.891394359731,4.4408920985e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Brier Score,0.161688896116,0.161688896116,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Brier Benchmark Score,0.179265721036,0.179265721036,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Brier Skill Score vs Training Prior,0.0980490013262,0.0980490013262,3.33066907388e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Log Loss,0.516381404796,0.516381404796,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Accuracy at 0.50,0.770557029178,0.770557029178,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Precision at 0.50,0.835820895522,0.835820895522,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Recall at 0.50,0.871972318339,0.871972318339,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Specificity at 0.50,0.4375,0.4375,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,F1 at 0.50,0.853513971211,0.853513971211,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Overall Success Rate,0.766578249337,0.766578249337,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Top 10% Rows,76,76,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Top 10% Success Rate,0.947368421053,0.947368421053,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Top 10% Lift,1.23584046622,1.23584046622,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Top 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Top 20% Success Rate,0.927152317881,0.927152317881,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Top 20% Lift,1.20946859461,1.20946859461,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Bottom 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Bottom 20% Success Rate,0.490066225166,0.490066225166,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RAW,Bottom 20% Lift,0.639290542863,0.639290542863,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Rows,754,754,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Positive Count,578,578,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Prevalence,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,ROC AUC,0.602194086191,0.602194086191,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Average Precision,0.813626041534,0.813626041534,1.11022302463e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Brier Score,0.173591305607,0.173591305607,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Brier Benchmark Score,0.179265721036,0.179265721036,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Brier Skill Score vs Training Prior,0.0316536557913,0.0316536557913,3.33066907388e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Log Loss,0.530338042027,0.530338042027,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Accuracy at 0.50,0.770557029178,0.770557029178,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Precision at 0.50,0.770360480641,0.770360480641,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Recall at 0.50,0.998269896194,0.998269896194,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Specificity at 0.50,0.0227272727273,0.0227272727273,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,F1 at 0.50,0.869630746044,0.869630746044,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Overall Success Rate,0.766578249337,0.766578249337,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Top 10% Rows,76,76,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Top 10% Success Rate,0.815789473684,0.815789473684,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Top 10% Lift,1.06419595702,1.06419595702,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Top 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Top 20% Success Rate,0.814569536424,0.814569536424,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Top 20% Lift,1.06260455098,1.06260455098,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Bottom 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Bottom 20% Success Rate,0.675496688742,0.675496688742,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,LOGIT_RULE,Bottom 20% Lift,0.881184261784,0.881184261784,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Rows,754,754,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Positive Count,578,578,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Prevalence,0.766578249337,0.766578249337,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,ROC AUC,0.755504875747,0.755504875747,1.11022302463e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Average Precision,0.887204906193,0.887204906193,2.22044604925e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Brier Score,0.147237584598,0.147237584598,2.77555756156e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Brier Benchmark Score,0.179265721036,0.179265721036,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Brier Skill Score vs Training Prior,0.178662915883,0.178662915883,1.11022302463e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Log Loss,0.464081245341,0.464081245341,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Accuracy at 0.50,0.798408488064,0.798408488064,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Precision at 0.50,0.804285714286,0.804285714286,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Recall at 0.50,0.974048442907,0.974048442907,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Specificity at 0.50,0.221590909091,0.221590909091,0,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,F1 at 0.50,0.881064162754,0.881064162754,1.11022302463e-16,1e-14,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Overall Success Rate,0.766578249337,0.766578249337,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Top 10% Rows,76,76,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Top 10% Success Rate,0.907894736842,0.907894736842,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Top 10% Lift,1.18434711346,1.18434711346,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Top 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Top 20% Success Rate,0.907284768212,0.907284768212,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Top 20% Lift,1.18355141044,1.18355141044,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Bottom 20% Rows,151,151,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Bottom 20% Success Rate,0.417218543046,0.417218543046,0,0,PASS
PRIMARY_ONLY,ENTRY_FILLED,RF_FULL,Bottom 20% Lift,0.544260867573,0.544260867573,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Rows,746,746,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Positive Count,224,224,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Prevalence,0.300268096515,0.300268096515,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,ROC AUC,0.449250821018,0.449250821018,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Average Precision,0.274324694176,0.274324694176,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Brier Score,0.2109965173,0.2109965173,8.32667268469e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Brier Benchmark Score,0.2109965173,0.2109965173,8.32667268469e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Brier Skill Score vs Training Prior,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Log Loss,0.613240244783,0.613240244783,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Accuracy at 0.50,0.699731903485,0.699731903485,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Precision at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Recall at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Specificity at 0.50,1,1,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,F1 at 0.50,0,0,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Overall Success Rate,0.300268096515,0.300268096515,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Top 10% Rows,75,75,0,0,PASS
