Target,Model Variant,Scope,Feature Set,Block Length,TRANSFER ROC AUC,PRIMARY_ONLY ROC AUC,Delta ROC AUC,Delta ROC AUC 2.5%,Delta ROC AUC Median,Delta ROC AUC 97.5%,Delta ROC AUC Valid Replicates,TRANSFER Brier Score,PRIMARY_ONLY Brier Score,Delta Brier Score,Delta Brier Score 2.5%,Delta Brier Score Median,Delta Brier Score 97.5%,Delta Brier Score Valid Replicates,TRANSFER Brier Skill Score vs Training Prior,PRIMARY_ONLY Brier Skill Score vs Training Prior,Delta Brier Skill Score vs Training Prior,Delta Brier Skill Score vs Training Prior 2.5%,Delta Brier Skill Score vs Training Prior Median,Delta Brier Skill Score vs Training Prior 97.5%,Delta Brier Skill Score vs Training Prior Valid Replicates,TRANSFER Top 20% Lift,PRIMARY_ONLY Top 20% Lift,Delta Top 20% Lift,Delta Top 20% Lift 2.5%,Delta Top 20% Lift Median,Delta Top 20% Lift 97.5%,Delta Top 20% Lift Valid Replicates
JOINT_T2,RF_FULL,ERA_2021_2023,FS3_FULL_SIGNAL_STATE,63,0.495098039216,0.47503869969,-0.0200593395253,-0.119295013358,-0.0176032236059,0.0333784074863,2000,0.186405152335,0.184516299335,-0.00188885300025,-0.0071907988817,0.000395284879979,0.00492165192965,2000,-0.0428140342145,-0.0309227812822,0.0118912529323,-0.0623260096453,-0.00791451855949,0.0502433867173,2000,0.798039215686,0.725490196078,-0.0725490196078,-0.559316436073,-0.151515151515,0.565530253741,2000
JOINT_T2,RF_FULL,POOLED_2016_2026,FS3_FULL_SIGNAL_STATE,63,0.50275614574,0.456858304117,-0.0458978416225,-0.103625089602,-0.0416138378408,0.0180092577938,2000,0.183107916606,0.182791093122,-0.000316823484005,-0.00850273348354,-0.00140555243282,0.00469209820222,2000,-0.0402274598737,-0.0420147128168,-0.00178725294309,-0.0378058050155,0.00475799890763,0.049726730387,2000,0.923193612774,0.744510978044,-0.178682634731,-0.453966254654,-0.112620497608,0.187930546029,2000
JOINT_T2,RF_FULL,RECENT_2024_2026,FS3_FULL_SIGNAL_STATE,63,0.490338164251,0.373590982287,-0.116747181965,-0.270784615385,-0.188991655275,-0.117498040884,2000,0.148520737447,0.155432636125,0.00691189867822,0.0011370343158,0.0078460623766,0.0146263413777,2000,0.0193360687715,-0.0438654484281,-0.0632015171995,-0.11161186464,-0.0862623016962,-0.0442389305831,2000,1.05475040258,0.210950080515,-0.843800322061,-1.56895363409,-0.931264172336,-0.378917378917,2000
T1_BEFORE_STOP_63,DUMMY_PRIOR,ERA_2016_2020,NONE,63,0.429872620189,0.429872620189,0,0,0,0,2000,0.26931427946,0.24160464387,-0.0277096355899,-0.0646731225485,-0.0343391424913,-0.00514073279393,2000,0,0,0,0,0,0,2000,0.907346938776,0.907346938776,0,0,0,0,2000
T1_BEFORE_STOP_63,DUMMY_PRIOR,ERA_2021_2023,NONE,63,0.565775444927,0.408882145493,-0.156893299434,-0.37376649398,-0.136951202162,0.0668956926688,2000,0.267030702301,0.239930320876,-0.0271003814247,-0.0616154908615,-0.0389939602492,-0.00895534883137,2000,0,0,0,0,0,0,2000,1.15925744993,0.772838299951,-0.386419149976,-0.918537074404,-0.170700493564,0.477891825502,2000
T1_BEFORE_STOP_63,DUMMY_PRIOR,POOLED_2016_2026,NONE,63,0.489310229149,0.447505935178,-0.0418042939719,-0.14648475906,-0.0340622947019,0.0416210420037,2000,0.267834612986,0.239984414468,-0.0278501985178,-0.0486673873054,-0.0282840427873,-0.00618127198569,2000,0,0,0,0,0,0,2000,0.848214285714,0.825892857143,-0.0223214285714,-0.489090582578,-0.108794287067,0.194805610698,2000
T1_BEFORE_STOP_63,DUMMY_PRIOR,RECENT_2024_2026,NONE,63,0.506306306306,0.491891891892,-0.0144144144144,-0.10715496368,-0.0113821138211,0.133333333333,2000,0.265939831499,0.235984708175,-0.0299551233245,-0.0541347875492,-0.0305763757591,-0.0119865328916,2000,0,0,0,0,0,0,2000,1.04864864865,0.917567567568,-0.131081081081,-0.625195802005,-0.351916376307,0.294372294372,2000
T1_BEFORE_STOP_63,LOGIT_FULL,ERA_2016_2020,FS3_FULL_SIGNAL_STATE,63,0.49164498014,0.595466374469,0.10382139433,-0.0563617864409,0.0597655986745,0.169569595763,2000,0.275553129774,0.290900156778,0.0153470270034,-0.0105434840137,0.0273045550927,0.0661542128694,2000,-0.0231656870414,-0.204033797188,-0.180868110146,-0.488210110514,-0.238113528495,-0.0616609037481,2000,1.05857142857,1.41142857143,0.352857142857,-0.359422733967,0.352899159664,0.874675,2000
T1_BEFORE_STOP_63,LOGIT_FULL,ERA_2021_2023,FS3_FULL_SIGNAL_STATE,63,0.589272533421,0.561387681457,-0.0278848519642,-0.147423522613,-0.0407892996174,0.0223429197598,2000,0.24053701014,0.293352708092,0.052815697952,-0.005816048262,0.0512520261792,0.0951519767574,2000,0.0992159026378,-0.22265792427,-0.321873826908,-0.588579218772,-0.344651072922,-0.0566540095048,2000,1.38006839277,1.26966292135,-0.110405471422,-0.717851906552,-0.238095238095,0.345790546663,2000
T1_BEFORE_STOP_63,LOGIT_FULL,POOLED_2016_2026,FS3_FULL_SIGNAL_STATE,63,0.540320499587,0.57615090834,0.0358304087531,-0.0456701059747,0.0308217219985,0.113062650245,2000,0.25721353943,0.286314066519,0.0291005270895,0.00267958654778,0.0301670593845,0.0594590749314,2000,0.0396553434165,-0.193052753668,-0.232708097085,-0.400110189418,-0.233660036209,-0.0713718678934,2000,1.11607142857,1.40625,0.290178571429,-0.205136986301,0.19526194828,0.517609342313,2000
T1_BEFORE_STOP_63,LOGIT_FULL,RECENT_2024_2026,FS3_FULL_SIGNAL_STATE,63,0.527027027027,0.570720720721,0.0436936936937,-0.0215195432587,0.0383484162896,0.0714285714286,2000,0.249368351844,0.258236774876,0.00886842303164,-0.00480040178419,0.00446827088348,0.0290313978511,2000,0.0623128907071,-0.0942945281219,-0.156607418829,-0.309075737719,-0.137900562465,-0.0411903215933,2000,0.786486486486,1.44189189189,0.655405405405,0,0.436974789916,0.795720720721,2000
T1_BEFORE_STOP_63,LOGIT_RAW,ERA_2016_2020,FS2_RAW_SIGNAL_STATE,63,0.494247363375,0.574099438433,0.0798520750582,-0.087404526256,0.0352649436735,0.148157036201,2000,0.271859793173,0.301992015539,0.0301322223662,-0.00300877075384,0.0384068392773,0.080309609196,2000,-0.00945183344131,-0.249942926185,-0.240491092744,-0.500849145958,-0.289716338957,-0.128656633126,2000,1.05857142857,1.36102040816,0.302448979592,-0.501036079415,0.268099126046,0.901858541996,2000
T1_BEFORE_STOP_63,LOGIT_RAW,ERA_2021_2023,FS2_RAW_SIGNAL_STATE,63,0.590502747478,0.56204379562,-0.0284589518576,-0.146036869593,-0.0339573434695,0.0431722842215,2000,0.240615392721,0.292003422082,0.0513880293608,0.00102832832259,0.0440140839203,0.0801386452529,2000,0.0989223686735,-0.217034266511,-0.315956635185,-0.521399930543,-0.318033679773,-0.0834369527849,2000,1.38006839277,1.32486565706,-0.0552027357108,-0.753420699926,-0.214645004625,0.367162190963,2000
T1_BEFORE_STOP_63,LOGIT_RAW,POOLED_2016_2026,FS2_RAW_SIGNAL_STATE,63,0.54004954583,0.568486787779,0.0284372419488,-0.0463694698662,0.0232202927009,0.0961005257093,2000,0.255806075095,0.288975522744,0.0331694476492,0.0103966689683,0.034075552096,0.0587560311637,2000,0.0449103189367,-0.204142874795,-0.249053193731,-0.388787956427,-0.249219105163,-0.114948403247,2000,1.04910714286,1.36160714286,0.3125,-0.218432031498,0.16802190776,0.505766085766,2000
T1_BEFORE_STOP_63,LOGIT_RAW,RECENT_2024_2026,FS2_RAW_SIGNAL_STATE,63,0.521171171171,0.58963963964,0.0684684684685,-0.0134083044983,0.060162601626,0.0997885835095,2000,0.250319743663,0.24877573954,-0.00154400412321,-0.0131117926265,-0.000754328549693,0.022438824884,2000,0.0587354205201,-0.0542027975632,-0.112938218083,-0.294181220065,-0.110950701476,-0.00102295725028,2000,0.655405405405,1.44189189189,0.786486486486,0,0.40873015873,0.7,2000
T1_BEFORE_STOP_63,LOGIT_RULE,ERA_2016_2020,FS1_RULE_SUMMARY,63,0.370223257088,0.497671551842,0.127448294754,0.0684151365932,0.144879390268,0.219859527823,2000,0.251172830989,0.241556913957,-0.00961591703115,-0.0162214998369,-0.0118684339698,-0.00760582974273,2000,0.0673616286077,0.000197553789562,-0.0671640748181,-0.182353036248,-0.0822779572002,0.0300550248815,2000,0.453673469388,1.00816326531,0.554489795918,0.288323396219,0.625,0.863129251701,2000
T1_BEFORE_STOP_63,LOGIT_RULE,ERA_2021_2023,FS1_RULE_SUMMARY,63,0.421225293201,0.522348888707,0.101123595506,-0.01822066781,0.106524537431,0.216738706764,2000,0.244099029445,0.240954316464,-0.00314471298125,-0.00896063514037,-0.00352389182457,0.0065459454928,2000,0.0858765402575,-0.00426788737463,-0.0901444276322,-0.206513078666,-0.131325656394,-0.0423063425725,2000,0.71763556424,1.04885197851,0.331216414265,-0.162336956522,0.180722891566,0.70537056928,2000
