Mode,Target,Model Variant,Feature Set,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2021_2023,296,89,0.300675675676,0.591706019649,0.39479161653,0.229832769086,0.210814348088,-0.0902140730464,0.729410097923,0.685810810811,0.462962962963,0.280898876404,0.859903381643,0.34965034965
PRIMARY_ONLY,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,131,37,0.282442748092,0.618171362852,0.433877995958,0.197643666676,0.203161677979,0.0271606897427,0.586391496448,0.725190839695,0.545454545455,0.162162162162,0.946808510638,0.25
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,319,98,0.307210031348,0.453781512605,0.275140148472,0.216557508919,0.214382993906,-0.010143132034,0.625745346981,0.692789968652,0,0,1,0
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2021_2023,296,89,0.300675675676,0.571920968355,0.360468845753,0.209930210748,0.210814348088,0.00419391444962,0.611634891479,0.699324324324,0,0,1,0
PRIMARY_ONLY,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,131,37,0.282442748092,0.559516963772,0.311721223217,0.20179643376,0.203161677979,0.00671998889257,0.59245606489,0.717557251908,0,0,1,0
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,98,0.307210031348,0.472342783267,0.283367853151,0.228415583563,0.214382993906,-0.0654557033699,0.661931103913,0.686520376176,0,0,0.990950226244,0
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,296,89,0.300675675676,0.547684959019,0.349897001456,0.210740341987,0.210814348088,0.000351048691197,0.612186897996,0.699324324324,0,0,1,0
PRIMARY_ONLY,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,131,37,0.282442748092,0.472397929845,0.277439065017,0.210531266421,0.203161677979,-0.0362745007559,0.618324376383,0.717557251908,0,0,1,0
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,ERA_2016_2020,319,76,0.238244514107,0.394628546675,0.21330831432,0.183007305531,0.183007305531,0,0.553229807893,0.761755485893,0,0,1,0
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,ERA_2021_2023,296,68,0.22972972973,0.404282765738,0.207684437756,0.178981687751,0.178981687751,0,0.544369777834,0.77027027027,0,0,1,0
PRIMARY_ONLY,JOINT_T2,DUMMY_PRIOR,NONE,RECENT_2024_2026,131,23,0.175572519084,0.520531400966,0.194995775013,0.148901025854,0.148901025854,0,0.476831782974,0.824427480916,0,0,1,0
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,76,0.238244514107,0.565843621399,0.301276976117,0.206965503518,0.183007305531,-0.130913888478,0.792329608973,0.736677115987,0.388888888889,0.184210526316,0.909465020576,0.25
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,296,68,0.22972972973,0.557211042312,0.292137077449,0.200100687604,0.178981687751,-0.117995310684,0.679543576785,0.733108108108,0.322580645161,0.147058823529,0.907894736842,0.20202020202
PRIMARY_ONLY,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,131,23,0.175572519084,0.395732689211,0.141591772514,0.179745155184,0.148901025854,-0.20714517682,0.589240867617,0.801526717557,0,0,0.972222222222,0
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,319,76,0.238244514107,0.562486463071,0.296721715554,0.208245467293,0.183007305531,-0.137907946834,0.79284113779,0.724137931034,0.323529411765,0.144736842105,0.905349794239,0.2
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2021_2023,296,68,0.22972972973,0.553147574819,0.288154263029,0.199274149779,0.178981687751,-0.113377308499,0.679017304734,0.72972972973,0.25,0.0882352941176,0.921052631579,0.130434782609
PRIMARY_ONLY,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,131,23,0.175572519084,0.456119162641,0.158414666557,0.172002407897,0.148901025854,-0.15514588909,0.547808548448,0.809160305344,0,0,0.981481481481,0
PRIMARY_ONLY,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,319,76,0.238244514107,0.451754385965,0.212202146544,0.185441457789,0.183007305531,-0.0133008474758,0.558907729248,0.761755485893,0,0,1,0
PRIMARY_ONLY,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2021_2023,296,68,0.22972972973,0.535861713106,0.245991528977,0.178732145124,0.178981687751,0.00139423552252,0.5465527376,0.77027027027,0,0,1,0
