Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed,Training Mode
ENTRY_FILLED,2019,LOGIT_RULE,FS1_RULE_SUMMARY,529,412,117,0.778827977316,73,5,8,0.0164068999984,0.00648399999773,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2019,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,529,412,117,0.778827977316,73,92,101,0.0370212999987,0.00978960000066,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2019,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,529,412,117,0.778827977316,73,97,109,0.0368998000013,0.0108135000009,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2019,RF_FULL,FS3_FULL_SIGNAL_STATE,529,412,117,0.778827977316,73,97,109,0.853585700002,0.0391496000011,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2020,DUMMY_PRIOR,NONE,603,471,132,0.781094527363,53,0,0,6.99998054188e-07,1.04999999166e-05,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2020,LOGIT_RULE,FS1_RULE_SUMMARY,603,471,132,0.781094527363,53,5,8,0.0156408000003,0.00700099999813,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2020,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,603,471,132,0.781094527363,53,92,101,0.0388086999992,0.00902519999727,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2020,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,603,471,132,0.781094527363,53,97,109,0.0408884999997,0.00961830000233,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2020,RF_FULL,FS3_FULL_SIGNAL_STATE,603,471,132,0.781094527363,53,97,109,0.932793399999,0.0394113000002,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2021,DUMMY_PRIOR,NONE,656,511,145,0.778963414634,103,0,0,5.00000169268e-07,1.06000006781e-05,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2021,LOGIT_RULE,FS1_RULE_SUMMARY,656,511,145,0.778963414634,103,5,8,0.0171205000006,0.00683339999887,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2021,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,656,511,145,0.778963414634,103,92,101,0.039888000003,0.00947470000028,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2021,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,656,511,145,0.778963414634,103,97,109,0.0425070999991,0.0105383000009,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2021,RF_FULL,FS3_FULL_SIGNAL_STATE,656,511,145,0.778963414634,103,97,109,0.966234,0.0415859999994,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2022,DUMMY_PRIOR,NONE,759,587,172,0.773386034256,113,0,0,5.00000169268e-07,9.10000017029e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2022,LOGIT_RULE,FS1_RULE_SUMMARY,759,587,172,0.773386034256,113,5,8,0.017866299997,0.00696740000058,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2022,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,759,587,172,0.773386034256,113,92,101,0.048092699999,0.00947870000164,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2022,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,759,587,172,0.773386034256,113,97,109,0.0439733999992,0.00932969999849,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
