Mode,Target,Model Variant,Feature Set,Scope,Rows,Overall Success Rate,Top 10% Rows,Top 10% Success Rate,Top 10% Lift,Top 20% Rows,Top 20% Success Rate,Top 20% Lift,Bottom 20% Rows,Bottom 20% Success Rate,Bottom 20% Lift
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_2016_2026,570,0.29298245614,57,0.157894736842,0.538922155689,114,0.219298245614,0.748502994012,114,0.30701754386,1.04790419162
PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,570,0.29298245614,57,0.263157894737,0.898203592814,114,0.236842105263,0.808383233533,114,0.385964912281,1.31736526946
TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,754,0.766578249337,76,0.736842105263,0.961209251502,151,0.754966887417,0.984852998465,151,0.735099337748,0.958935814295
TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,754,0.766578249337,76,0.973684210526,1.27016936806,151,0.960264900662,1.25266390156,151,0.41059602649,0.535621806183
TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_2016_2026,754,0.766578249337,76,0.973684210526,1.27016936806,151,0.94701986755,1.23538577878,151,0.423841059603,0.552899928963
TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_2016_2026,754,0.766578249337,76,0.894736842105,1.16718266254,151,0.860927152318,1.12307798071,151,0.655629139073,0.855267077614
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,754,0.766578249337,76,0.947368421053,1.23584046622,151,0.94701986755,1.23538577878,151,0.456953642384,0.596095235913
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,POOLED_2016_2026,746,0.300268096515,75,0.266666666667,0.888095238095,150,0.253333333333,0.84369047619,150,0.286666666667,0.954702380952
TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,746,0.300268096515,75,0.32,1.06571428571,150,0.36,1.19892857143,150,0.173333333333,0.577261904762
TRANSFER,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_2016_2026,746,0.300268096515,75,0.32,1.06571428571,150,0.346666666667,1.15452380952,150,0.14,0.46625
