Mode,Target,Model Variant,Feature Set,Pooled ROC AUC,Pooled AUC 63-Date Lower 95%,Pooled Brier Skill,Recent 2024-2026 ROC AUC,Valid Annual AUCs,Years AUC > 0.50,Valid Pooled 63-Date AUC Replicates,Research Evidence Classification
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.786627083989,0.739058283589,0.203138366487,0.707352941176,11,11,2000,ROBUST POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,0.495544266557,0.435464384676,0,0.531627372053,11,0,2000,MIXED / INCONCLUSIVE
TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.581229474548,0.539423571895,0.0483245243803,0.571880391029,11,8,2000,ROBUST POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.580168992885,0.537286455375,0.0532492616755,0.556641748131,11,8,2000,ROBUST POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,0.414746681719,0.361507547672,0.0605680783163,0.471535365152,11,2,2000,MIXED / INCONCLUSIVE
TRANSFER,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,0.524519362343,0.459209921113,0.050376314367,0.484186313974,11,7,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T2,DUMMY_PRIOR,NONE,0.444344471678,0.351363687555,0,0.520531400966,11,0,2000,MIXED / INCONCLUSIVE
TRANSFER,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.541156029909,0.502220246416,-0.0710150591915,0.52576489533,11,9,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.542190230937,0.500551349503,-0.0686315684825,0.505636070853,11,8,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,0.504441893415,0.416500790025,0.00364390834212,0.643719806763,11,7,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,0.50275614574,0.443969202275,-0.0402274598737,0.490338164251,11,9,2000,MIXED / INCONCLUSIVE
TRANSFER,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.489310229149,0.428713314006,0,0.506306306306,11,0,2000,MIXED / INCONCLUSIVE
TRANSFER,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.540320499587,0.48252441547,0.0396553434165,0.527027027027,11,6,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.54004954583,0.487551261391,0.0449103189367,0.521171171171,11,6,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.399050371594,0.351336636087,0.0790725808032,0.440990990991,11,2,2000,MIXED / INCONCLUSIVE
TRANSFER,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.498838769612,0.406298860945,0.0517991667656,0.564414414414,11,7,2000,MIXED / INCONCLUSIVE
TRANSFER,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.422757462742,0.334283153193,0,0.5,11,0,2000,NO USEFUL HISTORICAL SIGNAL
TRANSFER,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.503826094709,0.463374858694,-0.124868984952,0.509988249119,11,9,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.505594270516,0.46481689338,-0.12769344823,0.504112808461,11,9,2000,WEAK POSITIVE HISTORICAL SIGNAL
TRANSFER,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.46034234261,0.371924858214,-0.00168122229115,0.559341950646,11,5,2000,MIXED / INCONCLUSIVE
TRANSFER,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.481077547139,0.408504363009,-0.0643203206039,0.53642773208,11,10,2000,MIXED / INCONCLUSIVE
