Block Length,Mode,Target,Model Variant,Feature Set,Scope,Metric,Valid Replicates,2.5%,Median,97.5%
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Recall at 0.50,2000,1,1,1
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Specificity at 0.50,2000,0,0,0
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,F1 at 0.50,2000,0.814224757456,0.857677902622,0.90054605638
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Top 10% Rows,2000,28,31,32.025
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Top 10% Success Rate,2000,0.655172413793,0.793103448276,0.90625
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Top 10% Lift,2000,0.892849557364,1.05545106406,1.18380945046
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Top 20% Rows,2000,56,61,64.025
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Top 20% Success Rate,2000,0.644037530266,0.762711864407,0.875048076923
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Top 20% Lift,2000,0.855678309505,1.02510342843,1.13131050437
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Bottom 20% Rows,2000,56,61,64.025
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Bottom 20% Success Rate,2000,0.63789184953,0.806451612903,0.890625
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,Bottom 20% Lift,2000,0.88761653525,1.06731520742,1.15691156831
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Rows,2000,733,757,785
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Positive Count,2000,550,584,619
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Prevalence,2000,0.733224126911,0.771092040797,0.806971117115
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,ROC AUC,2000,0.438833647917,0.48527564024,0.538522412049
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Average Precision,2000,0.722539862746,0.763290282882,0.808106257156
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Brier Score,2000,0.156810849118,0.176604901841,0.197919441827
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Brier Benchmark Score,2000,0.156810849118,0.176604901841,0.197919441827
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Brier Skill Score vs Training Prior,2000,0,0,0
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Log Loss,2000,0.493568740108,0.538290746645,0.586648574341
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Accuracy at 0.50,2000,0.733224126911,0.771092040797,0.806971117115
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Precision at 0.50,2000,0.733224126911,0.771092040797,0.806971117115
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Recall at 0.50,2000,1,1,1
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Specificity at 0.50,2000,0,0,0
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,F1 at 0.50,2000,0.846081139091,0.870753211032,0.893175446433
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Top 10% Rows,2000,74,76,79
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Top 10% Success Rate,2000,0.653333333333,0.766233766234,0.860759493671
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Top 10% Lift,2000,0.849193543887,0.993143800005,1.12368425176
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Top 20% Rows,2000,147,152,157
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Top 20% Success Rate,2000,0.689178002506,0.763157894737,0.833360927152
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Top 20% Lift,2000,0.89616931778,0.991579916481,1.07805052097
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Bottom 20% Rows,2000,147,152,157
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Bottom 20% Success Rate,2000,0.68661409396,0.777777777778,0.848684210526
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,POOLED_2016_2026,Bottom 20% Lift,2000,0.90084765366,1.00676818951,1.09566728668
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Rows,2000,135,140,145
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Positive Count,2000,87,101,112
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Prevalence,2000,0.632352941176,0.728571428571,0.811594202899
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,ROC AUC,2000,0.338498652426,0.3788072047,0.448642533937
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Average Precision,2000,0.611017392605,0.679452661503,0.781479390175
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Brier Score,2000,0.154334298854,0.200554409441,0.253925814995
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Brier Benchmark Score,2000,0.154334298854,0.200554409441,0.253925814995
