Mode,Target,Model Variant,Feature Set,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,97,23,0.237113402062,0.408343125734,0.225102530232,0.235841672015,0.185902165662,-0.268633268339,0.715014856271,0.701030927835,0.25,0.130434782609,0.878378378378,0.171428571429
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,97,23,0.237113402062,0.495299647474,0.230464847172,0.188302688894,0.185902165662,-0.012912830916,0.564408038203,0.762886597938,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,97,23,0.237113402062,0.389541715629,0.337468088728,0.196108303804,0.185902165662,-0.0549005876594,0.59039380485,0.762886597938,0,0,1,0
TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,134,100,0.746268656716,0.648235294118,0.809285673903,0.189405534077,0.189405534077,0,0.566534034539,0.746268656716,0.746268656716,1,0,0.854700854701
TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.762941176471,0.885003516396,0.15616604824,0.189405534077,0.175493741507,0.48581739743,0.768656716418,0.805309734513,0.91,0.352941176471,0.854460093897
TRANSFER,ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.760294117647,0.884899280722,0.162628168121,0.189405534077,0.141375837232,0.500205734639,0.753731343284,0.825242718447,0.85,0.470588235294,0.837438423645
TRANSFER,ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,134,100,0.746268656716,0.595441176471,0.814538283921,0.18558357684,0.189405534077,0.0201786988779,0.55748146937,0.753731343284,0.751879699248,1,0.0294117647059,0.858369098712
TRANSFER,ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.707352941176,0.860408660953,0.168839517765,0.189405534077,0.108581918753,0.514434865204,0.753731343284,0.768,0.96,0.147058823529,0.853333333333
TRANSFER,JOINT_T1,DUMMY_PRIOR,NONE,RECENT_2024_2026,131,37,0.282442748092,0.531627372053,0.301603788574,0.222398643893,0.222398643893,0,0.637548511661,0.717557251908,0,0,1,0
TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,131,37,0.282442748092,0.571880391029,0.3030801627,0.209649667231,0.222398643893,0.0573248848932,0.606175449875,0.687022900763,0,0,0.957446808511,0
