Mode,Target,Model Variant,Context,Bucket,Ranking Rule,Tie Rule,Bucket Size,Shared Helper,Status
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,Point and identity bootstrap,Bottom 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,Point and identity bootstrap,Top 10%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,57,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,Point and identity bootstrap,Top 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,Point and identity bootstrap,Bottom 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,Point and identity bootstrap,Top 10%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,57,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,Point and identity bootstrap,Top 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,Point and identity bootstrap,Bottom 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,Point and identity bootstrap,Top 10%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,57,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,Point and identity bootstrap,Top 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,Point and identity bootstrap,Bottom 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,Point and identity bootstrap,Top 10%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,57,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,Point and identity bootstrap,Top 20%,Probability DESC; Signal ID ASC; bottom takes canonical tail,Signal ID ASC in canonical order,114,stage4a1.ranking.bucket_metrics / bucket_membership,PASS
