Mode,Target,Model Variant,Feature Set,Valid Evaluation Years,Years ROC AUC > 0.50,Years ROC AUC > 0.55,Years Positive Brier Skill,Median Yearly ROC AUC,Mean Yearly ROC AUC,Worst Yearly ROC AUC,Best Yearly ROC AUC,Std Yearly ROC AUC
TRANSFER,JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,8,8,5,0.616683217478,0.574491442828,0.1975,0.748355263158,0.158423555407
TRANSFER,JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,8,8,5,0.609375,0.575095909739,0.2575,0.755345394737,0.144038322827
TRANSFER,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,11,2,0,9,0.446957236842,0.423129078595,0.2825,0.5400390625,0.079469944048
TRANSFER,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,11,7,7,6,0.610062893082,0.552582715777,0.314453125,0.788793103448,0.166654284469
TRANSFER,JOINT_T2,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0
TRANSFER,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,9,7,3,0.620967741935,0.571242009718,0.106060606061,0.733056133056,0.162300788575
TRANSFER,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,8,7,2,0.624193548387,0.567033550551,0.155303030303,0.747609147609,0.150114525104
TRANSFER,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,11,7,5,9,0.52972972973,0.558312919255,0.382142857143,0.75,0.105877429719
TRANSFER,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,11,9,9,4,0.652027027027,0.651811313313,0.334152334152,0.92,0.154165806306
TRANSFER,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0
TRANSFER,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,6,6,7,0.60162601626,0.521124297499,0.0892857142857,0.770244821092,0.210349807405
TRANSFER,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,6,6,5,0.602642276423,0.529444409107,0.128571428571,0.765,0.208588873532
TRANSFER,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,11,2,1,8,0.378556910569,0.407210809241,0.275,0.56342780027,0.0830141126785
TRANSFER,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,11,7,4,7,0.546296296296,0.517413803801,0.125,0.832142857143,0.198979933303
TRANSFER,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,11,0,0,0,0.5,0.5,0.5,0.5,0
TRANSFER,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11,9,8,4,0.628472222222,0.56306933903,0.0520833333333,0.727272727273,0.196253237457
TRANSFER,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11,9,7,2,0.614583333333,0.557088841049,0.078125,0.734708392603,0.194737539501
TRANSFER,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,11,5,4,9,0.487878787879,0.525771609687,0.320852534562,0.7625,0.121291336596
TRANSFER,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,11,10,9,5,0.621527777778,0.65788741362,0.414583333333,0.875,0.135104252151
