Setup,Rows,Filled Opportunities,Non-Filled Opportunities,Entry Censored,Fill Rate %,T1 Positive,T1 Negative,T1 Censored,T1 Hit Rate %,T2 Positive,T2 Negative,T2 Censored,T2 Hit Rate %,Entry-Day Ambiguity Rate %,Same-Bar Ambiguity Rate %
BREAKOUT,1135,802,333,0,70.6607929515,316,476,343,39.898989899,116,675,344,14.6649810367,0,0
PULLBACK,12409,9535,2871,3,76.8579719491,5346,4123,2940,56.4579153026,3266,6199,2944,34.5060750132,57.6355870739,0.104762672254
