Diagnostic,Feature,Era,Rows,Median,Q25,Q75,Mean,Std
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry High,2011-2015,4178,304.62035,184.257225,507.6133,488.096003518,632.477844948
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry High,2016-2020,4282,548.60605,319.137275,967.232325,926.466307567,1394.69105339
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry High,2021-2023,3604,853.5569,511.636225,1498.9249,1391.30625755,1791.37925545
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry High,2024-2026,2289,1519.1874,978.4175,3488.0311,2470.05271852,2719.19225045
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry Low,2011-2015,4178,299.33915,180.421275,496.808525,479.527964816,622.785731272
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry Low,2016-2020,4282,539.63235,313.584625,950.552425,911.813405745,1375.01700025
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry Low,2021-2023,3604,839.59385,501.633475,1476.95095,1369.30454159,1764.52898771
DESCRIPTIVE DRIFT DIAGNOSTIC,Entry Low,2024-2026,2289,1494.6846,967.9917,3434.7887,2432.67104976,2679.19855203
DESCRIPTIVE DRIFT DIAGNOSTIC,Initial Risk %,2011-2015,4178,4.93035003412,3.94395544301,6.45012082401,5.53957773096,2.40578080549
DESCRIPTIVE DRIFT DIAGNOSTIC,Initial Risk %,2016-2020,4282,4.66902594479,3.74865689095,6.02443678593,5.14410866435,2.10467993473
DESCRIPTIVE DRIFT DIAGNOSTIC,Initial Risk %,2021-2023,3604,4.48189595912,3.51375273346,5.97877969297,5.04363243308,2.20573347343
DESCRIPTIVE DRIFT DIAGNOSTIC,Initial Risk %,2024-2026,2289,4.15606524484,3.28035315147,5.38148277465,4.64772378545,2.05135330752
DESCRIPTIVE DRIFT DIAGNOSTIC,Market Score,2011-2015,18936,70,40,95,63.1796577947,31.0416832668
DESCRIPTIVE DRIFT DIAGNOSTIC,Market Score,2016-2020,22583,80,50,95,68.9383607138,29.9471992748
DESCRIPTIVE DRIFT DIAGNOSTIC,Market Score,2021-2023,14079,80,50,95,70.3238866397,27.6317223684
DESCRIPTIVE DRIFT DIAGNOSTIC,Market Score,2024-2026,12483,70,40,90,62.9375951294,30.6991103759
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ADX,2011-2015,18936,22.3463489424,17.8426709086,28.2730139189,24.0128537697,8.43401165056
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ADX,2016-2020,22583,23.9872730963,17.1437381162,33.6019946951,25.6665724723,9.90911777883
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ADX,2021-2023,14079,23.3583519763,19.2131050595,29.649108241,25.1196854638,8.76244801862
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ADX,2024-2026,12483,19.6503044333,15.9532348081,25.0704300772,21.3576048995,7.48859162747
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ATR %,2011-2015,18936,1.30663442637,1.13343018301,1.57600052696,1.40442432075,0.37588479023
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ATR %,2016-2020,22583,1.10160913015,0.900153305935,1.38308117676,1.28630166403,0.77804887888
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ATR %,2021-2023,14079,1.14109508862,0.897794681617,1.52098538781,1.21149586327,0.371062631743
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY ATR %,2024-2026,12483,1.06933012289,0.855190936359,1.20572847305,1.07841701735,0.270090390193
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Close,2011-2015,18936,6091.65014648,5521.2376709,7933.48742676,6594.51240893,1290.88962832
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Close,2016-2020,22583,10491.0498047,8993.84960938,11317.3496094,10227.094502,1452.24054813
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Close,2021-2023,14079,17530.3007812,16245.3496094,18269,17384.8154626,1603.61135301
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Close,2024-2026,12483,24274.9003906,23259.1992188,25017.75,24113.8367015,1224.93241089
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily RSI,2011-2015,18936,53.5687744281,44.3590820949,61.9839634194,53.3462058237,12.0837022862
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily RSI,2016-2020,22583,56.6758235192,47.0800964506,64.9359853556,55.243649184,12.5798332062
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily RSI,2021-2023,14079,55.6810226224,46.6484881839,66.2003755977,56.1411662939,13.0227814476
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily RSI,2024-2026,12483,53.2609659909,43.5867196273,60.6119689514,52.3313465232,11.1432707637
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST,2011-2015,18936,6059.3525648,5510.2103111,8028.98239576,6567.98931576,1300.85549683
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST,2016-2020,22583,10475.2458115,8961.152372,11265.4264957,10149.8815358,1388.16977664
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST,2021-2023,14079,17630.8296008,16177.8135041,18342.715438,17388.5559837,1592.85153057
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST,2024-2026,12483,24029.870139,23267.1725441,25015.510927,24036.114793,1187.20433046
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST Direction,2011-2015,18936,1,-1,1,0.140684410646,0.990080634892
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST Direction,2016-2020,22583,1,-1,1,0.358455475358,0.933567493703
