Target,Model Variant,Feature Set,Scope Type,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2016,525,224,0.426666666667,0.611162197437,0.491901418265,0.262098881778,0.244728324861,-0.0709789393096,0.735242711022,0.573333333333,0.5,0.236607142857,0.823920265781,0.321212121212
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2017,1214,672,0.553542009885,0.652472105078,0.685811703259,0.260492748997,0.26152861493,0.00396081298385,0.726266091517,0.558484349259,0.687845303867,0.370535714286,0.791512915129,0.481624758221
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2018,789,291,0.368821292776,0.669557956914,0.495626732896,0.232579577579,0.241473613543,0.0368323305922,0.657774193516,0.627376425856,0.496143958869,0.66323024055,0.606425702811,0.567647058824
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2019,732,246,0.33606557377,0.667695473251,0.510679864422,0.213987769319,0.235682545959,0.0920508413232,0.612896544727,0.657103825137,0.489626556017,0.479674796748,0.746913580247,0.484599589322
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2020,760,360,0.473684210526,0.563736111111,0.532271057679,0.292720419902,0.250542766675,-0.168345124412,0.857662040426,0.55,0.565217391304,0.216666666667,0.85,0.313253012048
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2021,1407,572,0.406538734897,0.665231774214,0.558750000747,0.239576291674,0.242347013554,0.0114328699115,0.689204163731,0.619758351102,0.631205673759,0.155594405594,0.937724550898,0.249649368864
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2022,895,277,0.309497206704,0.692778615074,0.468567884539,0.198405481112,0.22962486281,0.13595819423,0.580062824415,0.668156424581,0.45867768595,0.400722021661,0.788025889968,0.42774566474
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2023,1024,423,0.4130859375,0.666340181652,0.570826447161,0.224931318971,0.242594435205,0.0728092390841,0.642934708481,0.6513671875,0.623134328358,0.394799054374,0.831946755408,0.483357452967
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2024,1149,468,0.407310704961,0.586056829449,0.45482937363,0.25960968618,0.241706578587,-0.0740695917263,0.725428759968,0.583115752829,0.460992907801,0.138888888889,0.888399412628,0.213464696223
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2025,687,281,0.409024745269,0.611389653419,0.529946715681,0.242618653937,0.241902931444,-0.00295871773407,0.707533392237,0.609898107715,0.527659574468,0.44128113879,0.726600985222,0.480620155039
