Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed
ENTRY_FILLED,2019,LOGIT_RULE,FS1_RULE_SUMMARY,6562,5143,1419,0.783754952758,735,5,15,0.019492499996,0.00445690000197,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2019,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,6562,5143,1419,0.783754952758,735,92,107,0.32695300004,0.00693869998213,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2019,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,6562,5143,1419,0.783754952758,735,97,122,0.489196599985,0.0114871000405,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2019,RF_FULL,FS3_FULL_SIGNAL_STATE,6562,5143,1419,0.783754952758,735,97,122,5.70832709997,0.0425370000303,,CONVERGED,42
ENTRY_FILLED,2020,DUMMY_PRIOR,NONE,7294,5685,1609,0.779407732383,761,0,0,3.00002284348e-07,7.90000194684e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2020,LOGIT_RULE,FS1_RULE_SUMMARY,7294,5685,1609,0.779407732383,761,5,15,0.0257463000016,0.00649230001727,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2020,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,7294,5685,1609,0.779407732383,761,92,107,0.515159100003,0.0116422999999,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2020,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,7294,5685,1609,0.779407732383,761,97,122,0.423824800004,0.00983389996691,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2020,RF_FULL,FS3_FULL_SIGNAL_STATE,7294,5685,1609,0.779407732383,761,97,122,6.14114329999,0.0325562999933,,CONVERGED,42
ENTRY_FILLED,2021,DUMMY_PRIOR,NONE,8036,6229,1807,0.775136884022,1409,0,0,2.00001522899e-07,7.59999966249e-06,,NOT_APPLICABLE,42
