Target,Model Variant,Feature Set,Bucket,Rows,Mean Predicted Probability,Observed Success Rate,Calibration Error
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,869,0.554012482535,0.475258918297,0.0787535642383
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,1133,0.653263334127,0.587819947043,0.0654433870835
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,1837,0.755054092954,0.774632553076,0.0195784601212
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,4655,0.851129456091,0.887218045113,0.0360885890218
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,349,0.910450071448,0.914040114613,0.00359004316535
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.2-0.3,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.3-0.4,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.5-0.6,7093,0.561966003835,0.551952629353,0.0100133744825
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,193,0.0590991912517,0.331606217617,0.272507026365
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,552,0.156452943557,0.440217391304,0.283764447748
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,832,0.253128244252,0.507211538462,0.25408329421
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,979,0.352296395937,0.503575076609,0.151278680672
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,1162,0.449921891687,0.535283993115,0.0853621014282
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,1071,0.550039195554,0.596638655462,0.0465994599086
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,1002,0.646006663215,0.586826347305,0.0591803159094
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,750,0.748507264049,0.601333333333,0.147173930716
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,440,0.841327751709,0.706818181818,0.134509569891
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,112,0.935814597355,0.732142857143,0.203671740212
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,185,0.0579240025903,0.32972972973,0.271805727139
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,541,0.154592724547,0.447319778189,0.292727053642
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,847,0.252186102535,0.517119244392,0.264933141857
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.3-0.4,1023,0.352018879239,0.515151515152,0.163132635912
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.4-0.5,1122,0.45138630845,0.522281639929,0.0708953314786
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.5-0.6,1099,0.549422886492,0.579617834395,0.030194947903
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.6-0.7,978,0.646816268033,0.598159509202,0.0486567588308
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.7-0.8,751,0.748735367579,0.592543275632,0.156192091946
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.8-0.9,443,0.84165243335,0.717832957111,0.12381947624
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.9-1.0,104,0.936211759905,0.730769230769,0.205442529136
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.0-0.1,0,,,
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.1-0.2,0,,,
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.2-0.3,36,0.264085675042,0.5,0.235914324958
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.3-0.4,1240,0.368716952276,0.439516129032,0.0707991767568
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.4-0.5,630,0.434619718528,0.314285714286,0.120334004242
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.5-0.6,1669,0.565063002601,0.508088675854,0.0569743267477
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.6-0.7,3492,0.652456524411,0.654639175258,0.00218265084695
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.7-0.8,26,0.722414929387,0.769230769231,0.0468158398441
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.8-0.9,0,,,
