Target,Model Variant,Feature Set,Scope,Rows,Positive Count,Prevalence,ROC AUC Pooled,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior Pooled,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50,ROC AUC Recent,Brier Skill Score vs Training Prior Recent,Median Yearly ROC AUC,Total Yearly Positive Count,Pooled Top-Decile Lift,Comparison Purpose,Model Selected
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,7088,2306,0.325338600451,0.529508060547,0.339308202167,0.219948063084,0.220738493545,0.00358084558991,0.631518193753,0.673532731377,0,0,0.998327059808,0,0.565918085872,0.00358471261172,0.546103548663,2306,1.00145202862,Rule summaries without richer raw state,False
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,7088,2306,0.325338600451,0.533528358549,0.368515889776,0.230176422319,0.220738493545,-0.0427561528688,0.667585581164,0.669582392777,0.401098901099,0.0316565481353,0.977206189879,0.0586816720257,0.629601423203,0.0655152877051,0.610984435412,2306,1.46966336668,Fixed nonlinear comparison to LOGIT_FULL,False
JOINT_T1,DUMMY_PRIOR,NONE,POOLED_OOS,9442,3915,0.414636729506,0.480702396525,0.398883100992,0.243625762281,0.243625762281,0,0.680354648508,0.585363270494,0,0,1,0,0.503753658767,0,0.5,3915,0.890688506423,Training-fold prevalence benchmark,False
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,9442,3915,0.414636729506,0.628181311712,0.523209755225,0.241453520972,0.243625762281,0.00891630379687,0.68938181422,0.613217538657,0.556656613529,0.330012771392,0.813823050479,0.414368184734,0.587986025871,-0.0318127174076,0.655208917118,3915,1.40366383534,Descriptive comparison to LOGIT_RAW and LOGIT_RULE,False
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,9442,3915,0.414636729506,0.627085472201,0.522704022177,0.241731896048,0.243625762281,0.00777366981164,0.690042507437,0.610993433595,0.552517361111,0.325159642401,0.813461190519,0.409390577263,0.588308941554,-0.0296972177359,0.665231774214,3915,1.38579902289,Raw point-in-time state without rule summaries,False
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,9442,3915,0.414636729506,0.606131770172,0.493544053779,0.235951546495,0.243625762281,0.0315000175433,0.664621137032,0.596483795806,0.51644221735,0.421200510856,0.720644110729,0.463984243106,0.576224152582,0.0101181093277,0.605749171678,3915,1.27605803212,Rule summaries without richer raw state,False
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,9442,3915,0.414636729506,0.586544632515,0.499135188164,0.247831545313,0.243625762281,-0.0172632934748,0.695827111669,0.597542893455,0.553290083411,0.152490421456,0.912791749593,0.239086904285,0.608992540837,0.0257024932642,0.633769328765,3915,1.3347567016,Fixed nonlinear comparison to LOGIT_FULL,False
JOINT_T2,DUMMY_PRIOR,NONE,POOLED_OOS,9437,2306,0.244357316944,0.447835014971,0.220642076719,0.185594980689,0.185594980689,0,0.558492000643,0.755642683056,0,0,1,0,0.525364792688,0,0.5,2306,0.810670303703,Training-fold prevalence benchmark,False
JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,9437,2306,0.244357316944,0.587102560763,0.319009830537,0.189839742479,0.185594980689,-0.022871102303,0.597997007872,0.751827911413,0.450819672131,0.0715524718127,0.971813209928,0.123502994012,0.567054402291,-0.00625558805584,0.634586946965,2306,1.60400006615,Descriptive comparison to LOGIT_RAW and LOGIT_RULE,False
JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_OOS,9437,2306,0.244357316944,0.585680773015,0.318146049698,0.190004850315,0.185594980689,-0.0237607159964,0.598998963104,0.750980184381,0.441489361702,0.071986123157,0.970551114851,0.123788217748,0.567325587798,-0.00291698825727,0.624545381879,2306,1.60833520146,Raw point-in-time state without rule summaries,False
JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_OOS,9437,2306,0.244357316944,0.548228615443,0.269769346379,0.184248099207,0.185594980689,0.0072571007963,0.554365074887,0.755642683056,0,0,1,0,0.588665271736,0.00956964717285,0.553783884435,2306,1.17482167007,Rule summaries without richer raw state,False
JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_OOS,9437,2306,0.244357316944,0.56652142296,0.302068503572,0.187428512424,0.185594980689,-0.00987920971106,0.571288935652,0.752569672565,0.22641509434,0.00520381613183,0.994250455757,0.0101738024587,0.655883486592,0.0626318935191,0.641861689275,2306,1.63868114866,Fixed nonlinear comparison to LOGIT_FULL,False
