Target,Model Variant,Feature Set,Scope,Bucket,Rows,Success Rate,Overall Base Rate,Lift
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,BOTTOM_20_PERCENT,609,0.297208538588,0.36038107753,0.824706282098
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016-2020,TOP_10_PERCENT,305,0.472131147541,0.36038107753,1.31008861724
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016-2020,TOP_20_PERCENT,609,0.436781609195,0.36038107753,1.2119992875
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016-2020,BOTTOM_20_PERCENT,609,0.311986863711,0.36038107753,0.865713776788
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2016-2020,TOP_10_PERCENT,305,0.327868852459,0.36038107753,0.909783761974
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2016-2020,TOP_20_PERCENT,609,0.353037766831,0.36038107753,0.97962348426
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2016-2020,BOTTOM_20_PERCENT,609,0.333333333333,0.36038107753,0.924946824673
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,TOP_10_PERCENT,305,0.465573770492,0.36038107753,1.291892942
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,TOP_20_PERCENT,609,0.426929392447,0.36038107753,1.18466095771
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,BOTTOM_20_PERCENT,609,0.331691297209,0.36038107753,0.920390436374
ENTRY_FILLED,DUMMY_PRIOR,NONE,2021-2023,TOP_10_PERCENT,333,0.798798798799,0.742042042042,1.07648725212
ENTRY_FILLED,DUMMY_PRIOR,NONE,2021-2023,TOP_20_PERCENT,666,0.773273273273,0.742042042042,1.04208822339
ENTRY_FILLED,DUMMY_PRIOR,NONE,2021-2023,BOTTOM_20_PERCENT,666,0.737237237237,0.742042042042,0.993524888709
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,333,0.933933933934,0.742042042042,1.25859975718
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,666,0.905405405405,0.742042042042,1.22015378389
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,666,0.417417417417,0.742042042042,0.562525293403
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,333,0.924924924925,0.742042042042,1.24645892351
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,666,0.903903903904,0.742042042042,1.21813031161
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,666,0.40990990991,0.742042042042,0.552407932011
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,TOP_10_PERCENT,333,0.795795795796,0.742042042042,1.07244030757
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,TOP_20_PERCENT,666,0.797297297297,0.742042042042,1.07446377985
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,BOTTOM_20_PERCENT,666,0.68018018018,0.742042042042,0.916632942129
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,333,0.894894894895,0.742042042042,1.20598947794
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,666,0.887387387387,0.742042042042,1.19587211655
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,666,0.421921921922,0.742042042042,0.568595710239
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,TOP_10_PERCENT,247,0.546558704453,0.515605999189,1.06003170117
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,TOP_20_PERCENT,494,0.556680161943,0.515605999189,1.07966191786
T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,BOTTOM_20_PERCENT,494,0.568825910931,0.515605999189,1.10321817788
