Target,Model Variant,Feature Set,Cohort,Cohort Field,Models Refit for Cohort,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.549567019718,0.374895878244,0.239369485857,0.220738493545,-0.0844030056209,0.716361996856,0.656743792325,0.423952095808,0.153512575889,0.899414470933,0.225405921681
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.529508060547,0.339308202167,0.219948063084,0.220738493545,0.00358084558991,0.631518193753,0.673532731377,0,0,0.998327059808,0
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ALL,Dataset Cohort,False,7088,2306,0.325338600451,0.533528358549,0.368515889776,0.230176422319,0.220738493545,-0.0427561528688,0.667585581164,0.669582392777,0.401098901099,0.0316565481353,0.977206189879,0.0586816720257
ENTRY_FILLED,DUMMY_PRIOR,NONE,BASELINE_PRIMARY,Dataset Cohort,False,754,578,0.766578249337,0.511053987103,0.766546845079,0.178970854778,0.178970854778,0,0.543490883012,0.766578249337,0.766578249337,1,0,0.867867867868
ENTRY_FILLED,DUMMY_PRIOR,NONE,RESEARCH_EXTENDED,Dataset Cohort,False,8755,6582,0.751798972016,0.501120803463,0.753639401414,0.187184918704,0.187184918704,0,0.56201290585,0.751798972016,0.751798972016,1,0,0.858316489535
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,BASELINE_PRIMARY,Dataset Cohort,False,754,578,0.766578249337,0.78649929223,0.91359920821,0.137272359723,0.178970854778,0.232990422421,0.435043555777,0.810344827586,0.836166924266,0.93598615917,0.397727272727,0.883265306122
ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RESEARCH_EXTENDED,Dataset Cohort,False,8755,6582,0.751798972016,0.755043143644,0.882233668746,0.1547002175,0.187184918704,0.173543367855,0.480804371636,0.780239862935,0.807824477928,0.928593132786,0.330878969167,0.864009047215
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,BASELINE_PRIMARY,Dataset Cohort,False,754,578,0.766578249337,0.784159720038,0.911222917361,0.140295114578,0.178970854778,0.216100773773,0.442393457199,0.801061007958,0.844051446945,0.90830449827,0.448863636364,0.875
ENTRY_FILLED,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RESEARCH_EXTENDED,Dataset Cohort,False,8755,6582,0.751798972016,0.755874525946,0.882221625786,0.15451808192,0.187184918704,0.174516392721,0.480504943054,0.780354083381,0.806714944042,0.930872075357,0.324436263231,0.864357762573
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,BASELINE_PRIMARY,Dataset Cohort,False,754,578,0.766578249337,0.613744495124,0.836114395751,0.174434390166,0.178970854778,0.025347504863,0.531766905939,0.771883289125,0.770666666667,1,0.0227272727273,0.870481927711
ENTRY_FILLED,LOGIT_RULE,FS1_RULE_SUMMARY,RESEARCH_EXTENDED,Dataset Cohort,False,8755,6582,0.751798972016,0.552873005812,0.776016630172,0.185662020918,0.187184918704,0.00813579318654,0.558268574066,0.751798972016,0.751798972016,1,0,0.858316489535
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,BASELINE_PRIMARY,Dataset Cohort,False,754,578,0.766578249337,0.786627083989,0.908186863244,0.14261500769,0.178970854778,0.203138366487,0.450138447292,0.799734748011,0.800281293952,0.984429065744,0.193181818182,0.882854926299
ENTRY_FILLED,RF_FULL,FS3_FULL_SIGNAL_STATE,RESEARCH_EXTENDED,Dataset Cohort,False,8755,6582,0.751798972016,0.757215882387,0.881922359187,0.155141349834,0.187184918704,0.171186701856,0.480725747865,0.777270131354,0.784800787014,0.969614099058,0.194661757938,0.867473154819
JOINT_T1,DUMMY_PRIOR,NONE,BASELINE_PRIMARY,Dataset Cohort,False,746,224,0.300268096515,0.495544266557,0.294912668116,0.229014971373,0.229014971373,0,0.650957845266,0.699731903485,0,0,1,0
JOINT_T1,DUMMY_PRIOR,NONE,RESEARCH_EXTENDED,Dataset Cohort,False,8696,3691,0.424448022079,0.480677680488,0.408424223956,0.244879171897,0.244879171897,0,0.682876499385,0.575551977921,0,0,1,0
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,BASELINE_PRIMARY,Dataset Cohort,False,746,224,0.300268096515,0.581229474548,0.337923377343,0.217947931805,0.229014971373,0.0483245243802,0.634290517469,0.684986595174,0.296296296296,0.0357142857143,0.963601532567,0.0637450199203
JOINT_T1,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RESEARCH_EXTENDED,Dataset Cohort,False,8696,3691,0.424448022079,0.626506249102,0.531134240257,0.243469984808,0.244879171897,0.00575462207715,0.694107907525,0.607060717571,0.559721011334,0.347873205093,0.798201798202,0.429072681704
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,BASELINE_PRIMARY,Dataset Cohort,False,746,224,0.300268096515,0.580168992885,0.337183446381,0.216820093235,0.229014971373,0.0532492616754,0.627665254182,0.684986595174,0.333333333333,0.0491071428571,0.95785440613,0.0856031128405
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RESEARCH_EXTENDED,Dataset Cohort,False,8696,3691,0.424448022079,0.625973863579,0.531141606697,0.243868994127,0.244879171897,0.0041252090245,0.695393637949,0.604645814167,0.555702333774,0.341912760769,0.798401598402,0.423347869842
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,BASELINE_PRIMARY,Dataset Cohort,False,746,224,0.300268096515,0.414746681719,0.253737674662,0.215143974651,0.229014971373,0.0605680783162,0.623152414266,0.699731903485,0,0,1,0
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,RESEARCH_EXTENDED,Dataset Cohort,False,8696,3691,0.424448022079,0.603834637321,0.498410180141,0.237736556683,0.244879171897,0.0291679163976,0.66817859646,0.58762649494,0.51644221735,0.446762395015,0.691508491508,0.479081929111
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,BASELINE_PRIMARY,Dataset Cohort,False,746,224,0.300268096515,0.524519362343,0.315290272951,0.21747804118,0.229014971373,0.0503763143669,0.635489773818,0.699731903485,0,0,1,0
JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,RESEARCH_EXTENDED,Dataset Cohort,False,8696,3691,0.424448022079,0.58512525134,0.506611908272,0.250435468276,0.244879171897,-0.0226899508695,0.701003244838,0.588776448942,0.553290083411,0.161744784611,0.903696303696,0.250314465409
JOINT_T2,DUMMY_PRIOR,NONE,BASELINE_PRIMARY,Dataset Cohort,False,746,167,0.223860589812,0.444344471678,0.206383215104,0.176026805357,0.176026805357,0,0.537745379996,0.776139410188,0,0,1,0
JOINT_T2,DUMMY_PRIOR,NONE,RESEARCH_EXTENDED,Dataset Cohort,False,8691,2139,0.24611667242,0.448416872593,0.22211897831,0.186416273842,0.186416273842,-2.22044604925e-16,0.560272805959,0.75388332758,0,0,1,0
