Target,Model Variant,Feature Set,Era,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,1582,850,0.537294563843,0.535638058502,0.589974244283,0.277428680948,0.248895116623,-0.11464091667,0.766395734672,0.524652338812,0.566576086957,0.490588235294,0.564207650273,0.525851197982
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016-2020,3044,1793,0.589027595269,0.556500254342,0.628667430986,0.279926843272,0.244658428907,-0.144153686109,0.78359877838,0.543363994744,0.634065202927,0.531511433352,0.560351718625,0.578276699029
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,2467,1272,0.515605999189,0.620285650378,0.63316232756,0.249500697731,0.252391748408,0.0114546164647,0.699605347966,0.581272800973,0.606033717835,0.536949685535,0.628451882845,0.569403918299
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,1582,850,0.537294563843,0.53743490839,0.596285959228,0.275782760318,0.248895116623,-0.108028008182,0.763267444708,0.529077117573,0.570469798658,0.5,0.562841530055,0.532915360502
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2016-2020,3044,1793,0.589027595269,0.615216694464,0.658600880861,0.230317600985,0.244658428907,0.0586157116545,0.653310824632,0.641918528252,0.655737704918,0.825432236475,0.378896882494,0.730864197531
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,2467,1272,0.515605999189,0.625458211626,0.637472344688,0.242161121647,0.252391748408,0.0405347117161,0.677350074876,0.584110255371,0.571761960327,0.770440251572,0.385774058577,0.65639651708
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,1582,850,0.537294563843,0.588837190614,0.599031254388,0.24524789744,0.248895116623,0.0146536389807,0.683819358173,0.571428571429,0.570723684211,0.816470588235,0.286885245902,0.671829622459
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,3044,1793,0.589027595269,0.552882401274,0.649150979627,0.286654710353,0.244658428907,-0.171652706318,0.782214499425,0.511169513798,0.644276253548,0.379810373675,0.699440447642,0.477894736842
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,2467,1272,0.515605999189,0.534264887766,0.548935632759,0.268197182774,0.252391748408,-0.0626226271908,0.732570057671,0.509120389137,0.564755838641,0.209119496855,0.828451882845,0.305220883534
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,1582,850,0.537294563843,0.557468659595,0.576740142676,0.251342040346,0.248895116623,-0.00983114396256,0.696716995464,0.541719342604,0.577639751553,0.547058823529,0.535519125683,0.561933534743
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2016-2020,3044,1097,0.36038107753,0.384523978409,0.313293395148,0.232798146625,0.232798146625,1.11022302463e-16,0.658738168719,0.63961892247,0,0,1,0
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,2467,769,0.311714633158,0.432464338831,0.285175112972,0.216237911287,0.216237911287,0,0.624238264592,0.688285366842,0,0,1,0
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2024-2026,1577,440,0.279010779962,0.533932997521,0.29581996685,0.204500923764,0.204500923764,-2.22044604925e-16,0.599726747271,0.720989220038,0,0,1,0
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,3044,1097,0.36038107753,0.549620082599,0.407259361698,0.255425276145,0.232798146625,-0.0971963473418,0.767975839045,0.633048620237,0.470414201183,0.144940747493,0.908063687725,0.221602787456
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,2467,769,0.311714633158,0.56393814493,0.365808883385,0.232619331564,0.216237911287,-0.0757564673997,0.680004935277,0.656262667207,0.386819484241,0.1755526658,0.873969375736,0.241502683363
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,1577,440,0.279010779962,0.53112257136,0.339123567204,0.217699220161,0.204500923764,-0.0645390551508,0.667076355683,0.710843373494,0.451807228916,0.170454545455,0.919964819701,0.247524752475
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2016-2020,3044,1097,0.36038107753,0.547866221506,0.408277165777,0.255571443801,0.232798146625,-0.0978242202767,0.769705912576,0.633048620237,0.469325153374,0.139471285324,0.911145351823,0.215038650738
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,2467,769,0.311714633158,0.561267673588,0.361875640111,0.234125187504,0.216237911287,-0.0827203523678,0.683164277884,0.651398459668,0.372549019608,0.172951885566,0.868080094229,0.236234458259
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2024-2026,1577,440,0.279010779962,0.531544335172,0.344587521971,0.216299685003,0.204500923764,-0.0576953933605,0.665328321049,0.710843373494,0.447368421053,0.154545454545,0.926121372032,0.22972972973
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2016-2020,3044,1097,0.36038107753,0.502598252038,0.352061575755,0.232670262227,0.232798146625,0.000549335980904,0.658143445098,0.637976346912,0,0,0.997431946584,0
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,2467,769,0.311714633158,0.552482381935,0.344221291509,0.214593311162,0.216237911287,0.00760551244145,0.61998060792,0.687069314957,0,0,0.998233215548,0
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2024-2026,1577,440,0.279010779962,0.565918085872,0.319642609078,0.203767846724,0.204500923764,0.00358471261172,0.598173843185,0.720989220038,0,0,1,0
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2016-2020,3044,1097,0.36038107753,0.525890519927,0.393052073486,0.252765819424,0.232798146625,-0.0857724732279,0.725310951787,0.634691195795,0.421052631579,0.0364630811304,0.971751412429,0.0671140939597
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,2467,769,0.311714633158,0.522651141632,0.341645216992,0.227280874227,0.216237911287,-0.0510685793914,0.659986991699,0.680583704905,0.344262295082,0.0273081924577,0.976442873969,0.0506024096386
T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2024-2026,1577,440,0.279010779962,0.629601423203,0.405157290766,0.191102986908,0.204500923764,0.0655152877051,0.568048290126,0.71972098922,0.461538461538,0.0272727272727,0.987686895339,0.0515021459227
