Metric,Expected,Actual,Status
Delta 2.5%,-3.77844816303,-3.7784481630178695,PASS
Delta Median,7.64250886483,7.642508864838038,PASS
Delta 97.5%,21.7250233509,21.725023350866987,PASS
P(Delta>0) %,90.65,90.64999999999999,PASS
