Policy,Comparator,Block Length,Metric,Delta 2.5%,Delta Median,Delta 97.5%,P(Delta>0) %
R2_K2,R0_K2,21,CAGR %,-0.840677781401,-0.216800471612,0.440152116182,24.65
R2_K2,R0_K2,21,Mean Daily Return %,-0.00327771320815,-0.000838866964436,0.00173923578717,24.7
R2_K2,R0_K2,21,Annualized Volatility %,-0.0344664567983,0.0397238076098,0.122864804083,84.8
R2_K2,R0_K2,21,Maximum Drawdown %,-3.5236055324,-0.414520378144,1.70883320303,30.4
R2_K2,R0_K2,21,Average Exposure %,-0.33937387325,0.0592243658106,0.447910088717,62.15
R2_K2,R0_K2,63,Terminal Return %,-11.028206325,-2.64326259683,4.84488871884,24.85
R2_K2,R0_K2,63,CAGR %,-0.881643509909,-0.209206212048,0.360170745272,24.85
R2_K2,R0_K2,63,Mean Daily Return %,-0.00341563510428,-0.000808125957209,0.00139050773791,25.3
R2_K2,R0_K2,63,Annualized Volatility %,-0.0345534003937,0.0376444079528,0.124631508561,83.45
R2_K2,R0_K2,63,Maximum Drawdown %,-4.00623181423,-0.60524255183,1.16947994925,24.1
R2_K2,R0_K2,63,Average Exposure %,-0.395806256757,0.0591043076973,0.507348853525,61.15
R2_K2,R0_K2,126,Terminal Return %,-10.8786669984,-2.70362481091,5.24983068462,24.25
R2_K2,R0_K2,126,CAGR %,-0.898113392244,-0.215279905995,0.384044637884,24.25
R2_K2,R0_K2,126,Mean Daily Return %,-0.00349413903695,-0.000832314457194,0.00149657043511,24.45
R2_K2,R0_K2,126,Annualized Volatility %,-0.0340626184068,0.0371145521386,0.12937616624,84.3
R2_K2,R0_K2,126,Maximum Drawdown %,-4.47411937108,-0.745428622646,0.918952767169,17.35
R2_K2,R0_K2,126,Average Exposure %,-0.380489669102,0.055632303648,0.520261904239,60.1
R3_K1,R0_K1,21,Terminal Return %,-2.9129545708,7.24445847139,21.4281511458,91.2
R3_K1,R0_K1,21,CAGR %,-0.246417641498,0.593695050803,1.58333343151,91.2
R3_K1,R0_K1,21,Mean Daily Return %,-0.000980796009301,0.0023247665574,0.00619217602457,91.15
R3_K1,R0_K1,21,Annualized Volatility %,-0.0805015888513,0.0179252239272,0.120460186195,63.8
R3_K1,R0_K1,21,Maximum Drawdown %,-2.34892339641,0.843608720002,5.39499290713,72.35
R3_K1,R0_K1,21,Average Exposure %,-0.376517580372,0.0547998191895,0.493732061658,60.2
R3_K1,R0_K1,63,Terminal Return %,-3.77844816303,7.64250886483,21.7250233509,90.65
R3_K1,R0_K1,63,CAGR %,-0.327863509357,0.625970671222,1.57531970516,90.65
R3_K1,R0_K1,63,Mean Daily Return %,-0.00129691369924,0.00244948220208,0.00610530616421,90.65
R3_K1,R0_K1,63,Annualized Volatility %,-0.0846210470459,0.0174459797561,0.121574804492,62.4
R3_K1,R0_K1,63,Maximum Drawdown %,-2.96669728872,0.453053092239,4.6511550762,65.1
R3_K1,R0_K1,63,Average Exposure %,-0.386935877793,0.0487840995362,0.513979818055,58.3
R3_K1,R0_K1,126,Terminal Return %,-3.83512624579,7.59460645365,21.6091591274,90.3
R3_K1,R0_K1,126,CAGR %,-0.309728623368,0.613187917865,1.57488396365,90.3
R3_K1,R0_K1,126,Mean Daily Return %,-0.00123888910709,0.00238896003922,0.0061461960387,90.25
R3_K1,R0_K1,126,Annualized Volatility %,-0.0858479997328,0.0145612917922,0.11393651648,61.6
R3_K1,R0_K1,126,Maximum Drawdown %,-3.55848273669,0.275024490391,4.73981773828,59.05
R3_K1,R0_K1,126,Average Exposure %,-0.407806182169,0.0456075577514,0.508805219735,57.95
R3_K2,R0_K2,21,Terminal Return %,-12.1402634797,-4.1078819192,3.45767872746,14.45
R3_K2,R0_K2,21,CAGR %,-0.948541986862,-0.335467347263,0.280819962344,14.45
R3_K2,R0_K2,21,Mean Daily Return %,-0.00372611892021,-0.00130845984561,0.00109824777504,14.55
R3_K2,R0_K2,21,Annualized Volatility %,-0.0518493240084,0.0134578480941,0.0951416992833,63.9
R3_K2,R0_K2,21,Maximum Drawdown %,-3.61583957474,-0.557454187123,1.52739248822,25.4
R3_K2,R0_K2,21,Average Exposure %,-0.38841878416,-0.048442564584,0.26282931853,38.7
R3_K2,R0_K2,63,Terminal Return %,-12.5990638709,-4.15856444858,3.1089133953,13.55
R3_K2,R0_K2,63,CAGR %,-0.996932433728,-0.340221830611,0.241990031279,13.55
R3_K2,R0_K2,63,Mean Daily Return %,-0.00385542987,-0.00131714673972,0.00094014963232,13.55
R3_K2,R0_K2,63,Annualized Volatility %,-0.0557044034022,0.0112479765905,0.0927068722364,63
R3_K2,R0_K2,63,Maximum Drawdown %,-4.12126840506,-0.679972199002,1.01959206308,21.5
R3_K2,R0_K2,63,Average Exposure %,-0.430032790971,-0.0512728122914,0.308751230002,37.5
R3_K2,R0_K2,126,Terminal Return %,-12.4482408997,-4.31511133953,3.26671808753,13.6
R3_K2,R0_K2,126,CAGR %,-1.0164849256,-0.345039897913,0.245462107879,13.6
R3_K2,R0_K2,126,Mean Daily Return %,-0.00395496549435,-0.00133699138911,0.000946948327114,13.65
R3_K2,R0_K2,126,Annualized Volatility %,-0.063329912756,0.0116411761939,0.0936813672754,63.05
R3_K2,R0_K2,126,Maximum Drawdown %,-4.70752799992,-0.855544057389,0.773310367533,15.15
R3_K2,R0_K2,126,Average Exposure %,-0.464892463416,-0.0603260835603,0.307028332331,38.35
R4_K1,R0_K1,21,Terminal Return %,-4.9912701318,4.93565350677,18.0946608398,82.8
R4_K1,R0_K1,21,CAGR %,-0.410023024677,0.407774625244,1.3784840581,82.8
R4_K1,R0_K1,21,Mean Daily Return %,-0.0016163532128,0.00159351164458,0.00539892873739,83
R4_K1,R0_K1,21,Annualized Volatility %,-0.0654163553011,0.0605764128758,0.195474639006,82.85
R4_K1,R0_K1,21,Maximum Drawdown %,-2.51623201922,0.520586704777,4.85504152514,65.75
R4_K1,R0_K1,21,Average Exposure %,-0.542654401817,0.0301325659566,0.570163947381,54.2
R4_K1,R0_K1,63,Terminal Return %,-5.34797078733,4.9458149979,17.4810305129,82.5
R4_K1,R0_K1,63,CAGR %,-0.426333708603,0.404436627138,1.30572646529,82.5
R4_K1,R0_K1,63,Mean Daily Return %,-0.00166970118861,0.00158336732791,0.00505760695955,82.6
R4_K1,R0_K1,63,Annualized Volatility %,-0.0752929829114,0.0587947163683,0.193789298952,80.85
R4_K1,R0_K1,63,Maximum Drawdown %,-2.79635974979,0.118224839776,3.75485457262,56.35
R4_K1,R0_K1,63,Average Exposure %,-0.598602077845,0.0215170628501,0.609212424976,52.6
R4_K1,R0_K1,126,Terminal Return %,-5.57988545063,4.99831700205,17.7259308236,80.95
R4_K1,R0_K1,126,CAGR %,-0.491871416031,0.408575268412,1.34999395916,80.95
R4_K1,R0_K1,126,Mean Daily Return %,-0.00193138392268,0.00159612030798,0.00520834521294,80.95
R4_K1,R0_K1,126,Annualized Volatility %,-0.0801306424786,0.057334356973,0.198203865966,78.85
R4_K1,R0_K1,126,Maximum Drawdown %,-3.8032676364,0.0349274949654,3.68379606228,51.85
R4_K1,R0_K1,126,Average Exposure %,-0.655361341594,0.0218133716883,0.633004821636,52.55
R4_K2,R0_K2,21,Terminal Return %,-8.39494435561,-2.46929787294,4.17919981802,23.95
R4_K2,R0_K2,21,CAGR %,-0.680217182722,-0.199608512882,0.330444735314,23.95
R4_K2,R0_K2,21,Mean Daily Return %,-0.00263772202366,-0.000767726314856,0.00130917118989,24.1
R4_K2,R0_K2,21,Annualized Volatility %,-0.0204887911607,0.0374126401073,0.114400897413,87.95
R4_K2,R0_K2,21,Maximum Drawdown %,-3.06514740281,-0.463351322014,1.58542434264,28.05
R4_K2,R0_K2,21,Average Exposure %,-0.313241044089,-0.00886990579791,0.282500267708,47.4
R4_K2,R0_K2,63,Terminal Return %,-8.58845553939,-2.25701097826,4.17147605145,23.95
R4_K2,R0_K2,63,CAGR %,-0.681024135112,-0.179010272662,0.306443728373,23.95
R4_K2,R0_K2,63,Mean Daily Return %,-0.00267756143399,-0.000695370070499,0.00119781015453,24
R4_K2,R0_K2,63,Annualized Volatility %,-0.0253962259637,0.0320604925162,0.123960821793,84.7
