Start Equity,End Equity,Return %,CAGR %,Trades,Win Rate %,Expectancy R,Profit Factor,Average Exposure %,Max Drawdown %,Policy,Year,Return >= R0
100000,100882.90422,0.882904220473,0.885949563138,16,31.25,0.10896611509,1.17443737851,7.90506916221,-4.0365856544,ALL_BASELINE_PRIMARY,2016,
100882.90422,105791.856598,4.86599034368,4.92466504972,29,20.6896551724,0.164686606695,1.49511956299,9.85218844491,-2.34935121204,ALL_BASELINE_PRIMARY,2017,
105791.856598,106473.081739,0.643929658685,0.646148084405,28,25,0.0793748877107,1.22301107137,11.5528568702,-5.26536357514,ALL_BASELINE_PRIMARY,2018,
106473.081739,110831.628872,4.09356718236,4.10790963051,28,35.7142857143,0.230907946025,1.94797263366,15.0220425252,-2.40296600684,ALL_BASELINE_PRIMARY,2019,
110831.628872,109978.9981,-0.769302752871,-0.769827639156,23,26.0869565217,-0.0606166779212,0.858728461183,8.88429617195,-4.91370218194,ALL_BASELINE_PRIMARY,2020,
109978.9981,124634.780741,13.3259830466,13.3746778672,37,35.1351351351,0.499893185959,2.74021039003,17.0497469275,-3.11198746924,ALL_BASELINE_PRIMARY,2021,
124634.780741,115517.122827,-7.31550042452,-7.39835770925,39,12.8205128205,-0.341088220357,0.334124891269,10.0411609797,-9.52363328338,ALL_BASELINE_PRIMARY,2022,
115517.122827,119729.086894,3.64618159118,3.68989000276,30,33.3333333333,0.218065324436,1.69006301082,14.8861422423,-3.15843536457,ALL_BASELINE_PRIMARY,2023,
119729.086894,122824.527352,2.58537047149,2.58716398499,27,22.2222222222,0.0774161956627,1.42085943727,10.3851716822,-1.89575868349,ALL_BASELINE_PRIMARY,2024,
122824.527352,122090.034081,-0.598002115453,-0.600049520562,18,16.6666666667,-0.0411668952388,0.877890978329,8.92545006593,-2.42691428142,ALL_BASELINE_PRIMARY,2025,
122090.034081,120093.408187,-1.63537172295,-2.48842177873,10,10,-0.267370979404,0.179945421199,4.6997906141,-2.66524154097,ALL_BASELINE_PRIMARY,2026 partial,
100000,99136.2118589,-0.863788141118,-0.866741554208,14,28.5714285714,-0.0586085266821,0.812158839547,7.1066219507,-3.67277681453,R0_K1,2016,
99136.2118589,102261.856893,3.15287923133,3.19058359918,27,18.5185185185,0.0919256554959,1.26641047775,9.07984270331,-2.36348701642,R0_K1,2017,
