Calibration Year,Cohort Level,Observations,T1 Successes,P(T1 Before Stop),T2 Successes,P(T2 Before Stop),Cohort
2018,1,13,6,0.4666666666666667,5,0.4,PULLBACK|STRONG BULL|80-89|80-89
2018,1,7,3,0.4444444444444444,2,0.3333333333333333,PULLBACK|STRONG BULL|80-89|90-100
2018,2,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|BULL
2018,2,3,2,0.6,2,0.6,BREAKOUT|STRONG BULL
2018,2,70,21,0.3055555555555556,18,0.2638888888888889,PULLBACK|BULL
2018,2,113,29,0.2608695652173913,24,0.21739130434782608,PULLBACK|NEUTRAL
2018,2,150,73,0.4868421052631579,63,0.42105263157894735,PULLBACK|STRONG BULL
2018,3,4,3,0.6666666666666666,3,0.6666666666666666,BREAKOUT
2018,3,333,123,0.3701492537313433,105,0.3164179104477612,PULLBACK
2018,4,337,126,0.3746312684365782,108,0.3215339233038348,OVERALL
2019,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2019,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|70-79|80-89
2019,1,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|STRONG BULL|70-79|90-100
2019,1,3,2,0.6,1,0.4,BREAKOUT|STRONG BULL|80-89|80-89
2019,1,14,4,0.3125,4,0.3125,PULLBACK|BULL|70-79|70-79
2019,1,46,19,0.4166666666666667,18,0.3958333333333333,PULLBACK|BULL|70-79|80-89
2019,1,16,5,0.3333333333333333,3,0.2222222222222222,PULLBACK|BULL|70-79|90-100
2019,1,1,1,0.6666666666666666,0,0.3333333333333333,PULLBACK|BULL|80-89|70-79
2019,1,6,2,0.375,1,0.25,PULLBACK|BULL|80-89|80-89
2019,1,6,1,0.25,1,0.25,PULLBACK|BULL|80-89|90-100
2019,1,23,3,0.16,3,0.16,PULLBACK|NEUTRAL|70-79|70-79
2019,1,72,24,0.33783783783783783,21,0.2972972972972973,PULLBACK|NEUTRAL|70-79|80-89
2019,1,16,2,0.16666666666666666,2,0.16666666666666666,PULLBACK|NEUTRAL|70-79|90-100
2019,1,20,5,0.2727272727272727,3,0.18181818181818182,PULLBACK|NEUTRAL|80-89|80-89
2019,1,7,0,0.1111111111111111,0,0.1111111111111111,PULLBACK|NEUTRAL|80-89|90-100
2019,1,3,2,0.6,2,0.6,PULLBACK|STRONG BULL|70-79|70-79
2019,1,91,45,0.4946236559139785,40,0.44086021505376344,PULLBACK|STRONG BULL|70-79|80-89
2019,1,53,24,0.45454545454545453,20,0.38181818181818183,PULLBACK|STRONG BULL|70-79|90-100
2019,1,15,7,0.47058823529411764,6,0.4117647058823529,PULLBACK|STRONG BULL|80-89|80-89
2019,1,10,5,0.5,2,0.25,PULLBACK|STRONG BULL|80-89|90-100
2019,2,2,2,0.75,2,0.75,BREAKOUT|BULL
2019,2,5,3,0.5714285714285714,2,0.42857142857142855,BREAKOUT|STRONG BULL
2019,2,89,32,0.3626373626373626,27,0.3076923076923077,PULLBACK|BULL
2019,2,138,34,0.25,29,0.21428571428571427,PULLBACK|NEUTRAL
2019,2,172,83,0.4827586206896552,70,0.40804597701149425,PULLBACK|STRONG BULL
2019,3,7,5,0.6666666666666666,4,0.5555555555555556,BREAKOUT
2019,3,399,149,0.3740648379052369,126,0.3167082294264339,PULLBACK
2019,4,406,154,0.3799019607843137,130,0.32107843137254904,OVERALL
2020,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2020,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|70-79|80-89
2020,1,1,1,0.6666666666666666,1,0.6666666666666666,BREAKOUT|STRONG BULL|70-79|90-100
2020,1,4,2,0.5,1,0.3333333333333333,BREAKOUT|STRONG BULL|80-89|80-89
2020,1,16,5,0.3333333333333333,5,0.3333333333333333,PULLBACK|BULL|70-79|70-79
2020,1,48,19,0.4,18,0.38,PULLBACK|BULL|70-79|80-89
2020,1,18,5,0.3,3,0.2,PULLBACK|BULL|70-79|90-100
2020,1,1,1,0.6666666666666666,0,0.3333333333333333,PULLBACK|BULL|80-89|70-79
2020,1,7,3,0.4444444444444444,2,0.3333333333333333,PULLBACK|BULL|80-89|80-89
2020,1,6,1,0.25,1,0.25,PULLBACK|BULL|80-89|90-100
2020,1,25,3,0.14814814814814814,3,0.14814814814814814,PULLBACK|NEUTRAL|70-79|70-79
2020,1,82,29,0.35714285714285715,24,0.2976190476190476,PULLBACK|NEUTRAL|70-79|80-89
2020,1,17,3,0.21052631578947367,3,0.21052631578947367,PULLBACK|NEUTRAL|70-79|90-100
2020,1,24,7,0.3076923076923077,3,0.15384615384615385,PULLBACK|NEUTRAL|80-89|80-89
2020,1,7,0,0.1111111111111111,0,0.1111111111111111,PULLBACK|NEUTRAL|80-89|90-100
2020,1,4,2,0.5,2,0.5,PULLBACK|STRONG BULL|70-79|70-79
2020,1,107,50,0.46788990825688076,44,0.41284403669724773,PULLBACK|STRONG BULL|70-79|80-89
2020,1,57,24,0.423728813559322,20,0.3559322033898305,PULLBACK|STRONG BULL|70-79|90-100
2020,1,19,8,0.42857142857142855,6,0.3333333333333333,PULLBACK|STRONG BULL|80-89|80-89
2020,1,11,6,0.5384615384615384,2,0.23076923076923078,PULLBACK|STRONG BULL|80-89|90-100
2020,2,2,2,0.75,2,0.75,BREAKOUT|BULL
2020,2,6,3,0.5,2,0.375,BREAKOUT|STRONG BULL
2020,2,96,34,0.35714285714285715,29,0.30612244897959184,PULLBACK|BULL
2020,2,155,42,0.27388535031847133,33,0.21656050955414013,PULLBACK|NEUTRAL
2020,2,198,90,0.455,74,0.375,PULLBACK|STRONG BULL
2020,3,8,5,0.6,4,0.5,BREAKOUT
2020,3,449,166,0.37028824833702884,136,0.30376940133037694,PULLBACK
2020,4,457,171,0.3747276688453159,140,0.30718954248366015,OVERALL
2021,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2021,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL|70-79|70-79
2021,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|70-79|80-89
2021,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|70-79|90-100
2021,1,6,3,0.5,2,0.375,BREAKOUT|STRONG BULL|80-89|80-89
2021,1,18,6,0.35,6,0.35,PULLBACK|BULL|70-79|70-79
2021,1,49,20,0.4117647058823529,19,0.39215686274509803,PULLBACK|BULL|70-79|80-89
2021,1,20,7,0.36363636363636365,4,0.22727272727272727,PULLBACK|BULL|70-79|90-100
2021,1,1,1,0.6666666666666666,0,0.3333333333333333,PULLBACK|BULL|80-89|70-79
2021,1,7,3,0.4444444444444444,2,0.3333333333333333,PULLBACK|BULL|80-89|80-89
2021,1,7,2,0.3333333333333333,1,0.2222222222222222,PULLBACK|BULL|80-89|90-100
2021,1,28,4,0.16666666666666666,4,0.16666666666666666,PULLBACK|NEUTRAL|70-79|70-79
2021,1,86,31,0.36363636363636365,26,0.3068181818181818,PULLBACK|NEUTRAL|70-79|80-89
2021,1,19,5,0.2857142857142857,5,0.2857142857142857,PULLBACK|NEUTRAL|70-79|90-100
2021,1,30,9,0.3125,3,0.125,PULLBACK|NEUTRAL|80-89|80-89
2021,1,8,0,0.1,0,0.1,PULLBACK|NEUTRAL|80-89|90-100
2021,1,8,4,0.5,3,0.4,PULLBACK|STRONG BULL|70-79|70-79
2021,1,121,54,0.44715447154471544,48,0.3983739837398374,PULLBACK|STRONG BULL|70-79|80-89
2021,1,59,26,0.4426229508196721,22,0.3770491803278688,PULLBACK|STRONG BULL|70-79|90-100
2021,1,1,0,0.3333333333333333,0,0.3333333333333333,PULLBACK|STRONG BULL|80-89|70-79
2021,1,19,8,0.42857142857142855,6,0.3333333333333333,PULLBACK|STRONG BULL|80-89|80-89
2021,1,11,6,0.5384615384615384,2,0.23076923076923078,PULLBACK|STRONG BULL|80-89|90-100
2021,2,2,2,0.75,2,0.75,BREAKOUT|BULL
2021,2,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL
2021,2,9,4,0.45454545454545453,3,0.36363636363636365,BREAKOUT|STRONG BULL
2021,2,102,39,0.38461538461538464,32,0.3173076923076923,PULLBACK|BULL
2021,2,171,49,0.28901734104046245,38,0.2254335260115607,PULLBACK|NEUTRAL
2021,2,219,98,0.4479638009049774,81,0.37104072398190047,PULLBACK|STRONG BULL
2021,3,12,6,0.5,5,0.42857142857142855,BREAKOUT
2021,3,492,186,0.3785425101214575,151,0.3076923076923077,PULLBACK
2021,4,504,192,0.3814229249011858,156,0.3102766798418972,OVERALL
2022,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2022,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL|70-79|70-79
2022,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|70-79|80-89
2022,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|70-79|90-100
2022,1,6,3,0.5,2,0.375,BREAKOUT|STRONG BULL|80-89|80-89
2022,1,18,6,0.35,6,0.35,PULLBACK|BULL|70-79|70-79
2022,1,56,25,0.4482758620689655,23,0.41379310344827586,PULLBACK|BULL|70-79|80-89
2022,1,21,8,0.391304347826087,5,0.2608695652173913,PULLBACK|BULL|70-79|90-100
2022,1,2,1,0.5,0,0.25,PULLBACK|BULL|80-89|70-79
2022,1,7,3,0.4444444444444444,2,0.3333333333333333,PULLBACK|BULL|80-89|80-89
2022,1,8,3,0.4,2,0.3,PULLBACK|BULL|80-89|90-100
2022,1,28,4,0.16666666666666666,4,0.16666666666666666,PULLBACK|NEUTRAL|70-79|70-79
2022,1,99,34,0.3465346534653465,29,0.297029702970297,PULLBACK|NEUTRAL|70-79|80-89
2022,1,23,7,0.32,7,0.32,PULLBACK|NEUTRAL|70-79|90-100
2022,1,32,9,0.29411764705882354,3,0.11764705882352941,PULLBACK|NEUTRAL|80-89|80-89
2022,1,8,0,0.1,0,0.1,PULLBACK|NEUTRAL|80-89|90-100
2022,1,9,4,0.45454545454545453,3,0.36363636363636365,PULLBACK|STRONG BULL|70-79|70-79
2022,1,141,64,0.45454545454545453,58,0.4125874125874126,PULLBACK|STRONG BULL|70-79|80-89
2022,1,81,39,0.4819277108433735,35,0.43373493975903615,PULLBACK|STRONG BULL|70-79|90-100
2022,1,2,1,0.5,1,0.5,PULLBACK|STRONG BULL|80-89|70-79
2022,1,22,11,0.5,9,0.4166666666666667,PULLBACK|STRONG BULL|80-89|80-89
2022,1,11,6,0.5384615384615384,2,0.23076923076923078,PULLBACK|STRONG BULL|80-89|90-100
2022,2,2,2,0.75,2,0.75,BREAKOUT|BULL
2022,2,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL
2022,2,9,4,0.45454545454545453,3,0.36363636363636365,BREAKOUT|STRONG BULL
