Policy,Breakdown,Value,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days
D1_TRAIL_ONLY,Exit Reason,EXIT_STOP,197,12.690355329949238,347.0130265933408,-316.14647771912706,-0.3091864150343396,-0.3127355462173491,0.1595397812928765,5.6091370558375635
D1_TRAIL_ONLY,Exit Reason,EXIT_STOP_COLLISION,2,100.0,617.1659432869334,,0.7733563377104837,0.7733563377104837,inf,21.5
D1_TRAIL_ONLY,Exit Reason,EXIT_T2,45,100.0,1986.3511397939435,,2.557292105659814,2.4590193723866447,inf,11.911111111111111
D1_TRAIL_ONLY,Exit Reason,GAP_STOP,34,0.0,,-563.522303923972,-0.7108970588180579,-0.6280877891816927,0.0,3.8529411764705883
D1_TRAIL_ONLY,Exit Reason,STOP_ENTRY_BAR,7,0.0,,-809.2997363408019,-1.0457768694736451,-1.0441970099286633,0.0,1.0
D2_BREAK_EVEN_TRAIL,Exit Reason,EXIT_STOP,200,12.5,340.98779533268737,-304.05485393191145,-0.3041048151603392,-0.31241815518702265,0.16020971729427597,5.655
D2_BREAK_EVEN_TRAIL,Exit Reason,EXIT_STOP_COLLISION,2,100.0,598.7063397415372,,0.7733563377104837,0.7733563377104837,inf,21.5
D2_BREAK_EVEN_TRAIL,Exit Reason,EXIT_T2,43,100.0,1964.527138116005,,2.5691162933757905,2.4591281285012307,inf,11.837209302325581
D2_BREAK_EVEN_TRAIL,Exit Reason,GAP_STOP,33,0.0,,-564.1860466310271,-0.7259202795768981,-0.6293888350054148,0.0,3.606060606060606
D2_BREAK_EVEN_TRAIL,Exit Reason,STOP_ENTRY_BAR,7,0.0,,-800.1253392394126,-1.0457768694736451,-1.0441970099286633,0.0,1.0
D3_PARTIAL_T1_TRAIL,Exit Reason,EXIT_STOP,202,14.85148514851485,557.3011864249908,-302.8017639301383,-0.24223601992106025,-0.31088440186692906,0.32101429676318216,5.811881188118812
D3_PARTIAL_T1_TRAIL,Exit Reason,EXIT_T2,43,100.0,1718.091050278034,,2.2902273121000984,2.148197138499907,inf,12.116279069767442
D3_PARTIAL_T1_TRAIL,Exit Reason,GAP_STOP,33,0.0,,-555.4064792727241,-0.7259202795768981,-0.6293888350054146,0.0,3.606060606060606
D3_PARTIAL_T1_TRAIL,Exit Reason,STOP_ENTRY_BAR,7,0.0,,-786.1346120577517,-1.0457768694736451,-1.0441970099286633,0.0,1.0
D4_TREND_PROTECT,Exit Reason,EXIT_DAILY_TREND_DETERIORATION,19,10.526315789473683,85.71223997194141,-267.9103599628028,-0.3150503318142786,-0.29687566274380456,0.0376386823535884,2.0
D4_TREND_PROTECT,Exit Reason,EXIT_STOP,187,16.0427807486631,552.6481615235498,-283.76725418734316,-0.20915976132736752,-0.30253191639003185,0.3721414573687026,5.989304812834225
D4_TREND_PROTECT,Exit Reason,EXIT_T2,40,100.0,1683.0020857992258,,2.219180190413918,2.147975262184137,inf,12.175
D4_TREND_PROTECT,Exit Reason,GAP_STOP,32,0.0,,-519.3310183128048,-0.6871656445093892,-0.6280877891816927,0.0,3.5625
D4_TREND_PROTECT,Exit Reason,STOP_ENTRY_BAR,7,0.0,,-783.1964095669804,-1.0457768694736451,-1.0441970099286633,0.0,1.0
D5_RESISTANCE_TIGHTEN,Exit Reason,EXIT_DYNAMIC_TARGET,37,100.0,1378.0589175707735,,1.855482594518172,1.8369124401111732,inf,10.891891891891891
D5_RESISTANCE_TIGHTEN,Exit Reason,EXIT_STOP,192,9.895833333333332,402.4758825431604,-298.8417806498421,-0.32178599162759464,-0.31563729824116815,0.1479128971791839,5.197916666666667
D5_RESISTANCE_TIGHTEN,Exit Reason,EXIT_T2,17,100.0,1824.5131666319965,,2.5023915153421656,2.221002896387317,inf,10.235294117647058
D5_RESISTANCE_TIGHTEN,Exit Reason,GAP_STOP,34,0.0,,-542.0289311907168,-0.718592515746774,-0.6280877891816927,0.0,3.588235294117647
D5_RESISTANCE_TIGHTEN,Exit Reason,STOP_ENTRY_BAR,7,0.0,,-770.6493114960552,-1.0457768694736451,-1.0441970099286633,0.0,1.0
D6_HYBRID_DYNAMIC,Exit Reason,EXIT_DAILY_TREND_DETERIORATION,19,10.526315789473683,85.71223997194141,-264.68592694884535,-0.3150503318142786,-0.29687566274380456,0.03809720091323295,2.0
D6_HYBRID_DYNAMIC,Exit Reason,EXIT_DYNAMIC_TARGET,37,100.0,1369.2835468175292,,1.851171725799863,1.8369124401111732,inf,10.972972972972974
D6_HYBRID_DYNAMIC,Exit Reason,EXIT_STOP,177,10.734463276836157,400.37760337845856,-280.4722756299388,-0.29327820280785555,-0.30782328901938255,0.17166286299012892,5.333333333333333
D6_HYBRID_DYNAMIC,Exit Reason,EXIT_T2,14,100.0,1785.286694158048,,2.3507168788873836,2.2044773105015363,inf,9.785714285714286
D6_HYBRID_DYNAMIC,Exit Reason,GAP_STOP,33,0.0,,-509.1696924986618,-0.6807902101107011,-0.6267867433579707,0.0,3.5454545454545454
D6_HYBRID_DYNAMIC,Exit Reason,STOP_ENTRY_BAR,7,0.0,,-770.6493114960552,-1.0457768694736451,-1.0441970099286633,0.0,1.0
