Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe RF 6%,Sharpe RF 0%,Sortino,Max Drawdown %,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days,Median Holding Days,Maximum Holding Days,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions,Capacity Rejects,Total Slippage,Total Transaction Costs
D1_TRAIL_ONLY,100000.0,120093.40818664423,20.093408186644226,1.7331715651083712,4.0017100279863635,-1.0419265585376076,0.4574324549937061,-1.0165847332805857,-11.82586311986964,285,25.263157894736842,1379.1035950296503,-371.8406134060587,0.08499717748146751,-0.3033588120922218,1.253698080041459,6.392982456140351,3.0,34,11.014154690292317,0.0,1573,0.5830804248861912,1,4197.382854173885,6483.041136760385
D2_BREAK_EVEN_TRAIL,100000.0,116768.15815020405,16.768158150204048,1.4654421272180196,3.979924003680657,-1.1152991203244453,0.3922673544251138,-1.0772139668409253,-11.749281375836373,285,24.561403508771928,1345.6682071684065,-360.1330993096944,0.06990155419704905,-0.3033588120922218,1.216562802492351,6.347368421052631,3.0,34,10.893530043472275,0.0,1581,0.5781487101669196,1,4125.7550163147025,6366.640305393494
D3_PARTIAL_T1_TRAIL,100000.0,114683.6912583172,14.68369125831719,1.2940682542398996,3.7352370627735096,-1.236985477302411,0.3693382711412408,-1.1628458443480778,-11.029373511055773,285,25.6140350877193,1241.0541199274683,-358.0814127188111,0.06411330204876119,-0.3033588120922218,1.193427226754977,6.389473684210526,3.0,34,9.970838711569169,0.0,1576,0.582701062215478,1,4047.8232616766245,6247.6903765477755
D4_TREND_PROTECT,100000.0,112864.0502778603,12.864050277860306,1.1421437069406126,3.591383399489735,-1.3305831330348747,0.340082271514381,-1.2669784919958904,-10.465929958971632,285,25.263157894736842,1167.652121633603,-334.3047064777424,0.050381183274567476,-0.29687566274380456,1.1806573496370938,6.196491228070175,3.0,34,9.507212305564785,0.0,1609,0.5618361153262519,0,4020.061218691087,6199.53010801484
D5_RESISTANCE_TIGHTEN,100000.0,114128.78865780316,14.12878865780316,1.2479714871273861,3.6792513005486702,-1.2689754974170355,0.3617910661784566,-1.1646722584920464,-11.317372795327385,287,25.435540069686414,1228.108843166885,-352.9119480999039,0.06152619422921671,-0.3033588120922218,1.1870788939311638,5.937282229965157,3.0,30,9.515765457069179,0.0,1630,0.537556904400607,1,4021.511364159677,6214.347213688521
D6_HYBRID_DYNAMIC,100000.0,112424.67855400709,12.424678554007084,1.105127386275151,3.548092612440376,-1.3577629467017376,0.33328648615768347,-1.2591758146616354,-10.831213999501422,287,25.087108013937282,1158.8347763138313,-330.2856992585531,0.04780723671633425,-0.29687566274380456,1.1749673168002897,5.7456445993031355,3.0,30,9.044191879859238,0.0,1663,0.5166919575113809,0,3996.369076447931,6171.709242527594
T1_10D,100000.0,111851.72334523531,11.851723345235321,1.0566594543822028,4.5258575471781555,-1.0664805668849198,0.2592350433514128,-0.8808608341866352,-12.091842512172502,250,45.2,877.5563799785933,-637.3149459295312,0.05316086301829037,-0.2627254092121991,1.1357396842484064,6.876,8.0,10,10.656613070098256,0.0,1635,0.5572837632776935,4,3501.5174427770794,5355.360125180368
T1_20D,100000.0,102264.14012945401,2.2641401294540175,0.2103324450558386,4.898794670178131,-1.1565862476816942,0.0682048293000701,-1.0722602600086864,-16.830920421007022,241,39.83402489626556,1084.202821664143,-702.202281036577,-0.007872723438356473,-1.0275862291709061,1.022236839633198,9.655601659751037,8.0,20,14.649964086214142,0.0,1343,0.791350531107739,3,3241.5568725227395,4950.885892888682
T1_30D,100000.0,109595.54529254179,9.595545292541786,0.8635892737053563,5.131168112669814,-0.9729358204321795,0.19638856502010724,-0.909499264821635,-17.696008119766482,239,39.33054393305439,1266.8128266933068,-755.0680028733034,0.050094943980717545,-1.0287624063987661,1.0876426681828646,10.899581589958158,8.0,30,16.501703711227787,11.638531474520569,1278,0.8975720789074355,7,3330.7397693473986,5100.681493867451
T1_45D,100000.0,108687.86480727943,8.687864807279432,0.7848979028933112,5.265313218934508,-0.9619188088524933,0.17761453902574822,-0.9155402233641953,-16.641713671751347,238,38.23529411764706,1332.3435380689511,-765.6829738571096,0.04358454670493654,-1.030539727821619,1.077187456370141,11.710084033613445,8.0,45,17.640259576589894,14.093881066645904,1185,0.9669954476479514,7,3304.2281020562814,5072.938965594221
T1_63D,100000.0,109120.89084382384,9.120890843823837,0.8225130815370685,5.2903295350736945,-0.949935547652261,0.18420930291354032,-0.9181921774133817,-16.321996835616716,237,38.39662447257383,1353.083230114773,-780.888240387812,0.04729183057189578,-1.0306026541345368,1.0800010191774154,12.059071729957806,8.0,63,18.00160225776998,14.19081107424947,1122,0.9943095599393019,7,3304.692613707649,5064.79941820897
