Policy,Breakdown,Value,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days
D1_TRAIL_ONLY,Ticker,AXISBANK.NS,23,30.434782608695656,1668.1792195359744,-558.9665723633227,0.1355034368117547,-0.32627481557238736,1.3056745154925071,6.826086956521739
D1_TRAIL_ONLY,Ticker,BEL.NS,9,22.22222222222222,2109.6014772640274,-537.1296579694776,0.07607056162167991,-0.3977113366716377,1.1221560200135967,4.333333333333333
D1_TRAIL_ONLY,Ticker,CIPLA.NS,10,40.0,2035.3018234018791,-220.31319516043843,0.8621119100631436,-0.1920823772237069,6.158813507651274,8.6
D1_TRAIL_ONLY,Ticker,HAL.NS,10,30.0,1401.9803312656625,-424.82785575049945,0.1577140707277998,-0.26609165655113526,1.4143345481385923,5.3
D1_TRAIL_ONLY,Ticker,HCLTECH.NS,15,26.666666666666668,2047.319375294332,-476.7200814715052,0.10388869461041428,-0.5011125137885227,1.5616706779716434,7.733333333333333
D1_TRAIL_ONLY,Ticker,HDFCBANK.NS,19,21.052631578947366,1068.5049285246728,-252.17876170178425,0.09446389187729408,-0.2496283531850756,1.1298915328307102,8.526315789473685
D1_TRAIL_ONLY,Ticker,HINDUNILVR.NS,14,21.428571428571427,865.5641544147765,-223.9121894783836,-0.023385007765379016,-0.2869497379162048,1.0542657447723245,6.357142857142857
D1_TRAIL_ONLY,Ticker,ICICIBANK.NS,22,13.636363636363635,1541.4388115879428,-395.1563620268448,-0.21829809361644245,-0.41116875863223823,0.6159209338437815,4.863636363636363
D1_TRAIL_ONLY,Ticker,INFY.NS,24,37.5,991.1566086830454,-344.98095012848256,0.18714552994903202,-0.10803379632963511,1.723845809423225,8.541666666666666
D1_TRAIL_ONLY,Ticker,ITC.NS,9,22.22222222222222,1919.5750598117534,-332.2912238329426,0.1842022818267288,-0.22147008119434056,1.650510087996794,4.333333333333333
D1_TRAIL_ONLY,Ticker,LT.NS,19,31.57894736842105,1562.1354743711038,-426.2266080334267,0.2891120939857642,-0.3003973550735287,1.6915546565299155,6.947368421052632
D1_TRAIL_ONLY,Ticker,M&M.NS,13,38.46153846153847,1194.1693459643448,-365.2095217742453,0.35120632486385983,-0.13459854368422264,2.0436374101140666,6.076923076923077
D1_TRAIL_ONLY,Ticker,MARUTI.NS,17,17.647058823529413,1310.9730500048743,-250.4380103877477,0.05948621260116192,-0.24256189402207984,1.1217258753759833,6.294117647058823
D1_TRAIL_ONLY,Ticker,SBIN.NS,25,12.0,2005.8409932975937,-360.2334778770415,-0.10686506692164652,-0.3886735115944662,0.7592958139961387,4.6
D1_TRAIL_ONLY,Ticker,SUNPHARMA.NS,10,20.0,354.1947178522805,-228.5339964684165,-0.1487023020921842,-0.2854027713276116,0.3874639258553709,7.0
D1_TRAIL_ONLY,Ticker,TCS.NS,15,26.666666666666668,528.6214371764313,-327.8476387679248,-0.13622354354674884,-0.2821751483373662,0.586327166721301,5.333333333333333
D1_TRAIL_ONLY,Ticker,TITAN.NS,19,26.31578947368421,1249.1432319474939,-363.94629621170446,0.12555057767801034,-0.3651058116553233,1.225792342117654,6.052631578947368
D1_TRAIL_ONLY,Ticker,TMPV.NS,3,0.0,,-884.9087182792455,-1.0707402499546317,-1.0326161226313493,0.0,3.0
D1_TRAIL_ONLY,Ticker,WIPRO.NS,9,33.33333333333333,1415.0981007639464,-437.6970983472431,0.20121080213830267,-0.4325135386912039,1.6165267100323462,6.888888888888889
D2_BREAK_EVEN_TRAIL,Ticker,AXISBANK.NS,23,30.434782608695656,1636.2720378031902,-547.6106281537441,0.13550343681175478,-0.32627481557238736,1.3072591723656473,6.826086956521739
D2_BREAK_EVEN_TRAIL,Ticker,BEL.NS,9,22.22222222222222,2090.6599821159552,-528.5484517546819,0.07607056162167997,-0.39771133667163777,1.1301356034223031,4.333333333333333
D2_BREAK_EVEN_TRAIL,Ticker,CIPLA.NS,10,40.0,1997.7940382818233,-216.4785196419032,0.8621119100631438,-0.1920823772237069,6.1524011453470635,8.6
D2_BREAK_EVEN_TRAIL,Ticker,HAL.NS,10,30.0,1385.2053579242272,-413.42995170227465,0.1577140707277998,-0.2660916565511352,1.435937180327704,5.3
D2_BREAK_EVEN_TRAIL,Ticker,HCLTECH.NS,15,26.666666666666668,2047.319375294332,-469.6813662587417,0.10388869461041422,-0.5011125137885227,1.5850741083566382,7.733333333333333
D2_BREAK_EVEN_TRAIL,Ticker,HDFCBANK.NS,19,21.052631578947366,1052.0220910405594,-241.2150920794807,0.10060679123933826,-0.2496283531850756,1.1630251733380117,8.473684210526315
D2_BREAK_EVEN_TRAIL,Ticker,HINDUNILVR.NS,14,21.428571428571427,865.5641544147765,-214.58427323594117,-0.023385007765379016,-0.2869497379162048,1.1000943715221496,6.357142857142857
D2_BREAK_EVEN_TRAIL,Ticker,ICICIBANK.NS,22,13.636363636363635,1539.264683274374,-391.7789094060298,-0.21829809361644245,-0.41116875863223823,0.6203544556914149,4.863636363636363
D2_BREAK_EVEN_TRAIL,Ticker,INFY.NS,24,37.5,977.6475426237333,-337.8132205677408,0.18893737039607525,-0.08654668928129014,1.7364285642474224,8.541666666666666
D2_BREAK_EVEN_TRAIL,Ticker,ITC.NS,9,11.11111111111111,2177.7051122744047,-293.6433911243348,-0.05982708201380097,-0.22147008119434056,0.9270194639559921,4.0
D2_BREAK_EVEN_TRAIL,Ticker,LT.NS,19,31.57894736842105,1530.1773624475052,-414.8003556014501,0.2917206942484808,-0.3003973550735287,1.7025918522200354,6.947368421052632
D2_BREAK_EVEN_TRAIL,Ticker,M&M.NS,13,38.46153846153847,1174.1300887608372,-349.17616061719514,0.35120632486385983,-0.13459854368422264,2.101607693315664,6.076923076923077
D2_BREAK_EVEN_TRAIL,Ticker,MARUTI.NS,17,17.647058823529413,1310.9730500048743,-230.92431958920466,0.06202923543230037,-0.24256189402207984,1.2165145573638776,6.176470588235294
D2_BREAK_EVEN_TRAIL,Ticker,SBIN.NS,25,12.0,1977.313505039402,-354.07187816358504,-0.10686506692164652,-0.3886735115944663,0.761522381208503,4.6
D2_BREAK_EVEN_TRAIL,Ticker,SUNPHARMA.NS,10,20.0,346.677285480827,-224.97106088375736,-0.1487023020921842,-0.2854027713276116,0.3852465336196677,7.0
