Policy,Year,Start Equity,End Equity,Return %
D1_TRAIL_ONLY,2016,100000.0,100882.90422047299,0.8829042204729909
D1_TRAIL_ONLY,2017,100882.90422047299,105791.85659826876,4.865990343683579
D1_TRAIL_ONLY,2018,105861.17758215548,106473.08173937883,0.5780250807700282
D1_TRAIL_ONLY,2019,106473.08173937883,110831.62887150695,4.093567182357716
D1_TRAIL_ONLY,2020,110904.3041644757,109978.99809954618,-0.8343283625469211
D1_TRAIL_ONLY,2021,109978.99809954618,124634.78074110705,13.32598304659529
D1_TRAIL_ONLY,2022,124634.78074110705,115517.12282689079,-7.315500424520804
D1_TRAIL_ONLY,2023,115759.64333470329,119729.08689406577,3.4290392100512657
D1_TRAIL_ONLY,2024,119881.12412551108,122824.52735240433,2.455268290453816
D1_TRAIL_ONLY,2025,122824.52735240433,122090.03408054235,-0.5980021154525561
D1_TRAIL_ONLY,2026,122563.04409030797,120093.40818664423,-2.0149923021200777
D2_BREAK_EVEN_TRAIL,2016,100000.0,100882.90422047299,0.8829042204729909
D2_BREAK_EVEN_TRAIL,2017,100882.90422047299,104093.54633915042,3.1825433094796463
D2_BREAK_EVEN_TRAIL,2018,104161.32685672854,104774.35147140903,0.5885337996161422
D2_BREAK_EVEN_TRAIL,2019,104774.35147140903,109121.37133543022,4.148935119113961
D2_BREAK_EVEN_TRAIL,2020,109191.01849119194,108528.17625169556,-0.6070483164783758
D2_BREAK_EVEN_TRAIL,2021,108528.17625169556,122909.52865996296,13.25126147417659
D2_BREAK_EVEN_TRAIL,2022,122909.52865996296,113993.53139223102,-7.254113952709574
D2_BREAK_EVEN_TRAIL,2023,114236.05190004352,118332.40203388418,3.585864589775012
D2_BREAK_EVEN_TRAIL,2024,118484.43926532949,119318.98146145986,0.7043475086728757
D2_BREAK_EVEN_TRAIL,2025,119318.98146145986,118701.85668192305,-0.5172058728444173
D2_BREAK_EVEN_TRAIL,2026,119149.9714280168,116768.15815020405,-1.9990044892723269
D3_PARTIAL_T1_TRAIL,2016,100000.0,100542.86783096593,0.5428678309659318
D3_PARTIAL_T1_TRAIL,2017,100542.86783096593,102750.61154530484,2.195823296039845
D3_PARTIAL_T1_TRAIL,2018,102784.5018040939,102766.10328287748,-0.017900092809219892
D3_PARTIAL_T1_TRAIL,2019,102766.10328287748,107012.18776663231,4.131794772899888
D3_PARTIAL_T1_TRAIL,2020,107081.83492239403,106219.22354029155,-0.8055627574253266
D3_PARTIAL_T1_TRAIL,2021,106219.22354029155,119479.09052262436,12.483490784794737
D3_PARTIAL_T1_TRAIL,2022,119479.09052262436,110355.82246461205,-7.635870023872293
D3_PARTIAL_T1_TRAIL,2023,110590.51973023705,114858.11273693148,3.858913962159094
D3_PARTIAL_T1_TRAIL,2024,115007.41815685335,116214.14674855678,1.0492615268152816
D3_PARTIAL_T1_TRAIL,2025,116214.14674855678,115936.97302763011,-0.2385025650331274
D3_PARTIAL_T1_TRAIL,2026,116385.08777372386,114683.6912583172,-1.4618681378790743
D4_TREND_PROTECT,2016,100000.0,100542.86783096593,0.5428678309659318
