Calibration Year,As Of Date,Calibration Data End Date,Cohort Level,Observations,Eligible,Setup,Market Regime,Technical Band,Actionability Band,T1 Successes,P(T1 Before Stop),T1 Q25,T1 Median,T1 Q75,T2 Successes,P(T2 Before Stop),T2 Q25,T2 Median,T2 Q75,Cohort
2017,2017-01-02,2016-12-26,1,33,True,PULLBACK,BULL,70-79,80-89,12,0.37142857142857144,3.0,8.0,15.75,12,0.37142857142857144,3.75,12.5,34.0,PULLBACK|BULL|70-79|80-89
2017,2017-01-02,2016-12-26,1,13,False,PULLBACK,BULL,70-79,90-100,4,0.3333333333333333,10.0,15.5,19.25,3,0.26666666666666666,10.0,12.0,19.0,PULLBACK|BULL|70-79|90-100
2017,2017-01-02,2016-12-26,1,1,False,PULLBACK,BULL,80-89,70-79,1,0.6666666666666666,11.0,11.0,11.0,0,0.3333333333333333,,,,PULLBACK|BULL|80-89|70-79
2017,2017-01-02,2016-12-26,1,5,False,PULLBACK,BULL,80-89,80-89,1,0.2857142857142857,21.0,21.0,21.0,0,0.14285714285714285,,,,PULLBACK|BULL|80-89|80-89
2017,2017-01-02,2016-12-26,1,5,False,PULLBACK,BULL,80-89,90-100,1,0.2857142857142857,21.0,21.0,21.0,1,0.2857142857142857,34.0,34.0,34.0,PULLBACK|BULL|80-89|90-100
2017,2017-01-02,2016-12-26,1,16,False,PULLBACK,NEUTRAL,70-79,70-79,3,0.2222222222222222,8.5,9.0,11.0,3,0.2222222222222222,15.5,16.0,16.5,PULLBACK|NEUTRAL|70-79|70-79
2017,2017-01-02,2016-12-26,1,53,True,PULLBACK,NEUTRAL,70-79,80-89,18,0.34545454545454546,3.25,6.5,9.0,15,0.2909090909090909,8.5,10.0,26.0,PULLBACK|NEUTRAL|70-79|80-89
2017,2017-01-02,2016-12-26,1,14,False,PULLBACK,NEUTRAL,70-79,90-100,2,0.1875,6.5,7.0,7.5,2,0.1875,10.25,11.5,12.75,PULLBACK|NEUTRAL|70-79|90-100
2017,2017-01-02,2016-12-26,1,18,False,PULLBACK,NEUTRAL,80-89,80-89,5,0.3,7.0,7.0,8.0,3,0.2,6.5,8.0,9.5,PULLBACK|NEUTRAL|80-89|80-89
2017,2017-01-02,2016-12-26,1,7,False,PULLBACK,NEUTRAL,80-89,90-100,0,0.1111111111111111,,,,0,0.1111111111111111,,,,PULLBACK|NEUTRAL|80-89|90-100
2017,2017-01-02,2016-12-26,1,3,False,PULLBACK,STRONG BULL,70-79,70-79,2,0.6,6.5,9.0,11.5,2,0.6,6.5,9.0,11.5,PULLBACK|STRONG BULL|70-79|70-79
2017,2017-01-02,2016-12-26,1,72,True,PULLBACK,STRONG BULL,70-79,80-89,34,0.47297297297297297,7.0,10.5,20.25,30,0.4189189189189189,11.25,15.5,21.0,PULLBACK|STRONG BULL|70-79|80-89
2017,2017-01-02,2016-12-26,1,28,False,PULLBACK,STRONG BULL,70-79,90-100,13,0.4666666666666667,7.0,11.0,20.0,9,0.3333333333333333,14.0,17.0,20.0,PULLBACK|STRONG BULL|70-79|90-100
