Policy,Breakdown,Value,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days
D1_TRAIL_ONLY,Market Regime,BULL,45,31.11111111111111,1281.6327834398278,-419.95823118569336,0.12698565331905842,-0.30253191639003185,1.3782368321832048,6.533333333333333
D1_TRAIL_ONLY,Market Regime,NEUTRAL,88,18.181818181818183,1116.3776201593673,-357.64070893182475,-0.12193605959808246,-0.3178035996038958,0.6936680008602195,6.159090909090909
D1_TRAIL_ONLY,Market Regime,STRONG BULL,152,27.631578947368425,1511.6799512244609,-367.57467677856954,0.19236983175981492,-0.30261538177205594,1.5702574930514712,6.4868421052631575
D2_BREAK_EVEN_TRAIL,Market Regime,BULL,45,31.11111111111111,1260.0375632519192,-413.1778136118289,0.12808706231887207,-0.30253191639003185,1.377250189547638,6.533333333333333
D2_BREAK_EVEN_TRAIL,Market Regime,NEUTRAL,88,17.045454545454543,1024.8700886772328,-345.1954607220985,-0.14873722338471138,-0.3178035996038958,0.6100594249073364,6.079545454545454
D2_BREAK_EVEN_TRAIL,Market Regime,STRONG BULL,152,26.973684210526315,1492.2731045391001,-355.14266213427396,0.17925592631358112,-0.30261538177205594,1.552052271720817,6.447368421052632
D3_PARTIAL_T1_TRAIL,Market Regime,BULL,45,31.11111111111111,1236.6486139543383,-403.52033839307927,0.1207017406092127,-0.30253191639003185,1.3840354938294401,6.555555555555555
D3_PARTIAL_T1_TRAIL,Market Regime,NEUTRAL,88,19.318181818181817,1022.0452394846089,-349.5533747104589,-0.10249634570196325,-0.3178035996038958,0.7000792298002757,6.1022727272727275
D3_PARTIAL_T1_TRAIL,Market Regime,STRONG BULL,152,27.631578947368425,1331.1690735263355,-350.78035819781735,0.14381836301483647,-0.30261538177205594,1.448953863773042,6.506578947368421
D4_TREND_PROTECT,Market Regime,BULL,44,29.545454545454547,1181.6967487630357,-382.834246817931,0.0900607336035371,-0.29970378956691823,1.294425077171708,6.204545454545454
D4_TREND_PROTECT,Market Regime,NEUTRAL,89,19.101123595505616,904.0282239437057,-307.0060299107871,-0.09847291221051375,-0.2988775049751711,0.6952668274729962,5.876404494382022
D4_TREND_PROTECT,Market Regime,STRONG BULL,152,27.631578947368425,1270.0098861108795,-338.4964243166055,0.12605298777257778,-0.288184531907692,1.4325494474128306,6.381578947368421
D5_RESISTANCE_TIGHTEN,Market Regime,BULL,46,30.434782608695656,1167.623647281144,-389.5699041806615,0.10075366601264388,-0.2892630762805004,1.3112803124766093,5.956521739130435
D5_RESISTANCE_TIGHTEN,Market Regime,NEUTRAL,88,19.318181818181817,1107.2325226331138,-347.43964108780375,-0.07958707851519115,-0.3178035996038958,0.7630448029229099,5.625
D5_RESISTANCE_TIGHTEN,Market Regime,STRONG BULL,153,27.450980392156865,1297.1967048686586,-345.8441931744523,0.13089550337608102,-0.3033588120922218,1.4192263317209772,6.111111111111111
D6_HYBRID_DYNAMIC,Market Regime,BULL,45,28.888888888888886,1159.8584128977564,-373.71380642642146,0.07946071986210589,-0.29687566274380456,1.260837764452473,5.866666666666666
D6_HYBRID_DYNAMIC,Market Regime,NEUTRAL,89,19.101123595505616,964.7281141487285,-306.2896980251852,-0.0802078164276688,-0.29887750497517107,0.7436849114430655,5.269662921348314
D6_HYBRID_DYNAMIC,Market Regime,STRONG BULL,153,27.450980392156865,1237.0849187237295,-333.33085835252336,0.11296366147618098,-0.2921152041501897,1.4042689830054533,5.9869281045751634
